time,Houston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Harrell (R. Anderson gains possession),,,,Jump ball: B. Biyombo vs. M. Harrell (R. Anderson gains possession)
11:39.0,J. Harden makes 2-pt shot from 16 ft,2,2-0,,
11:15.0,,,2-2,2,S. Ibaka makes 2-pt shot from 6 ft
11:00.0,R. Anderson misses 3-pt shot from 29 ft,,2-2,,
10:58.0,Offensive rebound by Team,,2-2,,
10:42.0,M. Harrell misses 2-pt shot from 18 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by B. Biyombo
10:29.0,,,2-4,2,E. Payton makes 2-pt shot from 5 ft (assist by B. Biyombo)
10:16.0,T. Ariza misses 3-pt shot from 26 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by B. Biyombo
10:10.0,,,2-4,,E. Fournier misses 2-pt shot from 8 ft
10:08.0,,,2-4,,Offensive rebound by E. Fournier
10:08.0,,,2-6,2,E. Fournier makes 2-pt shot at rim
9:55.0,Turnover by J. Harden (offensive foul),,2-6,,
9:55.0,Loose ball foul by J. Harden (drawn by B. Biyombo),,2-6,,
9:42.0,,,2-8,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Fournier)
9:31.0,,,2-8,,Personal foul by E. Fournier (drawn by M. Harrell)
9:17.0,Turnover by P. Beverley (bad pass),,2-8,,
9:05.0,,,2-8,,E. Fournier misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by Team,,2-8,,
8:53.0,R. Anderson misses 3-pt shot from 25 ft,,2-8,,
8:52.0,,,2-8,,Defensive rebound by S. Ibaka
8:42.0,,,2-8,,B. Biyombo misses 2-pt shot from 6 ft
8:41.0,Defensive rebound by R. Anderson,,2-8,,
8:33.0,J. Harden makes 2-pt shot from 14 ft,2,4-8,,
8:21.0,,,4-10,2,E. Payton makes 2-pt shot at rim
7:56.0,P. Beverley makes 3-pt shot from 25 ft,3,7-10,,
7:41.0,,,7-10,,S. Ibaka misses 2-pt shot from 17 ft
7:38.0,Defensive rebound by M. Harrell,,7-10,,
7:19.0,J. Harden misses 3-pt shot from 28 ft,,7-10,,
7:18.0,,,7-10,,Defensive rebound by B. Biyombo
7:09.0,,,7-10,,S. Ibaka misses 2-pt shot from 7 ft
7:07.0,Defensive rebound by T. Ariza,,7-10,,
6:59.0,T. Ariza misses 3-pt shot from 24 ft,,7-10,,
6:58.0,,,7-10,,Defensive rebound by E. Payton
6:53.0,,,7-12,2,E. Fournier makes 2-pt shot from 3 ft (assist by E. Payton)
6:33.0,Turnover by P. Beverley (bad pass; steal by B. Biyombo),,7-12,,
6:30.0,,,7-14,2,S. Ibaka makes 2-pt shot from 2 ft (assist by A. Gordon)
6:30.0,,,7-14,,Shooting foul by M. Harrell (drawn by S. Ibaka)
6:30.0,,,7-14,,S. Ibaka misses free throw 1 of 1
6:28.0,Defensive rebound by R. Anderson,,7-14,,
6:13.0,,,7-14,,Personal foul by B. Biyombo (drawn by P. Beverley)
6:01.0,J. Harden misses 3-pt shot from 25 ft,,7-14,,
5:59.0,,,7-14,,Defensive rebound by S. Ibaka
5:50.0,,,7-14,,Orlando full timeout
5:50.0,E. Gordon enters the game for P. Beverley,,7-14,,
5:38.0,,,7-14,,E. Fournier misses 2-pt shot from 13 ft
5:36.0,,,7-14,,Offensive rebound by S. Ibaka
5:36.0,,,7-14,,S. Ibaka misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by T. Ariza,,7-14,,
5:26.0,E. Gordon misses 3-pt shot from 27 ft,,7-14,,
5:24.0,,,7-14,,Defensive rebound by A. Gordon
5:19.0,,,7-16,2,A. Gordon makes 2-pt shot from 15 ft
5:00.0,Shooting foul by A. Gordon (drawn by M. Harrell),,7-16,,
5:00.0,M. Harrell makes free throw 1 of 2,1,8-16,,
5:00.0,M. Harrell misses free throw 2 of 2,,8-16,,
5:00.0,,,8-16,,N. Vucevic enters the game for B. Biyombo
4:59.0,,,8-16,,Defensive rebound by N. Vucevic
4:42.0,,,8-16,,S. Ibaka misses 2-pt shot from 11 ft
4:41.0,Defensive rebound by M. Harrell,,8-16,,
4:29.0,T. Ariza makes 3-pt shot from 23 ft (assist by M. Harrell),3,11-16,,
4:14.0,,,11-16,,N. Vucevic misses 2-pt shot from 17 ft
4:13.0,Defensive rebound by J. Harden,,11-16,,
4:10.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,13-16,,
4:10.0,Shooting foul by N. Vucevic (drawn by M. Harrell),,13-16,,
4:10.0,M. Harrell makes free throw 1 of 1,1,14-16,,
4:03.0,Personal foul by E. Gordon (drawn by E. Fournier),,14-16,,
4:03.0,N. Hilario enters the game for R. Anderson,,14-16,,
4:03.0,S. Dekker enters the game for M. Harrell,,14-16,,
3:59.0,,,14-16,,N. Vucevic misses 2-pt shot from 19 ft
3:57.0,,,14-16,,Offensive rebound by E. Fournier
3:55.0,,,14-16,,E. Fournier misses 2-pt shot from 1 ft
3:54.0,Defensive rebound by T. Ariza,,14-16,,
3:49.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,17-16,,
3:48.0,,,17-16,,Orlando full timeout
3:33.0,Personal foul by T. Ariza (drawn by E. Fournier),,17-16,,
3:20.0,,,17-18,2,E. Payton makes 2-pt shot from 18 ft
2:54.0,E. Gordon misses 3-pt shot from 26 ft,,17-18,,
2:53.0,Offensive rebound by S. Dekker,,17-18,,
2:53.0,S. Dekker misses 2-pt shot at rim,,17-18,,
2:51.0,Offensive rebound by T. Ariza,,17-18,,
2:45.0,E. Gordon misses 3-pt shot from 25 ft,,17-18,,
2:44.0,,,17-18,,Defensive rebound by N. Vucevic
2:32.0,,,17-18,,E. Payton misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by S. Dekker,,17-18,,
2:23.0,J. Harden misses 3-pt shot from 26 ft,,17-18,,
2:23.0,,,17-18,,Defensive rebound by Team
2:23.0,C. Brewer enters the game for T. Ariza,,17-18,,
2:23.0,,,17-18,,J. Green enters the game for S. Ibaka
2:07.0,,,17-18,,J. Green misses 2-pt shot from 18 ft
2:06.0,,,17-18,,Offensive rebound by N. Vucevic
2:00.0,,,17-18,,N. Vucevic misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by J. Harden,,17-18,,
1:52.0,N. Hilario makes 2-pt shot from 2 ft (assist by C. Brewer),2,19-18,,
1:40.0,,,19-20,2,A. Gordon makes 2-pt shot from 2 ft
1:26.0,Turnover by N. Hilario (bad pass),,19-20,,
1:13.0,,,19-22,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
1:01.0,Turnover by J. Harden (bad pass),,19-22,,
0:50.0,,,19-22,,Turnover by E. Fournier (traveling)
0:42.0,Turnover by N. Hilario (bad pass),,19-22,,
0:35.0,,,19-22,,E. Payton misses 2-pt shot from 2 ft
0:34.0,,,19-22,,Offensive rebound by N. Vucevic
0:34.0,,,19-22,,N. Vucevic misses 2-pt shot from 1 ft
0:33.0,,,19-22,,Offensive rebound by N. Vucevic
0:33.0,,,19-22,,N. Vucevic misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by Team,,19-22,,
0:08.0,N. Hilario misses 2-pt shot from 14 ft,,19-22,,
0:02.0,,,19-22,,Defensive rebound by E. Fournier
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-22,,N. Vucevic misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by P. Beverley,,19-22,,
11:31.0,S. Dekker makes 3-pt shot from 24 ft (assist by P. Beverley),3,22-22,,
11:20.0,,,22-22,,J. Green misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by S. Dekker,,22-22,,
11:11.0,E. Gordon misses 3-pt shot from 26 ft,,22-22,,
11:07.0,Offensive rebound by S. Dekker,,22-22,,
10:52.0,,,22-22,,Violation by B. Biyombo (def goaltending)
10:52.0,S. Dekker makes 2-pt shot from 2 ft,2,24-22,,
10:52.0,,,24-22,,Violation by Team (jump ball)
10:35.0,,,24-22,,N. Vucevic misses 2-pt shot from 8 ft
10:34.0,Defensive rebound by C. Brewer,,24-22,,
10:31.0,Offensive charge foul by C. Brewer,,24-22,,
10:31.0,Turnover by C. Brewer (offensive foul),,24-22,,
10:18.0,,,24-25,3,D. Augustin makes 3-pt shot from 26 ft
10:04.0,E. Gordon makes 2-pt shot from 3 ft (assist by P. Beverley),2,26-25,,
9:45.0,,,26-25,,Turnover by J. Green (bad pass; steal by N. Hilario)
9:42.0,C. Brewer misses 2-pt shot from 2 ft (block by J. Meeks),,26-25,,
9:41.0,Offensive rebound by Team,,26-25,,
9:38.0,N. Hilario makes 2-pt shot from 19 ft (assist by C. Brewer),2,28-25,,
9:20.0,,,28-25,,N. Vucevic misses 2-pt shot from 4 ft
9:18.0,Defensive rebound by P. Beverley,,28-25,,
9:10.0,C. Brewer misses 3-pt shot from 26 ft,,28-25,,
9:09.0,Offensive rebound by S. Dekker,,28-25,,
9:02.0,E. Gordon misses 3-pt shot from 26 ft,,28-25,,
9:01.0,,,28-25,,Defensive rebound by N. Vucevic
8:56.0,,,28-27,2,D. Augustin makes 2-pt shot from 2 ft
8:56.0,,,28-27,,Shooting foul by S. Dekker (drawn by D. Augustin)
8:56.0,Official timeout,,28-27,,
8:56.0,,,28-28,1,D. Augustin makes free throw 1 of 1
8:43.0,P. Beverley makes 2-pt shot from 9 ft,2,30-28,,
8:24.0,,,30-28,,D. Augustin misses 3-pt shot from 22 ft
8:23.0,Defensive rebound by P. Beverley,,30-28,,
