time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (E. Mudiay gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (E. Mudiay gains possession)
11:39.0,Turnover by N. Jokic (bad pass; steal by A. Davis),,0-0,,
11:35.0,,,0-0,,Turnover by S. Hill (bad pass; steal by E. Mudiay)
11:28.0,Shooting foul by O. Asik (drawn by J. Nurkic),,0-0,,
11:28.0,J. Nurkic misses free throw 1 of 2,,0-0,,
11:28.0,Offensive rebound by Team,,0-0,,
11:28.0,J. Nurkic makes free throw 2 of 2,1,1-0,,
11:11.0,,,1-2,2,E. Moore makes 2-pt shot from 8 ft (assist by A. Davis)
10:49.0,Turnover by E. Mudiay (lost ball; steal by E. Moore),,1-2,,
10:41.0,,,1-2,,A. Davis misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by D. Gallinari,,1-2,,
10:32.0,N. Jokic misses 2-pt shot from 7 ft,,1-2,,
10:32.0,,,1-2,,Defensive rebound by Team
10:32.0,Loose ball foul by J. Nurkic (drawn by O. Asik),,1-2,,
10:11.0,,,1-2,,Turnover by E. Moore (bad pass; steal by D. Gallinari)
10:11.0,,,1-2,,Personal foul by E. Moore (drawn by E. Mudiay)
9:57.0,D. Gallinari misses 2-pt shot from 15 ft,,1-2,,
9:55.0,,,1-2,,Defensive rebound by T. Frazier
9:38.0,,,1-2,,A. Davis misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by E. Mudiay,,1-2,,
9:31.0,Turnover by E. Mudiay (bad pass; steal by S. Hill),,1-2,,
9:20.0,,,1-4,2,T. Frazier makes 2-pt shot from 2 ft
9:05.0,D. Gallinari makes 3-pt shot from 26 ft (assist by N. Jokic),3,4-4,,
8:46.0,,,4-6,2,O. Asik makes 2-pt shot at rim (assist by E. Moore)
8:24.0,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton),2,6-6,,
8:18.0,,,6-6,,S. Hill misses 2-pt shot from 4 ft (block by D. Gallinari)
8:18.0,,,6-6,,Offensive rebound by Team
8:08.0,,,6-6,,O. Asik misses 2-pt shot from 3 ft
8:07.0,Defensive rebound by N. Jokic,,6-6,,
7:56.0,J. Nurkic misses 2-pt shot from 2 ft (block by A. Davis),,6-6,,
7:53.0,Offensive rebound by J. Nurkic,,6-6,,
