time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (K. Caldwell-Pope gains possession)
11:51.0,,,0-0,,R. Jackson misses 2-pt shot from 1 ft
11:51.0,,,0-0,,Offensive rebound by A. Drummond
11:50.0,,,0-0,,A. Drummond misses 2-pt shot at rim
11:49.0,Defensive rebound by K. Love,,0-0,,
11:37.0,,,0-0,,Personal foul by J. Leuer (drawn by K. Love)
11:28.0,K. Love misses 2-pt shot at rim,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Leuer
11:11.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by T. Thompson,,0-0,,
10:58.0,D. Liggins misses 3-pt shot from 24 ft,,0-0,,
10:58.0,Offensive rebound by K. Love,,0-0,,
10:56.0,K. Love misses 2-pt shot at rim (block by A. Drummond),,0-0,,
10:56.0,Offensive rebound by Team,,0-0,,
10:46.0,K. Irving misses 2-pt shot from 15 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by A. Drummond
10:36.0,,,0-3,3,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson)
10:16.0,Turnover by R. Jefferson (bad pass; steal by J. Leuer),,0-3,,
10:10.0,,,0-6,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by A. Drummond)
9:49.0,K. Irving misses 2-pt shot from 20 ft,,0-6,,
9:49.0,,,0-6,,Defensive rebound by M. Morris
9:42.0,,,0-6,,M. Morris misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by K. Love,,0-6,,
9:34.0,D. Liggins misses 3-pt shot from 23 ft,,0-6,,
9:34.0,,,0-6,,Defensive rebound by J. Leuer
9:26.0,,,0-6,,R. Jackson misses 2-pt shot from 1 ft (block by T. Thompson)
9:26.0,Defensive rebound by Team,,0-6,,
9:05.0,R. Jefferson misses 2-pt shot from 6 ft,,0-6,,
9:05.0,Offensive rebound by T. Thompson,,0-6,,
9:04.0,T. Thompson misses 2-pt shot from 2 ft,,0-6,,
9:03.0,,,0-6,,Defensive rebound by A. Drummond
8:58.0,,,0-8,2,J. Leuer makes 2-pt shot at rim (assist by A. Drummond)
8:57.0,Cleveland full timeout,,0-8,,
8:45.0,K. Love makes 2-pt shot from 19 ft (assist by K. Irving),2,2-8,,
8:30.0,,,2-8,,A. Drummond misses 2-pt shot at rim
8:27.0,Defensive rebound by R. Jefferson,,2-8,,
8:10.0,K. Irving makes 2-pt shot from 1 ft,2,4-8,,
7:53.0,,,4-10,2,A. Drummond makes 2-pt shot from 6 ft
7:36.0,K. Love misses 2-pt shot at rim,,4-10,,
7:35.0,Offensive rebound by K. Love,,4-10,,
7:33.0,K. Love makes 2-pt shot from 1 ft,2,6-10,,
7:04.0,,,6-12,2,R. Jackson makes 2-pt shot from 20 ft
6:51.0,Turnover by K. Love (lost ball; steal by J. Leuer),,6-12,,
6:41.0,,,6-12,,M. Morris misses 2-pt shot at rim
6:40.0,Defensive rebound by K. Love,,6-12,,
6:31.0,K. Irving makes 3-pt shot from 25 ft,3,9-12,,
6:07.0,,,9-12,,J. Leuer misses 2-pt shot from 20 ft
6:07.0,Defensive rebound by K. Irving,,9-12,,
6:04.0,,,9-12,,Personal foul by J. Leuer (drawn by K. Love)
6:04.0,,,9-12,,T. Harris enters the game for J. Leuer
6:04.0,,,9-12,,Personal foul by A. Drummond (drawn by T. Thompson)
5:55.0,T. Thompson misses 2-pt shot from 10 ft,,9-12,,
5:54.0,,,9-12,,Defensive rebound by A. Drummond
5:49.0,,,9-12,,Detroit full timeout
5:36.0,,,9-15,3,T. Harris makes 3-pt shot from 27 ft (assist by M. Morris)
5:24.0,Turnover by K. Love (bad pass; steal by M. Morris),,9-15,,
5:18.0,,,9-15,,Turnover by M. Morris (bad pass; steal by K. Love)
5:11.0,K. Irving makes 2-pt shot from 1 ft,2,11-15,,
4:56.0,,,11-17,2,M. Morris makes 2-pt shot from 21 ft (assist by T. Harris)
4:39.0,K. Love misses 3-pt shot from 27 ft,,11-17,,
4:38.0,Offensive rebound by T. Thompson,,11-17,,
4:29.0,K. Love makes 3-pt shot from 26 ft (assist by K. Irving),3,14-17,,
4:24.0,Personal foul by D. Liggins (drawn by R. Jackson),,14-17,,
4:24.0,I. Shumpert enters the game for K. Irving,,14-17,,
4:07.0,,,14-19,2,T. Harris makes 2-pt shot from 1 ft (assist by M. Morris)
3:51.0,K. Love misses 2-pt shot from 17 ft,,14-19,,
3:50.0,,,14-19,,Defensive rebound by A. Drummond
3:32.0,,,14-19,,R. Jackson misses 3-pt shot from 27 ft
3:31.0,Defensive rebound by T. Thompson,,14-19,,
3:29.0,Offensive foul by K. Love,,14-19,,
3:29.0,Turnover by K. Love (offensive foul),,14-19,,
3:29.0,,,14-19,,I. Smith enters the game for R. Jackson
3:16.0,,,14-19,,K. Caldwell-Pope misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by D. Liggins,,14-19,,
3:00.0,I. Shumpert makes 3-pt shot from 26 ft,3,17-19,,
2:41.0,,,17-19,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:41.0,,,17-19,,Offensive rebound by A. Drummond
2:41.0,Personal foul by T. Thompson (drawn by A. Drummond),,17-19,,
2:41.0,,,17-19,,S. Johnson enters the game for K. Caldwell-Pope
2:41.0,K. Felder enters the game for D. Liggins,,17-19,,
2:41.0,M. Dunleavy enters the game for R. Jefferson,,17-19,,
2:27.0,,,17-19,,S. Johnson misses 2-pt shot from 20 ft
2:26.0,,,17-19,,Offensive rebound by A. Drummond
2:24.0,,,17-19,,A. Drummond misses 2-pt shot at rim
2:22.0,Defensive rebound by T. Thompson,,17-19,,
2:10.0,I. Shumpert misses 2-pt shot from 13 ft,,17-19,,
2:09.0,,,17-19,,Defensive rebound by S. Johnson
1:54.0,,,17-19,,Turnover by A. Drummond (lost ball; steal by K. Felder)
1:46.0,Offensive foul by K. Love,,17-19,,
1:46.0,Turnover by K. Love (offensive foul),,17-19,,
1:46.0,C. Frye enters the game for K. Love,,17-19,,
1:29.0,,,17-19,,M. Morris misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by M. Dunleavy,,17-19,,
1:21.0,Shooting foul by I. Smith (drawn by K. Felder),,17-19,,
1:21.0,K. Felder makes free throw 1 of 2,1,18-19,,
1:21.0,K. Felder makes free throw 2 of 2,1,19-19,,
1:01.0,,,19-22,3,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith)
0:51.0,K. Felder misses 2-pt shot from 7 ft,,19-22,,
0:49.0,,,19-22,,Defensive rebound by M. Morris
0:44.0,,,19-22,,M. Morris misses 2-pt shot from 6 ft
