time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Nurkic,,,,Jump ball: T. Chandler vs. J. Nurkic
11:38.0,Turnover by D. Gallinari (bad pass; steal by M. Chriss),,0-0,,
11:14.0,,,0-0,,M. Chriss misses 2-pt shot from 22 ft
11:14.0,,,0-0,,Offensive rebound by E. Bledsoe
10:58.0,,,0-2,2,T. Warren makes 2-pt shot from 20 ft (assist by E. Bledsoe)
10:46.0,G. Harris misses 3-pt shot from 26 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by E. Bledsoe
10:36.0,,,0-4,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
10:20.0,J. Nelson makes 3-pt shot from 25 ft (assist by G. Harris),3,3-4,,
9:59.0,,,3-6,2,T. Warren makes 2-pt shot from 2 ft
9:46.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,6-6,,
9:25.0,,,6-6,,T. Warren misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by K. Faried,,6-6,,
9:14.0,J. Nelson misses 3-pt shot from 28 ft,,6-6,,
9:14.0,,,6-6,,Defensive rebound by M. Chriss
9:01.0,,,6-6,,D. Booker misses 2-pt shot from 2 ft (block by K. Faried)
9:00.0,Defensive rebound by J. Nurkic,,6-6,,
8:54.0,G. Harris misses 2-pt shot from 1 ft,,6-6,,
8:54.0,Offensive rebound by K. Faried,,6-6,,
8:50.0,K. Faried misses 2-pt shot from 1 ft,,6-6,,
8:50.0,,,6-6,,Defensive rebound by T. Chandler
8:44.0,,,6-8,2,D. Booker makes 2-pt shot from 3 ft
8:38.0,,,6-8,,Violation by E. Bledsoe (kicked ball)
8:34.0,G. Harris misses 2-pt shot from 2 ft,,6-8,,
8:34.0,Offensive rebound by G. Harris,,6-8,,
8:31.0,G. Harris makes 2-pt shot from 1 ft,2,8-8,,
8:23.0,,,8-8,,T. Chandler misses 2-pt shot at rim
8:20.0,,,8-8,,Offensive rebound by T. Warren
8:16.0,,,8-8,,T. Warren misses 2-pt shot from 9 ft
8:15.0,,,8-8,,Offensive rebound by T. Warren
8:13.0,,,8-8,,T. Warren misses 2-pt shot from 5 ft
8:12.0,,,8-8,,Offensive rebound by T. Warren
8:08.0,,,8-8,,E. Bledsoe misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by G. Harris,,8-8,,
8:01.0,G. Harris misses 3-pt shot from 25 ft,,8-8,,
8:00.0,Offensive rebound by D. Gallinari,,8-8,,
7:56.0,D. Gallinari misses 3-pt shot from 26 ft,,8-8,,
7:55.0,,,8-8,,Defensive rebound by T. Chandler
7:48.0,,,8-8,,T. Warren misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by J. Nurkic,,8-8,,
7:37.0,Shooting foul by M. Chriss (drawn by D. Gallinari),,8-8,,
7:37.0,D. Gallinari makes free throw 1 of 2,1,9-8,,
7:37.0,D. Gallinari makes free throw 2 of 2,1,10-8,,
7:27.0,,,10-10,2,E. Bledsoe makes 2-pt shot from 3 ft
7:20.0,Offensive foul by J. Nelson,,10-10,,
7:20.0,Turnover by J. Nelson (offensive foul),,10-10,,
7:20.0,Technical foul by J. Nelson,,10-10,,
7:20.0,,,10-11,1,E. Bledsoe makes technical free throw
7:13.0,,,10-11,,Shooting foul by G. Harris (drawn by D. Booker)
7:13.0,,,10-11,,D. Booker misses free throw 1 of 2
7:13.0,,,10-11,,Offensive rebound by Team
7:13.0,,,10-12,1,D. Booker makes free throw 2 of 2
7:00.0,J. Nurkic misses 2-pt shot from 19 ft,,10-12,,
7:00.0,,,10-12,,Defensive rebound by E. Bledsoe
6:54.0,,,10-15,3,E. Bledsoe makes 3-pt shot from 25 ft
6:26.0,J. Nurkic makes 2-pt shot from 2 ft (assist by G. Harris),2,12-15,,
6:12.0,,,12-17,2,D. Booker makes 2-pt shot from 4 ft
5:59.0,,,12-17,,Personal foul by T. Warren
5:59.0,,,12-17,,Phoenix full timeout
5:59.0,W. Chandler enters the game for K. Faried,,12-17,,
5:47.0,Turnover by J. Nurkic (lost ball; steal by M. Chriss),,12-17,,
5:37.0,,,12-17,,E. Bledsoe misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by D. Gallinari,,12-17,,
5:20.0,W. Chandler misses 3-pt shot from 24 ft,,12-17,,
5:20.0,,,12-17,,Defensive rebound by T. Chandler
5:11.0,,,12-19,2,E. Bledsoe makes 2-pt shot from 4 ft
5:01.0,W. Chandler misses 2-pt shot from 13 ft (block by M. Chriss),,12-19,,
5:00.0,,,12-19,,Defensive rebound by D. Booker
4:58.0,Personal foul by W. Chandler (drawn by M. Chriss),,12-19,,
4:58.0,D. Arthur enters the game for J. Nurkic,,12-19,,
4:58.0,W. Barton enters the game for G. Harris,,12-19,,
4:48.0,,,12-21,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
4:48.0,,,12-21,,Shooting foul by D. Arthur (drawn by T. Chandler)
4:48.0,,,12-22,1,T. Chandler makes free throw 1 of 1
4:28.0,,,12-22,,Def 3 sec tech foul by D. Booker
4:28.0,D. Gallinari makes technical free throw,1,13-22,,
4:28.0,,,13-22,,P. Tucker enters the game for T. Warren
4:13.0,J. Nelson misses 3-pt shot from 25 ft,,13-22,,
4:13.0,,,13-22,,Defensive rebound by T. Chandler
4:02.0,,,13-25,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
4:02.0,Denver full timeout,,13-25,,
3:54.0,Offensive foul by D. Arthur,,13-25,,
3:54.0,Turnover by D. Arthur (offensive foul),,13-25,,
3:44.0,,,13-27,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
3:27.0,,,13-27,,Personal foul by M. Chriss (drawn by D. Arthur)
3:27.0,,,13-27,,B. Knight enters the game for D. Booker
3:27.0,J. Murray enters the game for J. Nelson,,13-27,,
3:22.0,W. Barton misses 3-pt shot from 25 ft,,13-27,,
3:21.0,,,13-27,,Defensive rebound by M. Chriss
3:11.0,,,13-29,2,B. Knight makes 2-pt shot from 10 ft
3:03.0,Turnover by D. Arthur (bad pass),,13-29,,
2:52.0,,,13-29,,B. Knight misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by W. Barton,,13-29,,
2:39.0,D. Gallinari makes 3-pt shot from 25 ft,3,16-29,,
2:22.0,,,16-29,,E. Bledsoe misses 2-pt shot from 14 ft
2:21.0,Defensive rebound by D. Arthur,,16-29,,
2:16.0,Shooting foul by M. Chriss (drawn by W. Barton),,16-29,,
2:16.0,W. Barton makes free throw 1 of 2,1,17-29,,
2:16.0,W. Barton misses free throw 2 of 2,,17-29,,
2:16.0,,,17-29,,J. Dudley enters the game for M. Chriss
2:14.0,,,17-29,,Defensive rebound by P. Tucker
1:55.0,,,17-29,,J. Dudley misses 3-pt shot from 25 ft
1:54.0,,,17-29,,Offensive rebound by P. Tucker
1:50.0,,,17-29,,P. Tucker misses 2-pt shot from 5 ft
1:50.0,,,17-29,,Offensive rebound by T. Chandler
1:50.0,,,17-31,2,P. Tucker makes 2-pt shot from 5 ft
1:23.0,D. Gallinari makes 2-pt shot from 20 ft (assist by W. Barton),2,19-31,,
1:11.0,,,19-31,,E. Bledsoe misses 2-pt shot from 12 ft
1:09.0,Defensive rebound by D. Gallinari,,19-31,,
1:01.0,D. Gallinari makes 2-pt shot from 10 ft,2,21-31,,
0:43.0,,,21-31,,B. Knight misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by D. Gallinari,,21-31,,
0:36.0,W. Chandler misses 3-pt shot from 22 ft,,21-31,,
0:35.0,,,21-31,,Defensive rebound by P. Tucker
0:23.0,,,21-33,2,E. Bledsoe makes 2-pt shot from 3 ft
0:01.0,J. Murray misses 2-pt shot from 2 ft,,21-33,,
0:00.0,,,21-33,,Defensive rebound by J. Dudley
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-33,,A. Len misses 2-pt shot from 11 ft
