time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (B. Diaw gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (B. Diaw gains possession)
11:45.0,,,0-2,2,R. Hood makes 2-pt shot from 18 ft (assist by B. Diaw)
11:30.0,N. Young makes 2-pt shot from 20 ft (assist by T. Mozgov),2,2-2,,
11:07.0,,,2-2,,Turnover by B. Diaw (bad pass; steal by D. Russell)
11:01.0,D. Russell misses 3-pt shot from 25 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by R. Hood
10:49.0,,,2-5,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Gobert)
10:30.0,Offensive foul by D. Russell,,2-5,,
10:30.0,Turnover by D. Russell (offensive foul),,2-5,,
10:09.0,,,2-5,,B. Diaw misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by L. Deng,,2-5,,
10:04.0,L. Deng makes 2-pt shot from 3 ft,2,4-5,,
9:42.0,,,4-5,,J. Johnson misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by J. Randle,,4-5,,
9:37.0,Shooting foul by R. Hood (drawn by N. Young),,4-5,,
9:37.0,N. Young makes free throw 1 of 3,1,5-5,,
9:37.0,N. Young makes free throw 2 of 3,1,6-5,,
9:37.0,N. Young makes free throw 3 of 3,1,7-5,,
9:25.0,,,7-7,2,J. Johnson makes 2-pt shot from 3 ft
9:13.0,L. Deng misses 2-pt shot from 10 ft,,7-7,,
9:13.0,,,7-7,,Defensive rebound by G. Hill
9:04.0,,,7-9,2,R. Hood makes 2-pt shot from 19 ft
8:40.0,T. Mozgov misses 2-pt shot from 3 ft (block by R. Gobert),,7-9,,
8:39.0,Offensive rebound by D. Russell,,7-9,,
8:35.0,N. Young makes 3-pt shot from 28 ft (assist by D. Russell),3,10-9,,
8:15.0,,,10-11,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
7:52.0,D. Russell misses 2-pt shot from 9 ft,,10-11,,
7:50.0,Offensive rebound by T. Mozgov,,10-11,,
7:49.0,T. Mozgov makes 2-pt shot from 2 ft,2,12-11,,
7:19.0,,,12-11,,R. Hood misses 3-pt shot from 27 ft
7:19.0,,,12-11,,Offensive rebound by R. Gobert
7:04.0,,,12-13,2,G. Hill makes 2-pt shot from 2 ft
6:49.0,J. Randle makes 3-pt shot from 25 ft (assist by D. Russell),3,15-13,,
6:27.0,,,15-16,3,G. Hill makes 3-pt shot from 24 ft (assist by B. Diaw)
6:08.0,Turnover by T. Mozgov (lost ball),,15-16,,
6:08.0,,,15-16,,Utah full timeout
6:08.0,,,15-16,,D. Exum enters the game for R. Hood
5:48.0,,,15-16,,J. Johnson misses 2-pt shot from 3 ft
5:47.0,,,15-16,,Offensive rebound by R. Gobert
5:47.0,,,15-18,2,R. Gobert makes 2-pt shot at rim
5:26.0,L. Deng makes 3-pt shot from 24 ft (assist by J. Randle),3,18-18,,
5:04.0,,,18-18,,G. Hill misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by L. Deng,,18-18,,
