time,Dallas,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. D. Nowitzki (J. Lin gains possession),,,,Jump ball: B. Lopez vs. D. Nowitzki (J. Lin gains possession)
11:48.0,,,0-0,,B. Lopez misses 2-pt shot from 15 ft (block by Y. Ferrell)
11:47.0,,,0-0,,Offensive rebound by B. Lopez
11:41.0,,,0-0,,B. Lopez misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by W. Matthews,,0-0,,
11:27.0,W. Matthews makes 2-pt shot from 12 ft,2,2-0,,
11:17.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
11:16.0,Defensive rebound by Team,,2-0,,
11:01.0,Turnover by W. Matthews (bad pass; steal by R. Foye),,2-0,,
10:50.0,,,2-0,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by D. Nowitzki,,2-0,,
10:43.0,S. Curry misses 3-pt shot from 23 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by R. Foye
10:34.0,,,2-2,2,B. Lopez makes 2-pt shot from 8 ft (assist by R. Foye)
10:20.0,H. Barnes makes 2-pt shot from 3 ft (assist by Y. Ferrell),2,4-2,,
10:20.0,Shooting foul by C. LeVert (drawn by H. Barnes),,4-2,,
10:20.0,H. Barnes makes free throw 1 of 1,1,5-2,,
10:15.0,,,5-2,,Turnover by J. Lin (lost ball; steal by Y. Ferrell)
10:06.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,7-2,,
9:49.0,,,7-2,,J. Lin misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by D. Nowitzki,,7-2,,
9:31.0,Y. Ferrell makes 2-pt shot from 1 ft,2,9-2,,
9:30.0,,,9-2,,Brooklyn full timeout
9:13.0,,,9-2,,Shooting foul by D. Nowitzki (drawn by R. Foye)
9:13.0,,,9-3,1,R. Foye makes free throw 1 of 2
9:13.0,,,9-4,1,R. Foye makes free throw 2 of 2
8:48.0,Y. Ferrell makes 2-pt shot from 3 ft (assist by W. Matthews),2,11-4,,
8:37.0,,,11-4,,Turnover by B. Lopez (bad pass; steal by Y. Ferrell)
8:31.0,S. Curry misses 3-pt shot from 24 ft,,11-4,,
8:30.0,,,11-4,,Defensive rebound by C. LeVert
8:20.0,,,11-4,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
8:19.0,Defensive rebound by H. Barnes,,11-4,,
8:08.0,,,11-4,,Inbound foul by C. LeVert
8:08.0,W. Matthews misses free throw 1 of 1,,11-4,,
8:08.0,Offensive rebound by Team,,11-4,,
8:08.0,,,11-4,,K. McDaniels enters the game for C. LeVert
8:04.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by H. Barnes),2,13-4,,
7:52.0,,,13-4,,B. Lopez misses 2-pt shot from 10 ft
7:49.0,Defensive rebound by H. Barnes,,13-4,,
7:42.0,H. Barnes makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,15-4,,
7:34.0,Personal foul by Y. Ferrell (drawn by J. Lin),,15-4,,
7:27.0,,,15-4,,K. McDaniels misses 3-pt shot from 25 ft
7:26.0,,,15-4,,Offensive rebound by B. Lopez
7:25.0,,,15-4,,Turnover by B. Lopez (lost ball; steal by W. Matthews)
7:24.0,,,15-4,,Personal foul by K. McDaniels (drawn by W. Matthews)
7:12.0,D. Nowitzki misses 2-pt shot from 18 ft,,15-4,,
7:11.0,,,15-4,,Defensive rebound by R. Foye
7:05.0,,,15-6,2,R. Foye makes 2-pt shot from 1 ft
6:42.0,S. Curry makes 2-pt shot from 11 ft,2,17-6,,
6:31.0,N. Noel enters the game for D. Nowitzki,,17-6,,
6:31.0,J. Barea enters the game for S. Curry,,17-6,,
6:31.0,Jump ball: Y. Ferrell vs. B. Lopez (J. Lin gains possession),,,,Jump ball: Y. Ferrell vs. B. Lopez (J. Lin gains possession)
6:24.0,,,17-8,2,J. Lin makes 2-pt shot from 14 ft
6:09.0,,,17-8,,Personal foul by R. Hollis-Jefferson (drawn by H. Barnes)
6:09.0,,,17-8,,Q. Acy enters the game for R. Hollis-Jefferson
6:09.0,,,17-8,,I. Whitehead enters the game for R. Foye
6:09.0,S. Curry enters the game for Y. Ferrell,,17-8,,
5:52.0,S. Curry misses 3-pt shot from 23 ft,,17-8,,
5:51.0,,,17-8,,Defensive rebound by Q. Acy
5:45.0,Personal foul by J. Barea,,17-8,,
5:39.0,,,17-10,2,J. Lin makes 2-pt shot from 18 ft
5:22.0,H. Barnes makes 2-pt shot from 14 ft,2,19-10,,
5:10.0,,,19-10,,J. Lin misses 2-pt shot from 9 ft
5:08.0,Defensive rebound by J. Barea,,19-10,,
4:58.0,J. Barea misses 3-pt shot from 24 ft,,19-10,,
4:57.0,,,19-10,,Defensive rebound by Q. Acy
4:43.0,,,19-13,3,K. McDaniels makes 3-pt shot from 24 ft (assist by I. Whitehead)
4:36.0,Dallas full timeout,,19-13,,
4:36.0,,,19-13,,S. Dinwiddie enters the game for J. Lin
4:30.0,Turnover by S. Curry (step out of bounds),,19-13,,
4:14.0,,,19-15,2,K. McDaniels makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
4:06.0,,,19-15,,Personal foul by S. Dinwiddie
4:06.0,J. Barea misses free throw 1 of 2,,19-15,,
4:06.0,Offensive rebound by Team,,19-15,,
4:06.0,J. Barea makes free throw 2 of 2,1,20-15,,
4:06.0,D. Harris enters the game for S. Curry,,19-15,,
4:06.0,,,19-15,,A. Nicholson enters the game for B. Lopez
3:54.0,,,20-15,,K. McDaniels misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by W. Matthews,,20-15,,
3:41.0,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews),3,23-15,,
3:24.0,Shooting block foul by W. Matthews (drawn by Q. Acy),,23-15,,
3:24.0,,,23-15,,Q. Acy misses free throw 1 of 2
3:24.0,,,23-15,,Offensive rebound by Team
3:24.0,,,23-16,1,Q. Acy makes free throw 2 of 2
3:08.0,W. Matthews makes 3-pt shot from 24 ft (assist by N. Noel),3,26-16,,
3:02.0,Personal foul by J. Barea,,26-16,,
