time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Maker vs. J. Valanciunas (K. Lowry gains possession)
11:43.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 4 ft
11:43.0,,,0-2,,Shooting foul by T. Maker (drawn by J. Valanciunas)
11:43.0,,,0-3,1,J. Valanciunas makes free throw 1 of 1
11:22.0,T. Maker misses 2-pt shot from 3 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by J. Valanciunas
11:01.0,,,0-3,,J. Valanciunas misses 2-pt shot from 7 ft
11:01.0,,,0-3,,Offensive rebound by J. Valanciunas
10:46.0,,,0-3,,J. Valanciunas misses 2-pt shot from 6 ft
10:46.0,Defensive rebound by Team,,0-3,,
10:46.0,,,0-3,,Loose ball foul by S. Ibaka (drawn by K. Middleton)
10:21.0,T. Maker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,3-3,,
10:06.0,,,3-3,,S. Ibaka misses 2-pt shot from 14 ft
10:06.0,Defensive rebound by M. Brogdon,,3-3,,
9:55.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,3-3,,
9:54.0,,,3-3,,Defensive rebound by J. Valanciunas
9:41.0,,,3-6,3,S. Ibaka makes 3-pt shot from 23 ft (assist by D. Carroll)
9:29.0,Turnover by G. Antetokounmpo (lost ball; steal by K. Lowry),,3-6,,
9:25.0,Shooting block foul by K. Middleton (drawn by K. Lowry),,3-6,,
9:25.0,,,3-7,1,K. Lowry makes free throw 1 of 2
9:25.0,,,3-8,1,K. Lowry makes free throw 2 of 2
9:15.0,T. Snell makes 3-pt shot from 27 ft (assist by T. Maker),3,6-8,,
8:57.0,,,6-8,,J. Valanciunas misses 2-pt shot from 5 ft
8:57.0,Defensive rebound by G. Antetokounmpo,,6-8,,
8:49.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,6-8,,
8:48.0,,,6-8,,Defensive rebound by J. Valanciunas
8:42.0,,,6-8,,D. Carroll misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by T. Snell,,6-8,,
8:24.0,T. Maker misses 2-pt shot from 4 ft,,6-8,,
8:24.0,Offensive rebound by T. Maker,,6-8,,
8:22.0,T. Maker misses 2-pt shot from 2 ft (block by K. Lowry),,6-8,,
8:22.0,,,6-8,,Defensive rebound by Team
8:02.0,,,6-10,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
7:42.0,K. Middleton misses 2-pt shot from 20 ft,,6-10,,
7:42.0,,,6-10,,Defensive rebound by S. Ibaka
7:29.0,,,6-10,,Turnover by J. Valanciunas (3 sec)
7:13.0,M. Brogdon misses 2-pt shot from 7 ft,,6-10,,
7:13.0,,,6-10,,Defensive rebound by J. Valanciunas
7:05.0,,,6-10,,S. Ibaka misses 2-pt shot from 6 ft
