time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Frye vs. D. Howard (D. Schroder gains possession),,,,Jump ball: C. Frye vs. D. Howard (D. Schroder gains possession)
11:38.0,,,0-0,,P. Millsap misses 2-pt shot from 21 ft
11:37.0,Defensive rebound by L. James,,0-0,,
11:22.0,K. Irving makes 3-pt shot from 24 ft (assist by K. Love),3,3-0,,
11:02.0,,,3-0,,T. Waller-Prince misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by C. Frye,,3-0,,
10:51.0,L. James misses 2-pt shot from 4 ft (block by T. Waller-Prince),,3-0,,
10:49.0,Offensive rebound by L. James,,3-0,,
10:46.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,6-0,,
10:30.0,,,6-3,3,T. Hardaway makes 3-pt shot from 26 ft (assist by D. Schroder)
10:12.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,9-3,,
9:53.0,,,9-3,,P. Millsap misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by C. Frye,,9-3,,
9:46.0,J. Smith misses 3-pt shot from 26 ft,,9-3,,
9:43.0,Offensive rebound by C. Frye,,9-3,,
9:36.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,11-3,,
9:23.0,,,11-3,,P. Millsap misses 3-pt shot from 25 ft
9:21.0,,,11-3,,Offensive rebound by D. Howard
9:20.0,,,11-5,2,D. Howard makes 2-pt shot from 1 ft
9:06.0,C. Frye makes 2-pt shot at rim (assist by J. Smith),2,13-5,,
9:06.0,,,13-5,,Atlanta full timeout
8:52.0,,,13-8,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Hardaway)
8:37.0,Shooting foul by T. Waller-Prince (drawn by L. James),,13-8,,
8:37.0,L. James makes free throw 1 of 2,1,14-8,,
8:37.0,L. James makes free throw 2 of 2,1,15-8,,
8:18.0,,,15-10,2,D. Howard makes 2-pt shot from 4 ft (assist by T. Waller-Prince)
8:06.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,18-10,,
7:53.0,,,18-10,,Turnover by T. Waller-Prince (lost ball)
7:41.0,K. Love misses 2-pt shot from 6 ft,,18-10,,
7:39.0,Offensive rebound by K. Love,,18-10,,
7:39.0,K. Love misses 2-pt shot from 1 ft,,18-10,,
7:38.0,,,18-10,,Defensive rebound by P. Millsap
7:30.0,,,18-10,,D. Schroder misses 2-pt shot from 17 ft
7:27.0,Defensive rebound by J. Smith,,18-10,,
7:22.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,21-10,,
7:03.0,,,21-10,,Turnover by P. Millsap (bad pass)
6:54.0,K. Irving misses 3-pt shot from 24 ft,,21-10,,
6:53.0,,,21-10,,Defensive rebound by P. Millsap
6:48.0,,,21-10,,T. Hardaway misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by K. Love,,21-10,,
6:40.0,K. Irving misses 3-pt shot from 24 ft,,21-10,,
6:38.0,,,21-10,,Defensive rebound by T. Hardaway
6:27.0,,,21-12,2,D. Howard makes 2-pt shot from 7 ft (assist by T. Hardaway)
6:12.0,K. Love misses 3-pt shot from 24 ft,,21-12,,
6:09.0,,,21-12,,Defensive rebound by T. Hardaway
6:02.0,,,21-14,2,T. Hardaway makes 2-pt shot from 16 ft
6:02.0,,,21-14,,Shooting foul by K. Irving (drawn by T. Hardaway)
6:02.0,,,21-15,1,T. Hardaway makes free throw 1 of 1
6:02.0,,,21-14,,K. Bazemore enters the game for T. Waller-Prince
6:02.0,,,21-14,,E. Ilyasova enters the game for P. Millsap
5:49.0,Offensive charge foul by L. James,,21-15,,
5:49.0,Turnover by L. James (offensive foul),,21-15,,
5:36.0,,,21-15,,T. Hardaway misses 3-pt shot from 26 ft
5:34.0,,,21-15,,Offensive rebound by E. Ilyasova
5:31.0,,,21-15,,E. Ilyasova misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Smith,,21-15,,
5:24.0,,,21-15,,Personal foul by E. Ilyasova (drawn by K. Love)
5:19.0,K. Irving makes 3-pt shot from 24 ft (assist by K. Love),3,24-15,,
5:05.0,Violation by C. Frye (kicked ball),,24-15,,
5:05.0,,,24-15,,M. Dunleavy enters the game for T. Hardaway
4:59.0,,,24-15,,D. Schroder misses 2-pt shot from 1 ft (block by C. Frye)
