time,Sacramento,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: D. Howard vs. K. Koufos (D. Cousins gains possession)
11:34.0,R. Gay misses 2-pt shot from 2 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by Team
11:13.0,,,0-0,,P. Millsap misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by D. Cousins,,0-0,,
10:59.0,D. Cousins misses 2-pt shot from 3 ft (block by D. Howard),,0-0,,
10:58.0,Offensive rebound by D. Cousins,,0-0,,
10:52.0,T. Lawson misses 2-pt shot at rim (block by D. Howard),,0-0,,
10:52.0,Offensive rebound by Team,,0-0,,
10:50.0,Offensive charge foul by A. Afflalo,,0-0,,
10:50.0,Turnover by A. Afflalo (offensive foul),,0-0,,
10:39.0,,,0-2,2,D. Howard makes 2-pt shot from 7 ft (assist by K. Bazemore)
10:16.0,D. Cousins misses 3-pt shot from 25 ft,,0-2,,
10:15.0,,,0-2,,Defensive rebound by K. Bazemore
9:55.0,,,0-2,,P. Millsap misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by A. Afflalo,,0-2,,
9:48.0,D. Cousins misses 2-pt shot from 3 ft (block by P. Millsap),,0-2,,
9:46.0,,,0-2,,Defensive rebound by K. Bazemore
9:39.0,,,0-5,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
9:19.0,K. Koufos misses 2-pt shot from 8 ft,,0-5,,
9:17.0,,,0-5,,Defensive rebound by P. Millsap
9:09.0,,,0-5,,D. Schroder misses 2-pt shot at rim
9:07.0,,,0-5,,Offensive rebound by P. Millsap
9:02.0,,,0-5,,D. Schroder misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by A. Afflalo,,0-5,,
8:49.0,R. Gay makes 2-pt shot from 20 ft (assist by A. Afflalo),2,2-5,,
8:43.0,,,2-5,,Offensive foul by D. Howard
8:43.0,,,2-5,,Turnover by D. Howard (offensive foul)
8:28.0,Turnover by D. Cousins (bad pass),,2-5,,
8:17.0,,,2-8,3,D. Schroder makes 3-pt shot from 24 ft
7:56.0,D. Cousins misses 2-pt shot from 21 ft,,2-8,,
7:55.0,,,2-8,,Defensive rebound by P. Millsap
7:50.0,,,2-8,,Shooting foul by T. Lawson (drawn by D. Schroder)
7:50.0,,,2-9,1,D. Schroder makes free throw 1 of 2
7:50.0,,,2-9,,D. Schroder misses free throw 2 of 2
7:48.0,Defensive rebound by K. Koufos,,2-9,,
7:32.0,Turnover by K. Koufos (lost ball; steal by K. Bazemore),,2-9,,
7:24.0,,,2-9,,Turnover by K. Korver (bad pass; steal by K. Koufos)
7:17.0,Offensive foul by K. Koufos,,2-9,,
7:17.0,Turnover by K. Koufos (offensive foul),,2-9,,
7:17.0,,,2-9,,M. Muscala enters the game for D. Howard
7:07.0,,,2-9,,Turnover by P. Millsap (lost ball; steal by T. Lawson)
7:07.0,Jump ball: T. Lawson vs. P. Millsap (D. Cousins gains possession),,,,Jump ball: T. Lawson vs. P. Millsap (D. Cousins gains possession)
6:58.0,A. Afflalo makes 2-pt shot from 2 ft,2,4-9,,
6:50.0,Personal foul by T. Lawson (drawn by D. Schroder),,4-9,,
6:50.0,G. Temple enters the game for T. Lawson,,4-9,,
6:35.0,,,4-9,,D. Schroder misses 2-pt shot from 1 ft
6:32.0,,,4-9,,Offensive rebound by P. Millsap
6:32.0,,,4-11,2,P. Millsap makes 2-pt shot from 1 ft
6:16.0,R. Gay makes 3-pt shot from 25 ft (assist by K. Koufos),3,7-11,,
5:58.0,,,7-11,,M. Muscala misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by D. Cousins,,7-11,,
5:48.0,G. Temple misses 2-pt shot from 20 ft,,7-11,,
5:47.0,,,7-11,,Defensive rebound by P. Millsap
5:38.0,,,7-11,,Shooting foul by R. Gay (drawn by M. Muscala)
5:38.0,,,7-11,,Atlanta full timeout
5:38.0,,,7-11,,M. Muscala misses free throw 1 of 2
5:38.0,,,7-11,,Offensive rebound by Team
5:38.0,,,7-12,1,M. Muscala makes free throw 2 of 2
5:38.0,M. Barnes enters the game for K. Koufos,,7-11,,
5:25.0,Turnover by D. Cousins (bad pass; steal by K. Bazemore),,7-12,,
5:07.0,,,7-12,,K. Korver misses 3-pt shot from 23 ft
5:06.0,,,7-12,,Offensive rebound by P. Millsap
5:03.0,,,7-14,2,M. Muscala makes 2-pt shot from 2 ft (assist by P. Millsap)
4:51.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,9-14,,
4:36.0,Personal foul by A. Afflalo (drawn by M. Muscala),,9-14,,
