time,San Antonio,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. T. Thompson (K. Irving gains possession),,,,Jump ball: L. Aldridge vs. T. Thompson (K. Irving gains possession)
11:42.0,,,0-0,,K. Love misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by D. Green,,0-0,,
11:28.0,L. Aldridge misses 2-pt shot from 17 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by K. Love
11:17.0,,,0-3,3,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving)
11:07.0,D. Murray misses 2-pt shot from 1 ft,,0-3,,
11:06.0,Offensive rebound by D. Lee,,0-3,,
11:06.0,D. Lee makes 2-pt shot at rim,2,2-3,,
10:44.0,,,2-6,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:22.0,L. Aldridge misses 2-pt shot from 15 ft,,2-6,,
10:20.0,,,2-6,,Defensive rebound by T. Thompson
10:03.0,,,2-6,,L. James misses 2-pt shot from 1 ft
10:02.0,,,2-6,,Offensive rebound by T. Thompson
10:02.0,,,2-8,2,T. Thompson makes 2-pt shot from 1 ft
9:47.0,K. Leonard misses 2-pt shot from 19 ft,,2-8,,
9:47.0,,,2-8,,Defensive rebound by I. Shumpert
9:42.0,,,2-8,,I. Shumpert misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by D. Lee,,2-8,,
9:29.0,D. Green misses 3-pt shot from 29 ft,,2-8,,
9:29.0,Offensive rebound by Team,,2-8,,
9:29.0,,,2-8,,Loose ball foul by L. James (drawn by L. Aldridge)
9:12.0,K. Leonard makes 2-pt shot from 17 ft (assist by L. Aldridge),2,4-8,,
8:55.0,,,4-10,2,K. Irving makes 2-pt shot from 14 ft
8:40.0,L. Aldridge misses 2-pt shot from 1 ft,,4-10,,
8:39.0,,,4-10,,Defensive rebound by L. James
8:33.0,,,4-12,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
8:33.0,San Antonio full timeout,,4-12,,
8:22.0,K. Leonard misses 3-pt shot from 25 ft,,4-12,,
8:22.0,,,4-12,,Defensive rebound by K. Love
8:03.0,,,4-12,,I. Shumpert misses 2-pt shot from 17 ft
8:03.0,Defensive rebound by K. Leonard,,4-12,,
7:56.0,K. Leonard makes 2-pt shot from 6 ft,2,6-12,,
7:40.0,,,6-12,,K. Irving misses 2-pt shot from 1 ft
7:38.0,,,6-12,,Offensive rebound by T. Thompson
7:38.0,,,6-14,2,T. Thompson makes 2-pt shot at rim
7:13.0,D. Lee makes 2-pt shot at rim (assist by K. Leonard),2,8-14,,
6:55.0,,,8-14,,K. Love misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Lee,,8-14,,
6:50.0,K. Leonard makes 2-pt shot at rim (assist by D. Lee),2,10-14,,
6:32.0,,,10-14,,T. Thompson misses 2-pt shot from 5 ft
6:31.0,Defensive rebound by L. Aldridge,,10-14,,
6:26.0,D. Murray makes 2-pt shot from 8 ft,2,12-14,,
6:26.0,,,12-14,,Cleveland full timeout
6:05.0,,,12-14,,L. James misses 2-pt shot from 14 ft
6:04.0,Defensive rebound by D. Lee,,12-14,,
5:53.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Murray),2,14-14,,
