time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. D. Nowitzki (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. D. Nowitzki (P. Pierce gains possession)
11:40.0,,,0-0,,L. Mbah a Moute misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by H. Barnes,,0-0,,
11:25.0,Shooting foul by P. Pierce (drawn by W. Matthews),,0-0,,
11:25.0,W. Matthews makes free throw 1 of 2,1,1-0,,
11:25.0,W. Matthews misses free throw 2 of 2,,1-0,,
11:23.0,,,1-0,,Defensive rebound by D. Jordan
11:10.0,,,1-0,,Turnover by J. Redick (lost ball; steal by W. Matthews)
11:07.0,,,1-0,,Personal foul by J. Redick (drawn by W. Matthews)
10:58.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Williams),2,3-0,,
10:46.0,,,3-0,,D. Jordan misses 2-pt shot at rim
10:43.0,Defensive rebound by H. Barnes,,3-0,,
10:39.0,D. Finney-Smith misses 3-pt shot from 24 ft,,3-0,,
10:37.0,,,3-0,,Defensive rebound by D. Jordan
10:29.0,,,3-0,,Turnover by P. Pierce (lost ball; steal by W. Matthews)
10:24.0,H. Barnes misses 2-pt shot from 1 ft (block by D. Jordan),,3-0,,
10:24.0,,,3-0,,Defensive rebound by Team
10:14.0,,,3-3,3,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
10:00.0,D. Nowitzki misses 2-pt shot from 20 ft,,3-3,,
9:59.0,,,3-3,,Defensive rebound by J. Redick
9:52.0,,,3-3,,J. Redick misses 3-pt shot from 25 ft
9:51.0,,,3-3,,Offensive rebound by L. Mbah a Moute
9:46.0,,,3-6,3,P. Pierce makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
9:24.0,D. Williams makes 3-pt shot from 25 ft,3,6-6,,
9:10.0,,,6-6,,R. Felton misses 2-pt shot from 13 ft
9:07.0,Defensive rebound by D. Williams,,6-6,,
8:58.0,D. Finney-Smith misses 3-pt shot from 24 ft,,6-6,,
8:58.0,,,6-6,,Defensive rebound by P. Pierce
8:48.0,,,6-6,,P. Pierce misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by D. Williams,,6-6,,
8:22.0,H. Barnes misses 3-pt shot from 25 ft,,6-6,,
8:21.0,,,6-6,,Defensive rebound by D. Jordan
8:15.0,Personal foul by W. Matthews (drawn by L. Mbah a Moute),,6-6,,
8:13.0,,,6-6,,Shooting foul by H. Barnes (drawn by J. Redick)
8:13.0,,,6-7,1,J. Redick makes free throw 1 of 2
8:13.0,,,6-7,,J. Redick misses free throw 2 of 2
8:11.0,Defensive rebound by D. Nowitzki,,6-7,,
8:00.0,D. Williams misses 2-pt shot from 14 ft,,6-7,,
8:00.0,,,6-7,,Defensive rebound by P. Pierce
7:48.0,,,6-7,,Turnover by J. Redick (lost ball)
7:33.0,H. Barnes makes 2-pt shot from 10 ft,2,8-7,,
7:33.0,Shooting foul by R. Felton (drawn by H. Barnes),,8-7,,
7:33.0,H. Barnes makes free throw 1 of 1,1,9-7,,
7:22.0,,,9-9,2,R. Felton makes 2-pt shot from 3 ft (assist by J. Redick)
7:22.0,,,9-9,,Shooting foul by D. Williams (drawn by R. Felton)
7:22.0,,,9-10,1,R. Felton makes free throw 1 of 1
7:11.0,D. Nowitzki misses 3-pt shot from 25 ft,,9-10,,
7:10.0,,,9-10,,Defensive rebound by J. Redick
7:03.0,,,9-12,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick)
6:46.0,D. Williams makes 2-pt shot from 2 ft,2,11-12,,
6:40.0,,,11-12,,Turnover by D. Jordan (bad pass; steal by D. Finney-Smith)
6:34.0,D. Williams misses 3-pt shot from 24 ft,,11-12,,
6:33.0,,,11-12,,Defensive rebound by R. Felton
6:19.0,,,11-12,,R. Felton misses 2-pt shot from 19 ft
6:17.0,Defensive rebound by D. Williams,,11-12,,
6:03.0,H. Barnes misses 2-pt shot from 13 ft,,11-12,,
6:01.0,,,11-12,,Defensive rebound by L. Mbah a Moute
5:50.0,,,11-12,,LA Clippers full timeout
5:50.0,,,11-12,,A. Rivers enters the game for P. Pierce
5:50.0,D. Harris enters the game for D. Finney-Smith,,11-12,,
5:50.0,S. Curry enters the game for D. Nowitzki,,11-12,,
5:50.0,S. Mejri enters the game for D. Williams,,11-12,,
5:39.0,,,11-12,,R. Felton misses 2-pt shot from 19 ft
5:38.0,Defensive rebound by Team,,11-12,,
5:23.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Harris),2,13-12,,
5:09.0,,,13-14,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by A. Rivers)
5:09.0,Shooting block foul by D. Harris (drawn by L. Mbah a Moute),,13-14,,
5:09.0,,,13-15,1,L. Mbah a Moute makes free throw 1 of 1
4:51.0,S. Curry misses 2-pt shot from 21 ft,,13-15,,
4:51.0,,,13-15,,Defensive rebound by D. Jordan
4:41.0,,,13-18,3,A. Rivers makes 3-pt shot from 25 ft
4:17.0,W. Matthews misses 2-pt shot from 15 ft,,13-18,,
4:13.0,,,13-18,,Defensive rebound by D. Jordan
3:59.0,,,13-18,,Turnover by J. Redick (lost ball; steal by S. Curry)
3:53.0,D. Harris makes 2-pt shot from 1 ft (assist by S. Curry),2,15-18,,
3:36.0,,,15-21,3,A. Rivers makes 3-pt shot from 24 ft (assist by R. Felton)
3:14.0,H. Barnes makes 2-pt shot from 20 ft (assist by S. Curry),2,17-21,,
2:56.0,,,17-21,,D. Jordan misses 2-pt shot from 5 ft
2:55.0,Defensive rebound by D. Harris,,17-21,,
2:50.0,Turnover by D. Harris (bad pass; steal by A. Rivers),,17-21,,
2:35.0,,,17-21,,J. Redick misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by W. Matthews,,17-21,,
2:34.0,Dallas full timeout,,17-21,,
2:34.0,D. Finney-Smith enters the game for W. Matthews,,17-21,,
2:34.0,D. Nowitzki enters the game for H. Barnes,,17-21,,
2:34.0,,,17-21,,J. Crawford enters the game for J. Redick
2:34.0,,,17-21,,W. Johnson enters the game for L. Mbah a Moute
2:22.0,D. Harris misses 2-pt shot from 16 ft,,17-21,,
2:22.0,Offensive rebound by Team,,17-21,,
2:22.0,,,17-21,,Loose ball foul by A. Rivers (drawn by S. Mejri)
2:09.0,Turnover by D. Harris (bad pass; steal by W. Johnson),,17-21,,
2:03.0,,,17-21,,A. Rivers misses 2-pt shot from 1 ft (block by S. Mejri)
2:00.0,Defensive rebound by D. Nowitzki,,17-21,,
1:45.0,D. Harris makes 2-pt shot from 18 ft,2,19-21,,
1:20.0,,,19-21,,A. Rivers misses 2-pt shot from 16 ft
1:19.0,Defensive rebound by D. Finney-Smith,,19-21,,
1:05.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by S. Curry),2,21-21,,
0:52.0,,,21-21,,J. Crawford misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by S. Mejri,,21-21,,
0:33.0,,,21-21,,M. Speights enters the game for D. Jordan
0:33.0,,,21-21,,A. Anderson enters the game for R. Felton
0:33.0,D. Williams enters the game for D. Harris,,21-21,,
0:27.0,S. Curry misses 2-pt shot from 2 ft,,21-21,,
0:25.0,,,21-21,,Defensive rebound by M. Speights
0:07.0,,,21-24,3,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Nowitzki misses 2-pt shot from 2 ft,,21-24,,
11:35.0,Offensive rebound by D. Nowitzki,,21-24,,
11:35.0,D. Nowitzki misses 2-pt shot from 2 ft,,21-24,,
11:32.0,Offensive rebound by D. Nowitzki,,21-24,,
11:32.0,D. Nowitzki makes 2-pt shot from 1 ft,2,23-24,,
11:09.0,,,23-24,,M. Speights misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by Team,,23-24,,
10:58.0,Turnover by D. Nowitzki (bad pass; steal by A. Rivers),,23-24,,
10:58.0,Personal foul by D. Williams (drawn by W. Johnson),,23-24,,
10:45.0,,,23-24,,A. Rivers misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by D. Powell,,23-24,,
10:42.0,Turnover by D. Powell (bad pass; steal by M. Speights),,23-24,,
10:35.0,Personal foul by D. Nowitzki (drawn by M. Speights),,23-24,,
10:23.0,,,23-27,3,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers)
10:07.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by D. Williams),2,25-27,,
9:54.0,,,25-27,,A. Rivers misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by Team,,25-27,,
9:53.0,,,25-27,,L. Mbah a Moute enters the game for W. Johnson
9:37.0,D. Williams misses 2-pt shot from 22 ft,,25-27,,
9:36.0,,,25-27,,Defensive rebound by L. Mbah a Moute
9:26.0,,,25-29,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Crawford)
9:14.0,,,25-29,,Personal foul by A. Rivers (drawn by D. Nowitzki)
9:14.0,H. Barnes enters the game for D. Nowitzki,,25-29,,
9:06.0,D. Williams makes 2-pt shot from 12 ft,2,27-29,,
8:47.0,,,27-31,2,J. Crawford makes 2-pt shot from 17 ft
8:35.0,D. Harris misses 3-pt shot from 23 ft,,27-31,,
8:32.0,,,27-31,,Defensive rebound by J. Crawford
8:26.0,,,27-31,,Turnover by A. Anderson (lost ball)
8:26.0,Official timeout,,27-31,,
8:26.0,,,27-31,,R. Felton enters the game for A. Rivers
8:26.0,W. Matthews enters the game for D. Finney-Smith,,27-31,,
8:11.0,Turnover by D. Williams (bad pass; steal by L. Mbah a Moute),,27-31,,
8:04.0,,,27-31,,J. Crawford misses 2-pt shot from 2 ft
8:00.0,,,27-31,,Offensive rebound by M. Speights
8:00.0,,,27-31,,M. Speights misses 2-pt shot at rim (block by D. Harris)
7:59.0,Defensive rebound by D. Williams,,27-31,,
7:54.0,H. Barnes misses 2-pt shot from 1 ft,,27-31,,
7:53.0,,,27-31,,Defensive rebound by L. Mbah a Moute
7:38.0,,,27-34,3,M. Speights makes 3-pt shot from 25 ft (assist by J. Crawford)
7:24.0,Dallas full timeout,,27-34,,
7:24.0,,,27-34,,J. Redick enters the game for A. Anderson
7:15.0,H. Barnes makes 2-pt shot from 9 ft (assist by D. Williams),2,29-34,,
6:51.0,,,29-34,,Turnover by J. Crawford (lost ball; steal by D. Powell)
6:46.0,W. Matthews makes 2-pt shot from 1 ft,2,31-34,,
6:26.0,,,31-36,2,M. Speights makes 2-pt shot from 16 ft
6:07.0,D. Powell misses 2-pt shot from 19 ft,,31-36,,
6:07.0,,,31-36,,Defensive rebound by R. Felton
6:03.0,,,31-36,,Turnover by R. Felton (bad pass)
6:03.0,,,31-36,,D. Jordan enters the game for M. Speights
6:03.0,D. Nowitzki enters the game for D. Powell,,31-36,,
5:38.0,D. Nowitzki misses 2-pt shot from 17 ft,,31-36,,
5:38.0,,,31-36,,Defensive rebound by L. Mbah a Moute
5:33.0,,,31-36,,Shooting foul by D. Harris (drawn by J. Crawford)
5:33.0,,,31-36,,LA Clippers full timeout
5:33.0,,,31-37,1,J. Crawford makes free throw 1 of 2
5:33.0,,,31-38,1,J. Crawford makes free throw 2 of 2
5:33.0,S. Curry enters the game for D. Harris,,31-36,,
5:22.0,Turnover by D. Williams (bad pass; steal by R. Felton),,31-38,,
5:19.0,,,31-38,,Turnover by R. Felton (lost ball; steal by D. Williams)
5:14.0,D. Williams misses 2-pt shot from 15 ft,,31-38,,
5:13.0,Offensive rebound by H. Barnes,,31-38,,
5:04.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,34-38,,
4:51.0,Personal foul by D. Nowitzki (drawn by D. Jordan),,34-38,,
4:43.0,,,34-40,2,J. Crawford makes 2-pt shot from 18 ft
4:30.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,37-40,,
4:05.0,,,37-40,,Turnover by D. Jordan (bad pass; steal by H. Barnes)
3:59.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Williams),3,40-40,,
3:41.0,,,40-40,,J. Redick misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by D. Williams,,40-40,,
3:26.0,D. Nowitzki makes 2-pt shot from 14 ft,2,42-40,,
3:12.0,,,42-40,,R. Felton misses 2-pt shot from 7 ft (block by W. Matthews)
3:10.0,Defensive rebound by W. Matthews,,42-40,,
3:05.0,Turnover by H. Barnes (lost ball),,42-40,,
3:05.0,,,42-40,,A. Rivers enters the game for J. Crawford
2:54.0,,,42-40,,Offensive foul by D. Jordan
2:54.0,,,42-40,,Turnover by D. Jordan (offensive foul)
2:54.0,Dallas full timeout,,42-40,,
2:54.0,,,42-40,,Technical foul by D. Jordan
2:54.0,D. Nowitzki makes technical free throw,1,43-40,,
2:54.0,D. Finney-Smith enters the game for D. Williams,,42-40,,
2:54.0,S. Mejri enters the game for D. Nowitzki,,43-40,,
2:38.0,H. Barnes misses 3-pt shot from 24 ft,,43-40,,
2:38.0,,,43-40,,Defensive rebound by Team
2:19.0,,,43-40,,R. Felton misses 2-pt shot from 8 ft
2:18.0,,,43-40,,Offensive rebound by D. Jordan
2:18.0,,,43-40,,D. Jordan misses 2-pt shot at rim (block by H. Barnes)
2:18.0,Defensive rebound by Team,,43-40,,
2:02.0,H. Barnes makes 2-pt shot from 7 ft,2,45-40,,
1:44.0,,,45-40,,A. Rivers misses 3-pt shot from 26 ft
1:43.0,,,45-40,,Offensive rebound by D. Jordan
1:38.0,,,45-43,3,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
1:17.0,Turnover by H. Barnes (lost ball; steal by L. Mbah a Moute),,45-43,,
1:09.0,,,45-46,3,R. Felton makes 3-pt shot from 25 ft (assist by J. Redick)
0:43.0,W. Matthews makes 3-pt shot from 24 ft,3,48-46,,
0:34.0,,,48-48,2,A. Rivers makes 2-pt shot from 7 ft
0:18.0,H. Barnes makes 2-pt shot from 15 ft,2,50-48,,
0:18.0,,,50-48,,LA Clippers full timeout
0:18.0,,,50-48,,J. Crawford enters the game for L. Mbah a Moute
0:02.0,,,50-51,3,A. Rivers makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
