time,Dallas,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Noah (D. Finney-Smith gains possession),,,,Jump ball: A. Bogut vs. J. Noah (D. Finney-Smith gains possession)
11:45.0,D. Finney-Smith misses 2-pt shot from 1 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by C. Anthony
11:21.0,,,0-2,2,C. Anthony makes 2-pt shot from 7 ft
10:59.0,H. Barnes misses 2-pt shot from 16 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by K. Porzingis
10:42.0,,,0-2,,C. Lee misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by A. Bogut,,0-2,,
10:31.0,J. Barea misses 2-pt shot from 3 ft,,0-2,,
10:30.0,Offensive rebound by A. Bogut,,0-2,,
10:25.0,W. Matthews makes 3-pt shot from 26 ft (assist by A. Bogut),3,3-2,,
10:04.0,,,3-4,2,D. Rose makes 2-pt shot from 1 ft
9:37.0,H. Barnes misses 3-pt shot from 23 ft,,3-4,,
9:36.0,Offensive rebound by A. Bogut,,3-4,,
9:35.0,,,3-4,,Personal foul by C. Lee (drawn by A. Bogut)
9:18.0,H. Barnes misses 2-pt shot from 17 ft,,3-4,,
9:17.0,,,3-4,,Defensive rebound by D. Rose
9:09.0,,,3-4,,Turnover by D. Rose (back court)
8:55.0,D. Finney-Smith makes 2-pt shot from 17 ft (assist by H. Barnes),2,5-4,,
8:47.0,Personal foul by D. Finney-Smith (drawn by K. Porzingis),,5-4,,
8:39.0,,,5-6,2,K. Porzingis makes 2-pt shot from 12 ft
8:14.0,D. Finney-Smith misses 3-pt shot from 26 ft,,5-6,,
8:13.0,Offensive rebound by A. Bogut,,5-6,,
7:52.0,,,5-6,,Personal block foul by D. Rose (drawn by H. Barnes)
7:40.0,H. Barnes makes 2-pt shot from 10 ft,2,7-6,,
7:18.0,,,7-6,,Turnover by J. Noah (offensive goaltending)
7:04.0,W. Matthews makes 2-pt shot from 20 ft,2,9-6,,
6:51.0,,,9-6,,C. Anthony misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by W. Matthews,,9-6,,
6:41.0,J. Barea misses 3-pt shot from 25 ft,,9-6,,
6:40.0,,,9-6,,Defensive rebound by J. Noah
6:31.0,,,9-6,,C. Anthony misses 2-pt shot from 17 ft
6:30.0,Defensive rebound by A. Bogut,,9-6,,
6:11.0,H. Barnes makes 2-pt shot from 16 ft,2,11-6,,
5:56.0,,,11-9,3,K. Porzingis makes 3-pt shot from 23 ft (assist by C. Lee)
5:31.0,A. Bogut makes 2-pt shot from 8 ft,2,13-9,,
5:11.0,,,13-9,,Offensive charge foul by D. Rose
5:11.0,,,13-9,,Turnover by D. Rose (offensive foul)
5:11.0,,,13-9,,New York full timeout
5:11.0,,,13-9,,B. Jennings enters the game for D. Rose
5:11.0,S. Curry enters the game for A. Bogut,,13-9,,
5:11.0,D. Powell enters the game for J. Barea,,13-9,,
4:58.0,H. Barnes makes 2-pt shot at rim,2,15-9,,
4:34.0,,,15-9,,C. Anthony misses 2-pt shot at rim
4:33.0,,,15-9,,Offensive rebound by J. Noah
4:33.0,,,15-9,,J. Noah misses 2-pt shot from 2 ft
4:32.0,,,15-9,,Offensive rebound by J. Noah
4:32.0,,,15-9,,J. Noah misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by D. Finney-Smith,,15-9,,
4:20.0,W. Matthews misses 3-pt shot from 26 ft,,15-9,,
4:19.0,,,15-9,,Defensive rebound by K. Porzingis
4:12.0,Personal foul by D. Finney-Smith (drawn by C. Anthony),,15-9,,
4:12.0,,,15-9,,W. Hernangomez enters the game for J. Noah
4:12.0,,,15-9,,M. Ndour enters the game for K. Porzingis
4:12.0,J. Anderson enters the game for D. Finney-Smith,,15-9,,
4:06.0,,,15-9,,W. Hernangomez misses 2-pt shot from 2 ft
