time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Looney vs. K. Towns (K. Thompson gains possession),,,,Jump ball: K. Looney vs. K. Towns (K. Thompson gains possession)
11:41.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,3-0,,
11:23.0,,,3-2,2,A. Wiggins makes 2-pt shot from 3 ft
11:06.0,K. Durant misses 2-pt shot from 19 ft,,3-2,,
11:05.0,,,3-2,,Defensive rebound by Z. LaVine
10:46.0,,,3-4,2,G. Dieng makes 2-pt shot from 4 ft (assist by K. Towns)
10:30.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,6-4,,
10:17.0,Personal foul by K. Looney (drawn by K. Towns),,6-4,,
10:13.0,Violation by D. Green (kicked ball),,6-4,,
10:05.0,,,6-4,,Turnover by K. Towns (bad pass; steal by D. Green)
9:56.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,9-4,,
9:40.0,,,9-4,,K. Towns misses 2-pt shot from 9 ft
9:39.0,,,9-4,,Offensive rebound by R. Rubio
9:36.0,,,9-4,,Z. LaVine misses 3-pt shot from 23 ft
9:36.0,Defensive rebound by Team,,9-4,,
9:36.0,,,9-4,,Loose ball foul by K. Towns (drawn by K. Looney)
9:17.0,K. Durant misses 2-pt shot from 6 ft,,9-4,,
9:15.0,Offensive rebound by K. Thompson,,9-4,,
9:13.0,K. Thompson misses 2-pt shot from 5 ft,,9-4,,
9:12.0,,,9-4,,Defensive rebound by K. Towns
8:55.0,,,9-6,2,A. Wiggins makes 2-pt shot from 21 ft
8:40.0,K. Durant misses 2-pt shot from 4 ft,,9-6,,
8:39.0,,,9-6,,Defensive rebound by K. Towns
8:32.0,,,9-8,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
8:17.0,Turnover by K. Looney (3 sec),,9-8,,
8:01.0,,,9-8,,Turnover by R. Rubio (bad pass; steal by K. Looney)
7:51.0,S. Curry misses 3-pt shot from 25 ft,,9-8,,
7:50.0,,,9-8,,Defensive rebound by K. Towns
7:31.0,,,9-8,,Shooting foul by K. Looney (drawn by A. Wiggins)
7:31.0,,,9-9,1,A. Wiggins makes free throw 1 of 2
7:31.0,,,9-9,,A. Wiggins misses free throw 2 of 2
7:31.0,J. McGee enters the game for K. Looney,,9-9,,
7:30.0,,,9-9,,Offensive rebound by K. Towns
7:17.0,,,9-11,2,K. Towns makes 2-pt shot from 18 ft
7:17.0,,,9-11,,Shooting foul by J. McGee (drawn by K. Towns)
7:17.0,,,9-12,1,K. Towns makes free throw 1 of 1
7:07.0,K. Thompson makes 2-pt shot from 1 ft,2,11-12,,
6:58.0,,,11-15,3,Z. LaVine makes 3-pt shot from 26 ft
6:45.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,13-15,,
6:29.0,,,13-15,,Shooting foul by J. McGee (drawn by K. Towns)
6:29.0,,,13-16,1,K. Towns makes free throw 1 of 2
6:29.0,,,13-16,,K. Towns misses free throw 2 of 2
6:26.0,Defensive rebound by D. Green,,13-16,,
6:20.0,K. Thompson misses 3-pt shot from 24 ft,,13-16,,
6:18.0,Offensive rebound by Team,,13-16,,
6:18.0,,,13-16,,Personal foul by A. Wiggins (drawn by K. Durant)
6:16.0,,,13-16,,Shooting block foul by G. Dieng (drawn by K. Thompson)
6:16.0,K. Thompson makes free throw 1 of 2,1,14-16,,
6:16.0,K. Thompson makes free throw 2 of 2,1,15-16,,
6:08.0,,,15-16,,G. Dieng misses 2-pt shot from 20 ft
6:06.0,Defensive rebound by K. Durant,,15-16,,
5:59.0,Shooting foul by K. Towns (drawn by K. Durant),,15-16,,
5:59.0,,,15-16,,Minnesota full timeout
5:59.0,K. Durant makes free throw 1 of 3,1,16-16,,
5:59.0,K. Durant makes free throw 2 of 3,1,17-16,,
5:59.0,K. Durant makes free throw 3 of 3,1,18-16,,
5:59.0,,,15-16,,A. Payne enters the game for K. Towns
5:47.0,,,18-18,2,A. Wiggins makes 2-pt shot from 21 ft (assist by R. Rubio)
5:33.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,20-18,,
5:07.0,,,20-18,,A. Wiggins misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by S. Curry,,20-18,,
5:02.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,22-18,,
4:41.0,,,22-18,,Turnover by A. Wiggins (bad pass; steal by J. McGee)
4:24.0,Turnover by K. Durant (traveling),,22-18,,
4:24.0,A. Iguodala enters the game for K. Durant,,22-18,,
4:04.0,,,22-18,,G. Dieng misses 2-pt shot at rim
4:03.0,,,22-18,,Offensive rebound by G. Dieng
4:01.0,,,22-18,,A. Payne misses 2-pt shot from 1 ft
3:59.0,,,22-18,,Offensive rebound by A. Payne
3:59.0,,,22-18,,Shooting foul by J. McGee (drawn by A. Payne)
3:59.0,,,22-18,,A. Payne misses free throw 1 of 2
3:59.0,,,22-18,,Offensive rebound by Team
3:59.0,,,22-19,1,A. Payne makes free throw 2 of 2
3:59.0,D. West enters the game for J. McGee,,22-18,,
3:38.0,D. West misses 2-pt shot from 19 ft,,22-19,,
3:37.0,,,22-19,,Defensive rebound by A. Payne
3:33.0,,,22-19,,Shooting foul by D. West (drawn by G. Dieng)
3:33.0,,,22-20,1,G. Dieng makes free throw 1 of 2
3:33.0,,,22-21,1,G. Dieng makes free throw 2 of 2
3:33.0,,,22-20,,S. Muhammad enters the game for Z. LaVine
3:33.0,P. McCaw enters the game for K. Thompson,,22-20,,
3:24.0,S. Curry misses 2-pt shot from 20 ft,,22-21,,
3:23.0,,,22-21,,Defensive rebound by G. Dieng
3:09.0,,,22-23,2,A. Wiggins makes 2-pt shot from 3 ft
2:49.0,S. Curry misses 2-pt shot from 19 ft,,22-23,,
2:48.0,,,22-23,,Defensive rebound by A. Payne
2:38.0,,,22-23,,G. Dieng misses 2-pt shot from 6 ft
2:37.0,Defensive rebound by A. Iguodala,,22-23,,
2:28.0,D. West misses 2-pt shot at rim,,22-23,,
2:27.0,,,22-23,,Defensive rebound by G. Dieng
2:23.0,,,22-23,,Turnover by G. Dieng (back court)
2:23.0,Golden State full timeout,,22-23,,
2:23.0,,,22-23,,K. Dunn enters the game for R. Rubio
2:23.0,K. Durant enters the game for D. Green,,22-23,,
2:19.0,Shooting foul by G. Dieng (drawn by S. Curry),,22-23,,
2:19.0,S. Curry makes free throw 1 of 2,1,23-23,,
2:19.0,S. Curry makes free throw 2 of 2,1,24-23,,
1:59.0,,,24-25,2,A. Payne makes 2-pt shot from 21 ft (assist by S. Muhammad)
1:48.0,K. Durant misses 2-pt shot from 12 ft,,24-25,,
1:47.0,,,24-25,,Defensive rebound by A. Wiggins
1:29.0,,,24-27,2,G. Dieng makes 2-pt shot from 6 ft (assist by A. Wiggins)
1:14.0,S. Curry makes 2-pt shot from 2 ft,2,26-27,,
0:59.0,,,26-27,,Turnover by A. Wiggins (lost ball; steal by P. McCaw)
0:53.0,Shooting foul by A. Payne (drawn by K. Durant),,26-27,,
0:53.0,K. Durant makes free throw 1 of 2,1,27-27,,
0:53.0,K. Durant makes free throw 2 of 2,1,28-27,,
0:53.0,K. Thompson enters the game for S. Curry,,27-27,,
0:35.0,,,28-27,,A. Payne misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by D. West,,28-27,,
0:28.0,,,28-27,,Shooting block foul by A. Payne (drawn by K. Durant)
