time,Indiana,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Turner (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. M. Turner (L. Aldridge gains possession)
11:46.0,,,0-0,,Shooting foul by T. Young (drawn by D. Dedmon)
11:46.0,,,0-1,1,D. Dedmon makes free throw 1 of 2
11:46.0,,,0-2,1,D. Dedmon makes free throw 2 of 2
11:30.0,Turnover by T. Young (3 sec),,0-2,,
11:16.0,,,0-4,2,L. Aldridge makes 2-pt shot from 14 ft
11:02.0,C. Miles misses 2-pt shot at rim (block by D. Green),,0-4,,
11:01.0,Offensive rebound by C. Miles,,0-4,,
10:59.0,C. Miles makes 2-pt shot from 2 ft,2,2-4,,
10:50.0,,,2-7,3,D. Green makes 3-pt shot from 23 ft (assist by D. Murray)
10:37.0,T. Young misses 2-pt shot from 17 ft,,2-7,,
10:37.0,,,2-7,,Defensive rebound by K. Leonard
10:24.0,,,2-7,,L. Aldridge misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by P. George,,2-7,,
10:10.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,4-7,,
9:58.0,,,4-7,,Offensive foul by D. Murray
9:58.0,,,4-7,,Turnover by D. Murray (offensive foul)
9:58.0,,,4-7,,Technical foul by Team
9:58.0,P. George makes technical free throw,1,5-7,,
9:41.0,P. George makes 2-pt shot from 17 ft (assist by M. Turner),2,7-7,,
9:30.0,,,7-7,,D. Murray misses 2-pt shot from 14 ft
9:28.0,Defensive rebound by M. Turner,,7-7,,
9:13.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,9-7,,
8:53.0,,,9-7,,L. Aldridge misses 2-pt shot from 12 ft
8:52.0,,,9-7,,Offensive rebound by L. Aldridge
8:49.0,,,9-9,2,L. Aldridge makes 2-pt shot from 1 ft
8:25.0,J. Teague makes 2-pt shot from 17 ft,2,11-9,,
8:03.0,,,11-11,2,K. Leonard makes 2-pt shot from 13 ft
7:52.0,C. Miles misses 3-pt shot from 26 ft,,11-11,,
7:51.0,,,11-11,,Defensive rebound by D. Dedmon
7:44.0,Personal foul by T. Young (drawn by L. Aldridge),,11-11,,
7:44.0,L. Allen enters the game for T. Young,,11-11,,
7:32.0,,,11-13,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Leonard)
7:18.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,13-13,,
7:14.0,,,13-13,,San Antonio full timeout
7:01.0,,,13-13,,D. Green misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by P. George,,13-13,,
6:51.0,C. Miles misses 3-pt shot from 23 ft,,13-13,,
6:50.0,Offensive rebound by Team,,13-13,,
6:49.0,,,13-13,,P. Mills enters the game for D. Murray
6:38.0,P. George misses 2-pt shot from 15 ft,,13-13,,
6:35.0,,,13-13,,Defensive rebound by D. Dedmon
6:28.0,,,13-13,,K. Leonard misses 2-pt shot from 20 ft
6:28.0,,,13-13,,Offensive rebound by Team
6:26.0,,,13-13,,Turnover by D. Dedmon (bad pass; steal by M. Turner)
6:13.0,P. George misses 3-pt shot from 25 ft,,13-13,,
6:12.0,,,13-13,,Defensive rebound by Team
5:57.0,,,13-13,,K. Leonard misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by Team,,13-13,,
5:56.0,,,13-13,,Loose ball foul by D. Dedmon (drawn by M. Turner)
5:45.0,P. George misses 3-pt shot from 24 ft,,13-13,,
5:44.0,Offensive rebound by L. Allen,,13-13,,
5:38.0,C. Miles makes 2-pt shot at rim (assist by L. Allen),2,15-13,,
5:38.0,Shooting foul by K. Leonard (drawn by C. Miles),,15-13,,
5:38.0,C. Miles makes free throw 1 of 1,1,16-13,,
5:38.0,,,15-13,,M. Ginobili enters the game for D. Green
5:38.0,,,15-13,,P. Gasol enters the game for D. Dedmon
5:26.0,,,16-13,,P. Mills misses 3-pt shot from 25 ft
5:26.0,,,16-13,,Offensive rebound by L. Aldridge
5:17.0,,,16-13,,P. Mills misses 3-pt shot from 25 ft
5:15.0,,,16-13,,Offensive rebound by K. Leonard
5:10.0,,,16-15,2,K. Leonard makes 2-pt shot at rim
4:57.0,Shooting foul by P. Mills (drawn by J. Teague),,16-15,,
4:57.0,J. Teague makes free throw 1 of 3,1,17-15,,
4:57.0,J. Teague makes free throw 2 of 3,1,18-15,,
4:57.0,J. Teague misses free throw 3 of 3,,18-15,,
4:57.0,M. Ellis enters the game for C. Miles,,18-15,,
4:56.0,,,18-15,,Defensive rebound by K. Leonard
4:44.0,,,18-15,,L. Aldridge misses 2-pt shot from 13 ft
4:44.0,Defensive rebound by J. Teague,,18-15,,
4:33.0,L. Allen misses 2-pt shot from 17 ft,,18-15,,
4:31.0,,,18-15,,Defensive rebound by L. Aldridge
4:24.0,,,18-15,,Shooting foul by L. Allen (drawn by K. Leonard)
4:24.0,,,18-16,1,K. Leonard makes free throw 1 of 2
4:24.0,,,18-17,1,K. Leonard makes free throw 2 of 2
4:24.0,,,18-16,,D. Lee enters the game for L. Aldridge
4:07.0,,,18-17,,Personal foul by K. Leonard (drawn by M. Turner)
4:07.0,,,18-17,,Violation by Team (jump ball)
3:53.0,M. Turner misses 3-pt shot from 24 ft,,18-17,,
3:50.0,Offensive rebound by L. Allen,,18-17,,
3:46.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,20-17,,
3:26.0,,,20-17,,M. Ginobili misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by L. Allen,,20-17,,
3:15.0,L. Allen makes 2-pt shot at rim (assist by J. Teague),2,22-17,,
2:58.0,Indiana full timeout,,22-17,,
2:51.0,,,22-17,,K. Leonard misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by M. Turner,,22-17,,
2:42.0,P. George misses 2-pt shot at rim (block by D. Lee),,22-17,,
2:40.0,,,22-17,,Defensive rebound by K. Leonard
2:38.0,,,22-17,,Turnover by K. Leonard (lost ball; steal by L. Allen)
2:37.0,,,22-17,,Shooting block foul by M. Ginobili (drawn by P. George)
2:37.0,P. George makes free throw 1 of 2,1,23-17,,
2:37.0,P. George makes free throw 2 of 2,1,24-17,,
2:37.0,,,23-17,,J. Simmons enters the game for K. Leonard
2:37.0,R. Stuckey enters the game for J. Teague,,23-17,,
2:22.0,,,24-17,,Shooting foul by L. Allen (drawn by P. Gasol)
2:22.0,,,24-18,1,P. Gasol makes free throw 1 of 2
2:22.0,,,24-19,1,P. Gasol makes free throw 2 of 2
2:22.0,R. Christmas enters the game for M. Turner,,24-18,,
2:02.0,P. George makes 2-pt shot from 14 ft,2,26-19,,
1:48.0,,,26-22,3,P. Gasol makes 3-pt shot from 22 ft (assist by P. Mills)
1:35.0,,,26-22,,Personal foul by J. Simmons (drawn by P. George)
1:35.0,P. George makes free throw 1 of 2,1,27-22,,
1:35.0,P. George makes free throw 2 of 2,1,28-22,,
1:16.0,,,28-24,2,P. Gasol makes 2-pt shot from 14 ft
0:57.0,R. Christmas misses 2-pt shot from 1 ft,,28-24,,
0:55.0,Offensive rebound by L. Allen,,28-24,,
0:52.0,Turnover by R. Stuckey (lost ball),,28-24,,
0:52.0,G. Robinson enters the game for P. George,,28-24,,
0:32.0,,,28-26,2,D. Lee makes 2-pt shot at rim (assist by P. Gasol)
0:24.0,R. Stuckey misses 2-pt shot from 14 ft,,28-26,,
0:22.0,,,28-26,,Defensive rebound by D. Lee
0:03.0,,,28-28,2,M. Ginobili makes 2-pt shot from 2 ft
0:03.0,,,28-28,,Shooting foul by L. Allen (drawn by M. Ginobili)
0:03.0,,,28-29,1,M. Ginobili makes free throw 1 of 1
0:00.0,R. Stuckey misses 3-pt shot from 74 ft,,28-29,,
0:00.0,Offensive rebound by Team,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Offensive foul by R. Christmas,,28-29,,
11:45.0,Turnover by R. Christmas (offensive foul),,28-29,,
11:26.0,,,28-29,,P. Gasol misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by M. Ellis,,28-29,,
11:17.0,M. Ellis misses 2-pt shot from 7 ft,,28-29,,
11:15.0,,,28-29,,Defensive rebound by D. Lee
11:08.0,,,28-29,,Turnover by P. Gasol (bad pass; steal by G. Robinson)
11:04.0,,,28-29,,Violation by J. Simmons (def goaltending)
11:04.0,M. Ellis makes 2-pt shot from 1 ft (assist by G. Robinson),2,30-29,,
10:46.0,,,30-29,,M. Ginobili misses 2-pt shot from 1 ft
10:45.0,,,30-29,,Offensive rebound by D. Lee
10:42.0,,,30-31,2,D. Lee makes 2-pt shot from 1 ft
10:26.0,,,30-31,,Personal foul by M. Ginobili (drawn by R. Christmas)
10:26.0,,,30-31,,D. Murray enters the game for P. Mills
