time,Atlanta,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Mozgov (J. Calderon gains possession),,,,Jump ball: D. Howard vs. T. Mozgov (J. Calderon gains possession)
11:35.0,,,0-2,2,L. Deng makes 2-pt shot from 5 ft
11:19.0,D. Howard misses 2-pt shot from 14 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by T. Robinson
11:11.0,,,0-2,,N. Young misses 2-pt shot from 18 ft
11:10.0,Defensive rebound by P. Millsap,,0-2,,
11:04.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,2-2,,
10:46.0,,,2-2,,L. Deng misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by D. Schroder,,2-2,,
10:37.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,4-2,,
10:19.0,,,4-2,,Shooting foul by P. Millsap (drawn by T. Robinson)
10:19.0,,,4-2,,T. Robinson misses free throw 1 of 2
10:19.0,,,4-2,,Offensive rebound by Team
10:19.0,,,4-3,1,T. Robinson makes free throw 2 of 2
10:04.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,6-3,,
9:52.0,,,6-3,,J. Calderon misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by D. Howard,,6-3,,
9:41.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Howard),3,9-3,,
9:21.0,,,9-6,3,N. Young makes 3-pt shot from 26 ft (assist by T. Mozgov)
9:09.0,D. Schroder makes 2-pt shot from 4 ft,2,11-6,,
8:56.0,,,11-8,2,J. Calderon makes 2-pt shot from 15 ft
8:35.0,P. Millsap misses 2-pt shot from 8 ft,,11-8,,
8:31.0,,,11-8,,Defensive rebound by T. Robinson
8:23.0,,,11-8,,T. Robinson misses 2-pt shot from 6 ft
8:21.0,,,11-8,,Offensive rebound by T. Robinson
8:21.0,,,11-8,,T. Robinson misses 2-pt shot from 1 ft
8:19.0,,,11-8,,Offensive rebound by T. Robinson
8:19.0,,,11-8,,T. Robinson misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by K. Korver,,11-8,,
8:13.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,13-8,,
8:13.0,,,13-8,,LA Lakers full timeout
8:01.0,,,13-8,,N. Young misses 2-pt shot from 2 ft (block by D. Howard)
7:59.0,Defensive rebound by D. Schroder,,13-8,,
7:53.0,D. Howard misses 2-pt shot at rim,,13-8,,
7:45.0,Offensive rebound by D. Schroder,,13-8,,
7:45.0,D. Schroder makes 2-pt shot from 1 ft,2,15-8,,
7:34.0,,,15-10,2,T. Mozgov makes 2-pt shot from 16 ft (assist by J. Calderon)
7:18.0,K. Bazemore misses 2-pt shot at rim,,15-10,,
7:18.0,,,15-10,,Defensive rebound by Team
7:01.0,,,15-12,2,J. Calderon makes 2-pt shot from 18 ft (assist by T. Mozgov)
6:37.0,D. Schroder makes 3-pt shot from 24 ft (assist by K. Korver),3,18-12,,
6:22.0,,,18-12,,T. Mozgov misses 2-pt shot from 19 ft
6:21.0,,,18-12,,Offensive rebound by T. Robinson
6:15.0,,,18-12,,L. Deng misses 3-pt shot from 30 ft
6:14.0,Defensive rebound by D. Howard,,18-12,,
5:56.0,Turnover by P. Millsap (bad pass; steal by J. Calderon),,18-12,,
5:51.0,,,18-14,2,T. Robinson makes 2-pt shot at rim (assist by J. Calderon)
5:31.0,D. Schroder misses 3-pt shot from 25 ft,,18-14,,
5:30.0,Offensive rebound by Team,,18-14,,
5:30.0,M. Muscala enters the game for P. Millsap,,18-14,,
5:30.0,,,18-14,,L. Nance enters the game for T. Robinson
5:30.0,,,18-14,,B. Ingram enters the game for J. Calderon
5:19.0,D. Howard makes 2-pt shot from 20 ft (assist by K. Bazemore),2,20-14,,
4:57.0,,,20-14,,Turnover by L. Deng (lost ball; steal by K. Bazemore)
4:48.0,D. Schroder misses 2-pt shot from 1 ft,,20-14,,
4:45.0,,,20-14,,Defensive rebound by L. Deng
4:40.0,,,20-14,,B. Ingram misses 2-pt shot from 11 ft
4:36.0,Defensive rebound by M. Muscala,,20-14,,
4:31.0,Shooting foul by N. Young (drawn by D. Howard),,20-14,,
4:31.0,D. Howard misses free throw 1 of 2,,20-14,,
4:31.0,Offensive rebound by Team,,20-14,,
4:31.0,D. Howard makes free throw 2 of 2,1,21-14,,
4:31.0,,,20-14,,J. Clarkson enters the game for N. Young
4:31.0,,,20-14,,L. Williams enters the game for L. Deng
4:10.0,,,21-14,,L. Williams misses 2-pt shot from 3 ft (block by M. Muscala)
4:09.0,Defensive rebound by K. Korver,,21-14,,
4:04.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Howard),3,24-14,,
3:41.0,,,24-14,,J. Clarkson misses 2-pt shot from 10 ft
3:39.0,Defensive rebound by K. Korver,,24-14,,
3:31.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Bazemore),2,26-14,,
3:31.0,,,26-14,,LA Lakers full timeout
3:31.0,T. Sefolosha enters the game for K. Bazemore,,26-14,,
3:31.0,T. Hardaway enters the game for K. Korver,,26-14,,
3:31.0,,,26-14,,T. Black enters the game for T. Mozgov
3:18.0,,,26-14,,J. Clarkson misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by D. Howard,,26-14,,
3:10.0,D. Schroder misses 3-pt shot from 26 ft,,26-14,,
3:05.0,,,26-14,,Defensive rebound by L. Williams
3:05.0,,,26-14,,Shooting foul by T. Hardaway
3:05.0,,,26-15,1,L. Williams makes free throw 1 of 2
3:05.0,,,26-16,1,L. Williams makes free throw 2 of 2
2:47.0,,,26-16,,Loose ball foul by L. Nance (drawn by D. Howard)
2:47.0,Atlanta full timeout,,26-16,,
2:37.0,T. Hardaway misses 3-pt shot from 25 ft,,26-16,,
2:36.0,,,26-16,,Defensive rebound by B. Ingram
2:20.0,,,26-16,,B. Ingram misses 2-pt shot from 9 ft
2:16.0,Defensive rebound by T. Sefolosha,,26-16,,
2:09.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder),3,29-16,,
1:50.0,,,29-16,,L. Williams misses 2-pt shot from 15 ft
1:50.0,,,29-16,,Offensive rebound by T. Black
1:50.0,,,29-18,2,T. Black makes 2-pt shot from 2 ft
1:50.0,,,29-18,,Shooting foul by D. Howard (drawn by T. Black)
1:50.0,,,29-19,1,T. Black makes free throw 1 of 1
1:50.0,P. Millsap enters the game for D. Howard,,29-18,,
1:50.0,M. Delaney enters the game for D. Schroder,,29-18,,
1:36.0,M. Muscala misses 2-pt shot from 10 ft,,29-19,,
1:35.0,,,29-19,,Defensive rebound by L. Williams
1:22.0,,,29-19,,T. Black misses 2-pt shot from 5 ft
1:20.0,,,29-19,,Offensive rebound by J. Clarkson
1:17.0,,,29-19,,Turnover by L. Nance (offensive foul)
1:17.0,,,29-19,,Offensive foul by L. Nance
1:03.0,M. Muscala makes 3-pt shot from 23 ft (assist by M. Delaney),3,32-19,,
0:42.0,,,32-21,2,J. Clarkson makes 2-pt shot at rim
0:33.0,M. Delaney misses 2-pt shot from 3 ft,,32-21,,
0:33.0,Offensive rebound by Team,,32-21,,
0:27.0,M. Muscala misses 3-pt shot from 25 ft,,32-21,,
0:26.0,,,32-21,,Defensive rebound by L. Nance
0:09.0,,,32-21,,B. Ingram misses 2-pt shot from 5 ft (block by M. Muscala)
0:09.0,Defensive rebound by M. Muscala,,32-21,,
0:09.0,,,32-21,,Loose ball foul by B. Ingram (drawn by M. Muscala)
0:09.0,K. Korver enters the game for T. Sefolosha,,32-21,,
0:09.0,,,32-21,,L. Deng enters the game for L. Nance
0:02.0,P. Millsap misses 2-pt shot from 13 ft,,32-21,,
0:00.0,Offensive rebound by Team,,32-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Hardaway misses 2-pt shot from 1 ft,,32-21,,
11:41.0,,,32-21,,Defensive rebound by J. Clarkson
11:34.0,,,32-21,,J. Clarkson misses 2-pt shot from 6 ft
11:30.0,Defensive rebound by P. Millsap,,32-21,,
11:11.0,P. Millsap misses 3-pt shot from 25 ft,,32-21,,
11:10.0,,,32-21,,Defensive rebound by B. Ingram
10:55.0,,,32-23,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
10:40.0,K. Korver enters the game for T. Hardaway,,32-23,,
10:40.0,T. Waller-Prince enters the game for T. Sefolosha,,32-23,,
10:37.0,P. Millsap makes 2-pt shot from 5 ft (assist by K. Korver),2,34-23,,
10:17.0,,,34-25,2,L. Nance makes 2-pt shot from 14 ft (assist by J. Clarkson)
9:52.0,M. Delaney makes 2-pt shot from 20 ft,2,36-25,,
9:43.0,,,36-27,2,L. Nance makes 2-pt shot from 18 ft (assist by L. Williams)
9:29.0,K. Korver misses 3-pt shot from 24 ft,,36-27,,
9:28.0,,,36-27,,Defensive rebound by L. Nance
9:22.0,,,36-29,2,L. Williams makes 2-pt shot from 2 ft
9:22.0,,,36-29,,Shooting foul by M. Muscala
9:22.0,,,36-30,1,L. Williams makes free throw 1 of 1
9:07.0,K. Korver misses 3-pt shot from 26 ft,,36-30,,
9:06.0,,,36-30,,Defensive rebound by B. Ingram
8:59.0,,,36-30,,T. Black misses 2-pt shot from 2 ft
8:58.0,,,36-30,,Offensive rebound by L. Nance
8:58.0,,,36-32,2,L. Nance makes 2-pt shot from 2 ft
8:58.0,Atlanta full timeout,,36-32,,
8:58.0,D. Howard enters the game for M. Muscala,,36-32,,
8:47.0,M. Delaney makes 2-pt shot from 14 ft,2,38-32,,
8:34.0,,,38-32,,L. Williams misses 3-pt shot from 27 ft
8:30.0,Defensive rebound by P. Millsap,,38-32,,
8:21.0,,,38-32,,Personal foul by B. Ingram (drawn by D. Howard)
8:19.0,Offensive foul by K. Korver,,38-32,,
8:19.0,Turnover by K. Korver (offensive foul),,38-32,,
8:06.0,,,38-32,,J. Clarkson misses 2-pt shot from 16 ft
8:02.0,Defensive rebound by M. Delaney,,38-32,,
7:48.0,P. Millsap misses 2-pt shot from 7 ft,,38-32,,
7:44.0,,,38-32,,Defensive rebound by B. Ingram
7:26.0,,,38-34,2,B. Ingram makes 2-pt shot from 14 ft (assist by J. Clarkson)
7:11.0,Turnover by D. Howard (lost ball; steal by J. Clarkson),,38-34,,
7:08.0,,,38-34,,Shooting foul by T. Waller-Prince (drawn by J. Clarkson)
7:08.0,,,38-35,1,J. Clarkson makes free throw 1 of 2
7:08.0,,,38-36,1,J. Clarkson makes free throw 2 of 2
7:08.0,D. Schroder enters the game for M. Delaney,,38-35,,
7:08.0,M. Muscala enters the game for P. Millsap,,38-35,,
