time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession)
11:40.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Drummond),3,3-0,,
11:24.0,,,3-2,2,O. Porter makes 2-pt shot from 16 ft (assist by M. Morris)
11:08.0,R. Jackson misses 2-pt shot from 18 ft,,3-2,,
11:07.0,Offensive rebound by A. Drummond,,3-2,,
11:00.0,M. Morris misses 3-pt shot from 25 ft,,3-2,,
10:58.0,,,3-2,,Defensive rebound by M. Morris
10:49.0,,,3-2,,J. Wall misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by A. Drummond,,3-2,,
10:40.0,Turnover by K. Caldwell-Pope (bad pass),,3-2,,
10:25.0,,,3-4,2,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall)
10:02.0,M. Morris misses 3-pt shot from 25 ft,,3-4,,
10:01.0,,,3-4,,Defensive rebound by J. Wall
9:51.0,,,3-4,,M. Gortat misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by K. Caldwell-Pope,,3-4,,
9:39.0,R. Jackson makes 2-pt shot from 15 ft,2,5-4,,
9:19.0,,,5-4,,J. Wall misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by M. Morris,,5-4,,
9:08.0,T. Harris misses 3-pt shot from 26 ft,,5-4,,
9:07.0,,,5-4,,Defensive rebound by B. Beal
8:56.0,,,5-6,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
8:31.0,T. Harris makes 2-pt shot from 21 ft (assist by M. Morris),2,7-6,,
8:00.0,,,7-8,2,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris)
7:46.0,T. Harris misses 2-pt shot from 19 ft,,7-8,,
7:45.0,,,7-8,,Defensive rebound by M. Gortat
7:36.0,,,7-10,2,B. Beal makes 2-pt shot from 20 ft
7:16.0,Turnover by M. Morris (bad pass; steal by M. Morris),,7-10,,
7:08.0,,,7-12,2,M. Morris makes 2-pt shot at rim (assist by O. Porter)
