time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: R. Holmes vs. N. Vucevic (A. Gordon gains possession)
11:47.0,,,0-2,2,E. Fournier makes 2-pt shot from 17 ft (assist by N. Vucevic)
11:21.0,D. Saric makes 2-pt shot from 3 ft (assist by T. McConnell),2,2-2,,
11:00.0,,,2-4,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier)
10:40.0,T. McConnell misses 2-pt shot from 10 ft,,2-4,,
10:38.0,,,2-4,,Defensive rebound by N. Vucevic
10:34.0,,,2-6,2,E. Payton makes 2-pt shot from 2 ft
10:25.0,Shooting foul by E. Payton (drawn by T. McConnell),,2-6,,
10:25.0,T. McConnell makes free throw 1 of 2,1,3-6,,
10:25.0,T. McConnell makes free throw 2 of 2,1,4-6,,
10:15.0,,,4-8,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
9:57.0,D. Saric misses 2-pt shot from 3 ft,,4-8,,
9:56.0,,,4-8,,Defensive rebound by N. Vucevic
9:35.0,,,4-8,,N. Vucevic misses 2-pt shot from 9 ft
9:34.0,Defensive rebound by R. Holmes,,4-8,,
9:23.0,D. Saric misses 2-pt shot from 1 ft,,4-8,,
9:20.0,,,4-8,,Defensive rebound by E. Payton
9:12.0,,,4-8,,Turnover by T. Ross (bad pass)
9:02.0,T. McConnell makes 2-pt shot from 2 ft,2,6-8,,
8:46.0,,,6-8,,N. Vucevic misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by R. Covington,,6-8,,
8:35.0,R. Holmes makes 2-pt shot from 10 ft,2,8-8,,
8:20.0,,,8-8,,E. Fournier misses 2-pt shot from 2 ft
8:17.0,,,8-8,,Offensive rebound by N. Vucevic
8:17.0,,,8-10,2,N. Vucevic makes 2-pt shot from 2 ft
7:58.0,,,8-10,,Personal foul by E. Payton (drawn by D. Saric)
7:50.0,R. Holmes misses 2-pt shot from 2 ft,,8-10,,
7:48.0,Offensive rebound by R. Holmes,,8-10,,
7:47.0,R. Holmes makes 2-pt shot from 2 ft,2,10-10,,
7:34.0,,,10-10,,Turnover by E. Payton (bad pass; steal by T. McConnell)
7:30.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,12-10,,
7:30.0,,,12-10,,Orlando full timeout
7:14.0,,,12-10,,T. Ross misses 2-pt shot from 21 ft
7:13.0,Defensive rebound by R. Holmes,,12-10,,
7:06.0,D. Saric misses 3-pt shot from 25 ft,,12-10,,
7:04.0,,,12-10,,Defensive rebound by E. Payton
6:56.0,,,12-10,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Gordon)
6:56.0,,,12-11,1,A. Gordon makes free throw 1 of 2
6:56.0,,,12-12,1,A. Gordon makes free throw 2 of 2
6:56.0,N. Stauskas enters the game for D. Saric,,12-11,,
6:44.0,R. Covington misses 3-pt shot from 24 ft,,12-12,,
6:44.0,,,12-12,,Defensive rebound by Team
6:29.0,,,12-14,2,N. Vucevic makes 2-pt shot from 9 ft
6:15.0,T. McConnell makes 2-pt shot from 12 ft,2,14-14,,
6:01.0,,,14-16,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:43.0,R. Holmes misses 2-pt shot from 14 ft,,14-16,,
5:42.0,,,14-16,,Defensive rebound by N. Vucevic
5:35.0,,,14-16,,Turnover by E. Payton (lost ball; steal by R. Covington)
5:30.0,R. Covington misses 2-pt shot from 3 ft,,14-16,,
5:27.0,,,14-16,,Defensive rebound by E. Fournier
5:21.0,,,14-16,,E. Fournier misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by R. Holmes,,14-16,,
