time,Toronto,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (T. Parker gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (T. Parker gains possession)
11:43.0,,,0-0,,Turnover by D. Green (bad pass)
11:28.0,D. DeRozan misses 2-pt shot from 20 ft,,0-0,,
11:25.0,Offensive rebound by P. Siakam,,0-0,,
11:25.0,P. Siakam makes 2-pt shot from 3 ft,2,2-0,,
11:09.0,,,2-2,2,T. Parker makes 2-pt shot from 6 ft (assist by L. Aldridge)
10:56.0,J. Valanciunas misses 2-pt shot from 12 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by L. Aldridge
10:45.0,,,2-2,,P. Gasol misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by K. Lowry,,2-2,,
10:36.0,P. Siakam misses 2-pt shot from 1 ft (block by P. Gasol),,2-2,,
10:31.0,,,2-2,,Defensive rebound by T. Parker
10:26.0,,,2-4,2,K. Leonard makes 2-pt shot from 19 ft
10:10.0,Turnover by K. Lowry (bad pass; steal by K. Leonard),,2-4,,
10:05.0,,,2-6,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol)
9:51.0,Shooting foul by L. Aldridge (drawn by K. Lowry),,2-6,,
9:51.0,K. Lowry makes free throw 1 of 2,1,3-6,,
9:51.0,K. Lowry makes free throw 2 of 2,1,4-6,,
9:38.0,,,4-9,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
9:29.0,J. Valanciunas misses 2-pt shot from 4 ft (block by K. Leonard),,4-9,,
9:29.0,,,4-9,,Defensive rebound by Team
9:19.0,,,4-9,,Shooting foul by J. Valanciunas (drawn by P. Gasol)
9:19.0,,,4-9,,P. Gasol misses free throw 1 of 2
9:19.0,,,4-9,,Offensive rebound by Team
9:19.0,,,4-10,1,P. Gasol makes free throw 2 of 2
9:04.0,D. DeRozan misses 2-pt shot from 10 ft,,4-10,,
8:57.0,,,4-10,,Defensive rebound by K. Leonard
8:46.0,,,4-12,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
8:39.0,Toronto full timeout,,4-12,,
8:24.0,D. DeRozan makes 2-pt shot from 19 ft,2,6-12,,
8:07.0,,,6-14,2,L. Aldridge makes 2-pt shot from 9 ft
7:56.0,,,6-14,,Personal foul by K. Leonard (drawn by D. Carroll)
7:49.0,D. DeRozan misses 2-pt shot from 11 ft,,6-14,,
7:49.0,,,6-14,,Defensive rebound by Team
7:33.0,,,6-16,2,L. Aldridge makes 2-pt shot from 7 ft
7:14.0,D. DeRozan makes 2-pt shot from 17 ft,2,8-16,,
6:59.0,,,8-16,,D. Green misses 2-pt shot from 4 ft
6:57.0,Defensive rebound by D. DeRozan,,8-16,,
6:49.0,D. DeRozan misses 2-pt shot from 12 ft (block by P. Gasol),,8-16,,
6:47.0,,,8-16,,Defensive rebound by T. Parker
6:42.0,,,8-18,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Leonard)
6:31.0,Turnover by D. Carroll (bad pass),,8-18,,
6:14.0,,,8-21,3,K. Leonard makes 3-pt shot from 26 ft (assist by L. Aldridge)
5:54.0,K. Lowry misses 3-pt shot from 26 ft,,8-21,,
5:53.0,Offensive rebound by D. Carroll,,8-21,,
5:49.0,D. Carroll misses 3-pt shot from 28 ft,,8-21,,
5:48.0,,,8-21,,Defensive rebound by L. Aldridge
5:33.0,,,8-21,,Turnover by T. Parker (bad pass; steal by D. Carroll)
5:29.0,D. Carroll makes 2-pt shot at rim,2,10-21,,
5:14.0,,,10-21,,P. Gasol misses 2-pt shot from 15 ft
5:14.0,,,10-21,,Offensive rebound by L. Aldridge
5:14.0,Loose ball foul by D. DeRozan (drawn by L. Aldridge),,10-21,,
5:14.0,L. Nogueira enters the game for P. Siakam,,10-21,,
5:14.0,,,10-21,,M. Ginobili enters the game for D. Green
5:05.0,,,10-24,3,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker)
4:46.0,D. Carroll misses 2-pt shot from 2 ft (block by P. Gasol),,10-24,,
4:45.0,,,10-24,,Defensive rebound by P. Gasol
