time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Nurkic (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. J. Nurkic (R. Westbrook gains possession)
11:38.0,D. Sabonis misses 3-pt shot from 23 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Harkless
11:28.0,,,0-2,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
11:11.0,Turnover by S. Adams (lost ball; steal by J. Nurkic),,0-2,,
11:05.0,,,0-2,,Shooting foul by A. Abrines (drawn by C. McCollum)
11:05.0,,,0-3,1,C. McCollum makes free throw 1 of 2
11:05.0,,,0-4,1,C. McCollum makes free throw 2 of 2
10:58.0,Turnover by R. Westbrook (bad pass; steal by M. Harkless),,0-4,,
10:42.0,,,0-4,,Turnover by C. McCollum (lost ball; steal by S. Adams)
10:37.0,R. Westbrook misses 2-pt shot from 1 ft,,0-4,,
10:37.0,Offensive rebound by Team,,0-4,,
10:30.0,R. Westbrook misses 2-pt shot from 17 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by C. McCollum
10:20.0,,,0-4,,C. McCollum misses 2-pt shot from 15 ft (block by A. Roberson)
10:19.0,Defensive rebound by R. Westbrook,,0-4,,
10:10.0,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook),2,2-4,,
9:51.0,,,2-4,,N. Vonleh misses 2-pt shot from 1 ft (block by D. Sabonis)
9:48.0,,,2-4,,Offensive rebound by D. Lillard
9:42.0,,,2-4,,M. Harkless misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by S. Adams,,2-4,,
9:35.0,S. Adams misses 2-pt shot from 1 ft,,2-4,,
9:34.0,,,2-4,,Defensive rebound by N. Vonleh
9:27.0,,,2-4,,Shooting foul by A. Abrines (drawn by M. Harkless)
9:27.0,,,2-5,1,M. Harkless makes free throw 1 of 2
9:27.0,,,2-6,1,M. Harkless makes free throw 2 of 2
9:17.0,D. Sabonis makes 2-pt shot from 16 ft (assist by R. Westbrook),2,4-6,,
9:00.0,,,4-8,2,D. Lillard makes 2-pt shot from 1 ft
8:39.0,R. Westbrook misses 3-pt shot from 26 ft,,4-8,,
8:38.0,,,4-8,,Defensive rebound by C. McCollum
8:16.0,,,4-10,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
8:02.0,R. Westbrook makes 2-pt shot from 13 ft,2,6-10,,
7:45.0,,,6-12,2,N. Vonleh makes 2-pt shot from 17 ft (assist by J. Nurkic)
7:34.0,A. Abrines misses 2-pt shot from 20 ft,,6-12,,
7:33.0,,,6-12,,Defensive rebound by N. Vonleh
7:24.0,,,6-12,,D. Lillard misses 3-pt shot from 32 ft
7:24.0,,,6-12,,Offensive rebound by Team
7:24.0,Loose ball foul by D. Sabonis (drawn by J. Nurkic),,6-12,,
7:24.0,D. McDermott enters the game for A. Abrines,,6-12,,
7:19.0,,,6-14,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
7:00.0,Shooting foul by N. Vonleh (drawn by R. Westbrook),,6-14,,
7:00.0,R. Westbrook makes free throw 1 of 2,1,7-14,,
7:00.0,R. Westbrook makes free throw 2 of 2,1,8-14,,
7:00.0,T. Gibson enters the game for D. Sabonis,,7-14,,
6:45.0,,,8-14,,Shooting foul by T. Gibson (drawn by D. Lillard)
6:45.0,,,8-15,1,D. Lillard makes free throw 1 of 2
6:45.0,,,8-16,1,D. Lillard makes free throw 2 of 2
6:32.0,R. Westbrook misses 2-pt shot from 3 ft (block by J. Nurkic),,8-16,,
6:32.0,Offensive rebound by Team,,8-16,,
6:29.0,A. Roberson misses 2-pt shot from 11 ft,,8-16,,
6:28.0,,,8-16,,Defensive rebound by M. Harkless
6:17.0,,,8-18,2,D. Lillard makes 2-pt shot from 1 ft
6:03.0,D. McDermott misses 2-pt shot from 17 ft,,8-18,,
6:02.0,,,8-18,,Defensive rebound by J. Nurkic
5:46.0,,,8-20,2,J. Nurkic makes 2-pt shot from 6 ft
5:42.0,Oklahoma City full timeout,,8-20,,
5:42.0,E. Kanter enters the game for S. Adams,,8-20,,
5:32.0,T. Gibson makes 2-pt shot from 2 ft,2,10-20,,
5:06.0,,,10-22,2,J. Nurkic makes 2-pt shot at rim
4:48.0,T. Gibson makes 2-pt shot from 6 ft,2,12-22,,
4:32.0,,,12-22,,Turnover by J. Nurkic (bad pass)
4:32.0,,,12-22,,A. Crabbe enters the game for C. McCollum
4:21.0,,,12-22,,Def 3 sec tech foul by A. Crabbe
