time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (A. Horford gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (A. Horford gains possession)
11:43.0,A. Horford misses 2-pt shot from 10 ft,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,,,0-0,,Loose ball foul by R. McGruder (drawn by A. Johnson)
11:28.0,A. Bradley makes 2-pt shot from 17 ft,2,2-0,,
11:00.0,,,2-2,2,H. Whiteside makes 2-pt shot from 9 ft
10:46.0,A. Horford misses 3-pt shot from 26 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by G. Dragic
10:33.0,,,2-4,2,H. Whiteside makes 2-pt shot from 5 ft (assist by J. McRoberts)
10:15.0,J. Crowder misses 2-pt shot from 6 ft,,2-4,,
10:14.0,Offensive rebound by A. Johnson,,2-4,,
10:10.0,I. Thomas misses 2-pt shot from 9 ft (block by H. Whiteside),,2-4,,
10:09.0,Offensive rebound by I. Thomas,,2-4,,
10:08.0,Turnover by Team (shot clock),,2-4,,
9:50.0,,,2-4,,Turnover by J. McRoberts (lost ball; steal by A. Horford)
9:41.0,A. Bradley makes 3-pt shot from 25 ft,3,5-4,,
9:19.0,,,5-6,2,J. McRoberts makes 2-pt shot from 19 ft (assist by R. McGruder)
8:57.0,A. Bradley misses 3-pt shot from 25 ft,,5-6,,
8:56.0,,,5-6,,Defensive rebound by G. Dragic
8:48.0,,,5-8,2,G. Dragic makes 2-pt shot from 2 ft
8:35.0,I. Thomas makes 2-pt shot from 17 ft,2,7-8,,
8:21.0,,,7-8,,G. Dragic misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by A. Bradley,,7-8,,
8:05.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson),2,9-8,,
7:46.0,,,9-8,,H. Whiteside misses 2-pt shot from 12 ft
7:45.0,Defensive rebound by Team,,9-8,,
7:39.0,A. Johnson makes 2-pt shot from 3 ft (assist by I. Thomas),2,11-8,,
7:17.0,,,11-8,,Shooting foul by A. Johnson (drawn by H. Whiteside)
7:17.0,,,11-9,1,H. Whiteside makes free throw 1 of 2
7:17.0,,,11-10,1,H. Whiteside makes free throw 2 of 2
7:01.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Horford),3,14-10,,
6:43.0,,,14-10,,Turnover by G. Dragic (bad pass; steal by J. Crowder)
6:30.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,17-10,,
6:29.0,,,17-10,,Miami full timeout
6:14.0,,,17-10,,G. Dragic misses 2-pt shot from 17 ft
6:12.0,,,17-10,,Offensive rebound by H. Whiteside
