time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. D. Jordan (L. Mbah a Moute gains possession),,,,Jump ball: N. Hilario vs. D. Jordan (L. Mbah a Moute gains possession)
11:37.0,J. Redick misses 3-pt shot from 26 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Harden
11:33.0,,,0-0,,Turnover by J. Harden (bad pass)
11:20.0,L. Mbah a Moute misses 2-pt shot at rim,,0-0,,
11:18.0,,,0-0,,Defensive rebound by J. Harden
11:11.0,,,0-0,,P. Beverley misses 2-pt shot from 7 ft
11:10.0,,,0-0,,Offensive rebound by N. Hilario
11:07.0,,,0-0,,Turnover by N. Hilario (bad pass; steal by L. Mbah a Moute)
11:02.0,A. Rivers misses 2-pt shot from 1 ft (block by N. Hilario),,0-0,,
11:02.0,Offensive rebound by Team,,0-0,,
10:58.0,J. Redick misses 3-pt shot from 24 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by J. Harden
10:41.0,,,0-0,,T. Ariza misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by W. Johnson,,0-0,,
10:20.0,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute),2,2-0,,
10:04.0,Personal foul by D. Jordan (drawn by N. Hilario),,2-0,,
9:58.0,,,2-3,3,J. Harden makes 3-pt shot from 26 ft (assist by N. Hilario)
9:42.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,2-3,,
9:41.0,,,2-3,,Defensive rebound by N. Hilario
9:34.0,,,2-3,,Turnover by J. Harden (lost ball; steal by W. Johnson)
9:25.0,A. Rivers misses 3-pt shot from 26 ft,,2-3,,
9:24.0,,,2-3,,Defensive rebound by P. Beverley
9:17.0,,,2-3,,Shooting foul by L. Mbah a Moute (drawn by P. Beverley)
9:17.0,,,2-4,1,P. Beverley makes free throw 1 of 2
9:17.0,,,2-5,1,P. Beverley makes free throw 2 of 2
9:04.0,Turnover by L. Mbah a Moute (lost ball),,2-5,,
8:42.0,,,2-7,2,J. Harden makes 2-pt shot from 4 ft
8:31.0,A. Rivers makes 2-pt shot from 8 ft,2,4-7,,
8:18.0,,,4-10,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
7:59.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by D. Jordan),3,7-10,,
7:42.0,,,7-10,,J. Harden misses 3-pt shot from 25 ft
7:40.0,,,7-10,,Offensive rebound by P. Beverley
7:40.0,Personal foul by W. Johnson (drawn by P. Beverley),,7-10,,
7:40.0,J. Crawford enters the game for W. Johnson,,7-10,,
7:28.0,,,7-12,2,P. Beverley makes 2-pt shot from 8 ft
7:11.0,D. Jordan misses 2-pt shot from 3 ft,,7-12,,
7:09.0,,,7-12,,Defensive rebound by J. Harden
7:01.0,,,7-12,,R. Anderson misses 3-pt shot from 25 ft
6:59.0,,,7-12,,Offensive rebound by N. Hilario
6:57.0,,,7-12,,Turnover by N. Hilario (bad pass; steal by L. Mbah a Moute)
6:47.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,10-12,,
6:38.0,,,10-12,,R. Anderson misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by A. Rivers,,10-12,,
6:29.0,A. Rivers makes 2-pt shot from 3 ft,2,12-12,,
6:29.0,Shooting foul by P. Beverley (drawn by A. Rivers),,12-12,,
6:29.0,A. Rivers makes free throw 1 of 1,1,13-12,,
6:22.0,,,13-12,,Turnover by N. Hilario (bad pass)
6:07.0,J. Crawford misses 2-pt shot from 20 ft,,13-12,,
6:07.0,,,13-12,,Defensive rebound by Team
5:56.0,,,13-15,3,J. Harden makes 3-pt shot from 25 ft
5:38.0,A. Rivers makes 3-pt shot from 26 ft,3,16-15,,
5:26.0,,,16-15,,N. Hilario misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by D. Jordan,,16-15,,
5:15.0,Turnover by D. Jordan (bad pass; steal by J. Harden),,16-15,,
5:11.0,,,16-15,,J. Harden misses 2-pt shot from 3 ft (block by J. Crawford)
5:11.0,Defensive rebound by Team,,16-15,,
5:11.0,,,16-15,,Houston full timeout
5:11.0,,,16-15,,M. Harrell enters the game for N. Hilario
5:11.0,,,16-15,,E. Gordon enters the game for P. Beverley
5:11.0,R. Felton enters the game for J. Redick,,16-15,,
5:11.0,Jump ball: J. Crawford vs. J. Harden (R. Felton gains possession),,,,Jump ball: J. Crawford vs. J. Harden (R. Felton gains possession)
5:07.0,Shooting foul by E. Gordon (drawn by A. Rivers),,16-15,,
5:07.0,A. Rivers makes free throw 1 of 2,1,17-15,,
5:07.0,A. Rivers misses free throw 2 of 2,,17-15,,
5:06.0,,,17-15,,Defensive rebound by R. Anderson
4:51.0,,,17-18,3,E. Gordon makes 3-pt shot from 26 ft
4:33.0,J. Crawford misses 2-pt shot from 5 ft,,17-18,,
4:32.0,,,17-18,,Defensive rebound by R. Anderson
4:14.0,,,17-20,2,R. Anderson makes 2-pt shot from 6 ft (assist by T. Ariza)
3:56.0,R. Felton misses 2-pt shot from 7 ft,,17-20,,
3:55.0,,,17-20,,Defensive rebound by J. Harden
3:49.0,,,17-20,,Shooting foul by L. Mbah a Moute (drawn by J. Harden)
3:49.0,,,17-21,1,J. Harden makes free throw 1 of 3
3:49.0,,,17-21,,J. Harden misses free throw 2 of 3
3:49.0,,,17-21,,Offensive rebound by Team
3:49.0,,,17-22,1,J. Harden makes free throw 3 of 3
3:49.0,A. Anderson enters the game for L. Mbah a Moute,,17-21,,
3:49.0,,,17-21,,S. Dekker enters the game for R. Anderson
3:35.0,A. Rivers misses 2-pt shot from 10 ft,,17-22,,
3:34.0,,,17-22,,Defensive rebound by J. Harden
3:28.0,,,17-22,,Turnover by E. Gordon (bad pass; steal by J. Crawford)
3:15.0,A. Anderson misses 2-pt shot from 7 ft,,17-22,,
3:14.0,Offensive rebound by D. Jordan,,17-22,,
3:13.0,D. Jordan makes 2-pt shot from 3 ft,2,19-22,,
3:03.0,,,19-24,2,J. Harden makes 2-pt shot from 2 ft
2:49.0,J. Crawford misses 2-pt shot from 20 ft,,19-24,,
2:49.0,Offensive rebound by Team,,19-24,,
2:49.0,,,19-24,,Loose ball foul by M. Harrell (drawn by D. Jordan)
2:49.0,LA Clippers full timeout,,19-24,,
2:36.0,R. Felton misses 2-pt shot from 19 ft,,19-24,,
2:35.0,,,19-24,,Defensive rebound by T. Ariza
2:19.0,,,19-27,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
1:59.0,J. Crawford misses 3-pt shot from 26 ft,,19-27,,
1:58.0,,,19-27,,Defensive rebound by J. Harden
1:52.0,,,19-29,2,J. Harden makes 2-pt shot from 3 ft
