time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (M. Williams gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (M. Williams gains possession)
11:39.0,N. Batum makes 2-pt shot from 22 ft,2,2-0,,
11:25.0,,,2-2,2,K. Love makes 2-pt shot from 17 ft (assist by L. James)
11:10.0,Turnover by C. Zeller (lost ball; steal by L. James),,2-2,,
11:03.0,,,2-2,,J. Smith misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by M. Kidd-Gilchrist,,2-2,,
10:53.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by T. Thompson
10:38.0,,,2-4,2,K. Love makes 2-pt shot from 1 ft
10:27.0,Shooting foul by T. Thompson (drawn by K. Walker),,2-4,,
10:27.0,K. Walker makes free throw 1 of 2,1,3-4,,
10:27.0,K. Walker misses free throw 2 of 2,,3-4,,
10:26.0,,,3-4,,Defensive rebound by K. Love
10:16.0,Personal foul by M. Williams (drawn by K. Love),,3-4,,
10:02.0,,,3-4,,Turnover by Team (shot clock)
9:51.0,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum),2,5-4,,
9:35.0,,,5-7,3,L. James makes 3-pt shot from 25 ft (assist by K. Irving)
9:19.0,K. Walker makes 3-pt shot from 26 ft,3,8-7,,
9:06.0,,,8-9,2,K. Love makes 2-pt shot from 8 ft (assist by K. Irving)
8:48.0,N. Batum misses 3-pt shot from 24 ft,,8-9,,
8:48.0,,,8-9,,Defensive rebound by K. Irving
8:39.0,,,8-12,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
8:24.0,Turnover by K. Walker (lost ball; steal by K. Love),,8-12,,
8:19.0,,,8-12,,K. Irving misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by C. Zeller,,8-12,,
8:10.0,,,8-12,,Personal foul by K. Irving (drawn by K. Walker)
8:01.0,Turnover by N. Batum (lost ball; steal by T. Thompson),,8-12,,
7:54.0,,,8-12,,Turnover by L. James (bad pass; steal by C. Zeller)
7:51.0,Turnover by C. Zeller (bad pass; steal by L. James),,8-12,,
7:46.0,,,8-14,2,T. Thompson makes 2-pt shot from 3 ft (assist by L. James)
7:41.0,Charlotte full timeout,,8-14,,
7:30.0,M. Williams misses 2-pt shot from 2 ft,,8-14,,
7:29.0,,,8-14,,Defensive rebound by L. James
7:22.0,,,8-16,2,L. James makes 2-pt shot from 19 ft
7:03.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,10-16,,
6:50.0,,,10-16,,L. James misses 2-pt shot from 22 ft
6:50.0,Defensive rebound by C. Zeller,,10-16,,
6:42.0,M. Williams misses 3-pt shot from 24 ft,,10-16,,
6:41.0,,,10-16,,Defensive rebound by K. Irving
6:33.0,,,10-18,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
6:08.0,K. Walker makes 3-pt shot from 26 ft (assist by C. Zeller),3,13-18,,
5:53.0,,,13-18,,Turnover by L. James (bad pass; steal by K. Walker)
5:46.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller),2,15-18,,
5:23.0,,,15-18,,K. Irving misses 2-pt shot from 10 ft
5:22.0,Defensive rebound by M. Kidd-Gilchrist,,15-18,,
5:14.0,Turnover by N. Batum (bad pass),,15-18,,
5:02.0,,,15-20,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving)
4:52.0,Shooting foul by J. Smith (drawn by C. Zeller),,15-20,,
4:52.0,C. Zeller makes free throw 1 of 2,1,16-20,,
4:52.0,C. Zeller makes free throw 2 of 2,1,17-20,,
4:52.0,F. Kaminsky enters the game for M. Williams,,16-20,,
4:52.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,16-20,,
4:37.0,,,17-20,,K. Love misses 2-pt shot from 20 ft
4:35.0,,,17-20,,Offensive rebound by T. Thompson
4:34.0,,,17-20,,Turnover by K. Irving (bad pass)
4:22.0,F. Kaminsky misses 2-pt shot from 6 ft,,17-20,,
4:21.0,,,17-20,,Defensive rebound by T. Thompson
4:12.0,Personal foul by C. Zeller (drawn by L. James),,17-20,,
4:12.0,,,17-20,,D. Liggins enters the game for K. Irving
4:12.0,,,17-20,,I. Shumpert enters the game for L. James
3:59.0,,,17-22,2,K. Love makes 2-pt shot from 8 ft
3:53.0,,,17-22,,Personal foul by D. Liggins (drawn by K. Walker)
3:53.0,R. Sessions enters the game for K. Walker,,17-22,,
3:47.0,N. Batum misses 3-pt shot from 25 ft,,17-22,,
3:46.0,,,17-22,,Defensive rebound by T. Thompson
3:39.0,,,17-22,,Shooting foul by C. Zeller (drawn by K. Love)
3:39.0,,,17-23,1,K. Love makes free throw 1 of 2
3:39.0,,,17-23,,K. Love misses free throw 2 of 2
3:39.0,,,17-23,,R. Jefferson enters the game for J. Smith
3:39.0,R. Hibbert enters the game for C. Zeller,,17-23,,
3:38.0,Defensive rebound by N. Batum,,17-23,,
3:24.0,N. Batum makes 2-pt shot from 11 ft,2,19-23,,
3:03.0,,,19-25,2,K. Love makes 2-pt shot from 16 ft
2:55.0,Charlotte full timeout,,19-25,,
2:55.0,,,19-25,,Cleveland full timeout
2:43.0,R. Sessions misses 2-pt shot from 11 ft,,19-25,,
2:41.0,,,19-25,,Defensive rebound by K. Love
2:32.0,,,19-27,2,T. Thompson makes 2-pt shot from 2 ft (assist by D. Liggins)
2:19.0,N. Batum misses 2-pt shot from 12 ft,,19-27,,
2:19.0,,,19-27,,Defensive rebound by R. Jefferson
2:08.0,,,19-30,3,I. Shumpert makes 3-pt shot from 26 ft (assist by R. Jefferson)
1:52.0,Shooting foul by K. Love (drawn by R. Hibbert),,19-30,,
1:52.0,R. Hibbert makes free throw 1 of 2,1,20-30,,
1:52.0,R. Hibbert makes free throw 2 of 2,1,21-30,,
1:52.0,,,20-30,,K. Irving enters the game for T. Thompson
1:39.0,,,21-30,,K. Love misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by R. Sessions,,21-30,,
1:30.0,F. Kaminsky misses 3-pt shot from 25 ft,,21-30,,
1:30.0,,,21-30,,Defensive rebound by R. Jefferson
1:25.0,,,21-30,,Turnover by I. Shumpert (bad pass; steal by N. Batum)
1:11.0,F. Kaminsky misses 2-pt shot from 6 ft,,21-30,,
1:09.0,,,21-30,,Defensive rebound by I. Shumpert
0:56.0,,,21-33,3,I. Shumpert makes 3-pt shot from 26 ft (assist by R. Jefferson)
0:47.0,Shooting foul by D. Liggins (drawn by R. Hibbert),,21-33,,
0:47.0,R. Hibbert makes free throw 1 of 2,1,22-33,,
0:47.0,R. Hibbert makes free throw 2 of 2,1,23-33,,
0:47.0,,,22-33,,L. James enters the game for K. Love
0:45.0,Personal foul by R. Sessions (drawn by K. Irving),,23-33,,
0:45.0,M. Williams enters the game for R. Hibbert,,23-33,,
0:33.0,,,23-33,,Shooting foul by M. Williams (drawn by L. James)
0:33.0,,,23-34,1,L. James makes free throw 1 of 2
0:33.0,,,23-34,,L. James misses free throw 2 of 2
0:33.0,Defensive rebound by M. Williams,,23-34,,
0:10.0,R. Sessions makes 3-pt shot from 26 ft (assist by M. Belinelli),3,26-34,,
0:05.0,,,26-36,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
0:00.0,F. Kaminsky misses 3-pt shot from 39 ft,,26-36,,
0:00.0,Offensive rebound by Team,,26-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
