time,Brooklyn,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. B. Lopez (J. Lin gains possession),,,,Jump ball: M. Gasol vs. B. Lopez (J. Lin gains possession)
11:43.0,J. Lin misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by B. Wright
11:24.0,,,0-3,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Conley)
11:13.0,B. Lopez misses 3-pt shot from 25 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by B. Wright
10:58.0,,,0-3,,M. Conley misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by R. Hollis-Jefferson,,0-3,,
10:50.0,R. Hollis-Jefferson makes 2-pt shot from 11 ft,2,2-3,,
10:34.0,,,2-3,,M. Gasol misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by R. Foye,,2-3,,
10:21.0,R. Hollis-Jefferson misses 3-pt shot from 22 ft,,2-3,,
10:20.0,,,2-3,,Defensive rebound by M. Gasol
10:09.0,,,2-3,,Turnover by M. Conley (bad pass; steal by R. Hollis-Jefferson)
10:04.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,4-3,,
9:47.0,,,4-3,,Turnover by C. Parsons (lost ball; steal by R. Hollis-Jefferson)
9:40.0,R. Foye makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,7-3,,
9:17.0,,,7-3,,B. Wright misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by R. Hollis-Jefferson,,7-3,,
9:00.0,Shooting foul by B. Wright (drawn by C. LeVert),,7-3,,
9:00.0,C. LeVert makes free throw 1 of 2,1,8-3,,
9:00.0,C. LeVert makes free throw 2 of 2,1,9-3,,
8:42.0,,,9-3,,M. Conley misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by C. LeVert,,9-3,,
8:34.0,Turnover by C. LeVert (bad pass; steal by A. Harrison),,9-3,,
8:26.0,,,9-3,,Turnover by M. Gasol (traveling)
8:12.0,Shooting foul by B. Wright (drawn by R. Hollis-Jefferson),,9-3,,
8:12.0,R. Hollis-Jefferson misses free throw 1 of 2,,9-3,,
8:12.0,Offensive rebound by Team,,9-3,,
8:12.0,R. Hollis-Jefferson makes free throw 2 of 2,1,10-3,,
