time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. N. Jokic (J. Hernangomez gains possession),,,,Jump ball: L. Aldridge vs. N. Jokic (J. Hernangomez gains possession)
11:40.0,W. Barton misses 3-pt shot from 24 ft,,0-0,,
11:37.0,Offensive rebound by J. Hernangomez,,0-0,,
11:37.0,J. Hernangomez misses 2-pt shot from 3 ft (block by K. Leonard),,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:28.0,K. Faried misses 2-pt shot from 7 ft,,0-0,,
11:26.0,Offensive rebound by Team,,0-0,,
11:15.0,E. Mudiay misses 2-pt shot from 7 ft,,0-0,,
11:13.0,Offensive rebound by K. Faried,,0-0,,
11:11.0,Turnover by K. Faried (lost ball; steal by D. Green),,0-0,,
11:09.0,,,0-0,,Turnover by D. Green (bad pass)
10:56.0,Shooting foul by D. Green (drawn by W. Barton),,0-0,,
10:56.0,W. Barton makes free throw 1 of 2,1,1-0,,
10:56.0,W. Barton makes free throw 2 of 2,1,2-0,,
10:40.0,,,2-0,,K. Leonard misses 3-pt shot from 25 ft
10:38.0,,,2-0,,Offensive rebound by D. Lee
10:31.0,Personal foul by K. Faried (drawn by L. Aldridge),,2-0,,
10:23.0,,,2-2,2,D. Murray makes 2-pt shot from 2 ft (assist by D. Green)
10:12.0,N. Jokic makes 2-pt shot from 6 ft,2,4-2,,
9:52.0,,,4-2,,Turnover by D. Green (bad pass; steal by J. Hernangomez)
9:44.0,W. Barton misses 3-pt shot from 25 ft,,4-2,,
9:43.0,Offensive rebound by J. Hernangomez,,4-2,,
9:41.0,,,4-2,,Loose ball foul by D. Murray
9:41.0,,,4-2,,M. Ginobili enters the game for D. Green
9:27.0,N. Jokic makes 2-pt shot from 7 ft (assist by J. Hernangomez),2,6-2,,
9:10.0,,,6-2,,K. Leonard misses 3-pt shot from 25 ft
9:09.0,,,6-2,,Offensive rebound by D. Lee
9:03.0,,,6-4,2,D. Lee makes 2-pt shot from 2 ft (assist by M. Ginobili)
8:51.0,W. Barton misses 2-pt shot from 3 ft,,6-4,,
8:50.0,Offensive rebound by Team,,6-4,,
8:35.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton),2,8-4,,
8:09.0,,,8-4,,L. Aldridge misses 2-pt shot from 12 ft
8:07.0,,,8-4,,Offensive rebound by D. Lee
8:03.0,,,8-6,2,D. Lee makes 2-pt shot from 1 ft
7:52.0,Turnover by E. Mudiay (lost ball; steal by M. Ginobili),,8-6,,
7:41.0,,,8-6,,Turnover by L. Aldridge (lost ball; steal by E. Mudiay)
7:36.0,N. Jokic misses 2-pt shot from 2 ft,,8-6,,
7:35.0,,,8-6,,Defensive rebound by Team
7:25.0,,,8-6,,M. Ginobili misses 2-pt shot from 4 ft (block by J. Hernangomez)
7:21.0,Defensive rebound by J. Hernangomez,,8-6,,
7:16.0,J. Hernangomez makes 2-pt shot at rim (assist by N. Jokic),2,10-6,,
6:59.0,,,10-6,,D. Murray misses 2-pt shot from 5 ft
6:58.0,Defensive rebound by K. Faried,,10-6,,
6:50.0,W. Barton misses 3-pt shot from 25 ft,,10-6,,
6:48.0,,,10-6,,Defensive rebound by D. Lee
6:36.0,,,10-9,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
6:24.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,12-9,,
6:24.0,,,12-9,,San Antonio full timeout
6:06.0,,,12-11,2,D. Lee makes 2-pt shot from 8 ft
5:48.0,E. Mudiay misses 3-pt shot from 26 ft,,12-11,,
5:47.0,,,12-11,,Defensive rebound by D. Lee
5:35.0,,,12-11,,K. Leonard misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by J. Hernangomez,,12-11,,
5:21.0,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic),2,14-11,,
5:04.0,,,14-13,2,D. Lee makes 2-pt shot from 15 ft (assist by D. Murray)
4:50.0,K. Faried misses 2-pt shot from 5 ft (block by L. Aldridge),,14-13,,
4:48.0,,,14-13,,Defensive rebound by D. Murray
4:42.0,,,14-15,2,K. Leonard makes 2-pt shot from 2 ft (assist by L. Aldridge)
4:20.0,E. Mudiay misses 2-pt shot from 14 ft,,14-15,,
4:18.0,Offensive rebound by N. Jokic,,14-15,,
4:17.0,N. Jokic makes 2-pt shot from 1 ft,2,16-15,,
4:02.0,,,16-18,3,D. Murray makes 3-pt shot from 25 ft (assist by K. Leonard)
3:43.0,K. Faried misses 2-pt shot from 6 ft,,16-18,,
3:42.0,,,16-18,,Defensive rebound by D. Lee
3:39.0,,,16-18,,Shooting foul by E. Mudiay (drawn by D. Murray)
3:39.0,,,16-19,1,D. Murray makes free throw 1 of 2
3:39.0,,,16-20,1,D. Murray makes free throw 2 of 2
3:39.0,,,16-19,,D. Dedmon enters the game for L. Aldridge
3:39.0,J. Nelson enters the game for E. Mudiay,,16-19,,
3:39.0,J. Nurkic enters the game for K. Faried,,16-19,,
3:28.0,J. Hernangomez misses 2-pt shot from 2 ft,,16-20,,
3:27.0,,,16-20,,Defensive rebound by D. Dedmon
3:22.0,,,16-20,,D. Murray misses 2-pt shot from 2 ft (block by W. Barton)
3:18.0,Defensive rebound by N. Jokic,,16-20,,
3:14.0,Turnover by N. Jokic (bad pass; steal by D. Dedmon),,16-20,,
3:05.0,,,16-20,,Turnover by D. Murray (bad pass; steal by J. Nelson)
2:58.0,W. Barton misses 3-pt shot from 24 ft,,16-20,,
2:56.0,,,16-20,,Defensive rebound by D. Murray
2:33.0,,,16-20,,D. Murray misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by J. Hernangomez,,16-20,,
2:25.0,Turnover by J. Nelson (lost ball; steal by M. Ginobili),,16-20,,
2:15.0,,,16-22,2,M. Ginobili makes 2-pt shot from 14 ft
2:14.0,Denver full timeout,,16-22,,
2:14.0,,,16-22,,J. Simmons enters the game for K. Leonard
2:14.0,,,16-22,,D. Green enters the game for M. Ginobili
2:14.0,,,16-22,,P. Mills enters the game for D. Murray
2:14.0,,,16-22,,L. Aldridge enters the game for D. Lee
2:14.0,J. Murray enters the game for J. Hernangomez,,16-22,,
2:02.0,W. Barton misses 2-pt shot from 16 ft,,16-22,,
