time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Gobert (P. Mills gains possession),,,,Jump ball: P. Gasol vs. R. Gobert (P. Mills gains possession)
11:43.0,L. Aldridge makes 2-pt shot from 18 ft,2,2-0,,
11:17.0,,,2-3,3,J. Johnson makes 3-pt shot from 24 ft
11:08.0,L. Aldridge misses 2-pt shot from 4 ft (block by J. Johnson),,2-3,,
11:07.0,,,2-3,,Defensive rebound by R. Hood
10:54.0,,,2-6,3,R. Hood makes 3-pt shot from 25 ft
10:29.0,L. Aldridge misses 2-pt shot from 15 ft,,2-6,,
10:29.0,,,2-6,,Defensive rebound by R. Gobert
10:16.0,,,2-6,,R. Hood misses 3-pt shot from 24 ft
10:15.0,,,2-6,,Offensive rebound by G. Hill
10:10.0,,,2-8,2,D. Favors makes 2-pt shot at rim (assist by J. Johnson)
10:10.0,San Antonio full timeout,,2-8,,
9:52.0,K. Anderson misses 2-pt shot from 8 ft,,2-8,,
9:51.0,,,2-8,,Defensive rebound by R. Gobert
9:36.0,,,2-8,,D. Favors misses 2-pt shot from 12 ft
9:36.0,Defensive rebound by Team,,2-8,,
9:21.0,Turnover by P. Gasol (bad pass; steal by D. Favors),,2-8,,
9:15.0,,,2-10,2,R. Hood makes 2-pt shot from 2 ft (assist by G. Hill)
8:58.0,P. Gasol misses 2-pt shot from 18 ft,,2-10,,
8:57.0,,,2-10,,Defensive rebound by G. Hill
8:37.0,,,2-10,,G. Hill misses 2-pt shot from 22 ft
8:36.0,Defensive rebound by P. Gasol,,2-10,,
8:25.0,Shooting foul by R. Hood (drawn by K. Leonard),,2-10,,
8:25.0,K. Leonard makes free throw 1 of 2,1,3-10,,
8:25.0,K. Leonard makes free throw 2 of 2,1,4-10,,
8:13.0,,,4-10,,Turnover by R. Gobert (bad pass; steal by L. Aldridge)
8:01.0,K. Leonard misses 2-pt shot from 18 ft,,4-10,,
8:00.0,,,4-10,,Defensive rebound by J. Johnson
7:47.0,,,4-10,,D. Favors misses 2-pt shot at rim (block by P. Gasol)
7:46.0,,,4-10,,Offensive rebound by D. Favors
7:46.0,,,4-10,,D. Favors misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by K. Anderson,,4-10,,
7:37.0,P. Gasol misses 2-pt shot from 5 ft,,4-10,,
7:36.0,,,4-10,,Defensive rebound by R. Gobert
7:21.0,,,4-10,,D. Favors misses 2-pt shot from 2 ft (block by L. Aldridge)
7:20.0,Defensive rebound by K. Anderson,,4-10,,
7:15.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,7-10,,
6:58.0,Personal foul by K. Anderson (drawn by R. Gobert),,7-10,,
6:58.0,J. Simmons enters the game for K. Anderson,,7-10,,
6:58.0,,,7-10,,T. Lyles enters the game for D. Favors
6:54.0,,,7-10,,G. Hill misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by P. Mills,,7-10,,
6:48.0,P. Mills misses 3-pt shot from 24 ft,,7-10,,
6:46.0,Offensive rebound by K. Leonard,,7-10,,
6:41.0,,,7-10,,Personal foul by G. Hill (drawn by K. Leonard)
6:30.0,P. Mills makes 3-pt shot from 24 ft (assist by J. Simmons),3,10-10,,
6:16.0,,,10-13,3,J. Johnson makes 3-pt shot from 24 ft
5:59.0,K. Leonard makes 2-pt shot from 9 ft,2,12-13,,
5:59.0,Shooting foul by R. Gobert (drawn by K. Leonard),,12-13,,
5:59.0,K. Leonard makes free throw 1 of 1,1,13-13,,
5:59.0,D. Bertans enters the game for P. Gasol,,12-13,,
5:48.0,,,13-13,,Turnover by R. Hood (bad pass)
5:48.0,,,13-13,,J. Ingles enters the game for J. Johnson
5:33.0,L. Aldridge misses 2-pt shot from 3 ft,,13-13,,
5:32.0,Offensive rebound by K. Leonard,,13-13,,
5:25.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Bertans),2,15-13,,
5:07.0,,,15-13,,Turnover by J. Ingles (bad pass; steal by J. Simmons)
4:51.0,K. Leonard misses 3-pt shot from 24 ft,,15-13,,
4:51.0,Offensive rebound by D. Bertans,,15-13,,
4:46.0,Shooting foul by G. Hill (drawn by K. Leonard),,15-13,,
4:46.0,K. Leonard makes free throw 1 of 2,1,16-13,,
4:46.0,K. Leonard makes free throw 2 of 2,1,17-13,,
4:46.0,,,16-13,,S. Mack enters the game for G. Hill
4:28.0,N. Laprovittola enters the game for P. Mills,,17-13,,
4:21.0,,,17-13,,S. Mack misses 2-pt shot from 5 ft
4:21.0,Defensive rebound by L. Aldridge,,17-13,,
4:12.0,,,17-13,,Personal foul by S. Mack (drawn by N. Laprovittola)
4:12.0,N. Laprovittola makes free throw 1 of 2,1,18-13,,
4:12.0,N. Laprovittola makes free throw 2 of 2,1,19-13,,
4:12.0,M. Ginobili enters the game for K. Leonard,,18-13,,
3:58.0,,,19-16,3,T. Lyles makes 3-pt shot from 25 ft (assist by S. Mack)
3:47.0,Shooting foul by R. Hood (drawn by J. Simmons),,19-16,,
3:47.0,,,19-16,,Utah full timeout
3:47.0,J. Simmons misses free throw 1 of 2,,19-16,,
3:47.0,Offensive rebound by Team,,19-16,,
3:47.0,J. Simmons makes free throw 2 of 2,1,20-16,,
3:47.0,,,19-16,,D. Exum enters the game for R. Hood
