time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession)
11:48.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,2-0,,
11:33.0,,,2-0,,J. Crowder misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by O. Porter,,2-0,,
11:13.0,M. Morris misses 2-pt shot from 9 ft,,2-0,,
11:12.0,Offensive rebound by M. Gortat,,2-0,,
11:06.0,B. Beal makes 3-pt shot from 25 ft,3,5-0,,
10:48.0,,,5-0,,A. Bradley misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by B. Beal,,5-0,,
10:38.0,O. Porter makes 2-pt shot from 2 ft,2,7-0,,
10:29.0,,,7-0,,I. Thomas misses 2-pt shot from 5 ft
10:28.0,Defensive rebound by J. Wall,,7-0,,
10:14.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat),2,9-0,,
10:14.0,,,9-0,,Boston full timeout
9:56.0,,,9-0,,I. Thomas misses 2-pt shot from 6 ft
9:55.0,Defensive rebound by O. Porter,,9-0,,
9:45.0,,,9-0,,Personal foul by J. Crowder (drawn by M. Morris)
9:45.0,,,9-0,,A. Johnson enters the game for G. Green
9:36.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,11-0,,
9:20.0,,,11-0,,A. Bradley misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by O. Porter,,11-0,,
9:01.0,M. Morris misses 3-pt shot from 25 ft,,11-0,,
9:00.0,Offensive rebound by M. Gortat,,11-0,,
8:56.0,J. Wall makes 3-pt shot from 28 ft (assist by B. Beal),3,14-0,,
8:38.0,,,14-0,,I. Thomas misses 2-pt shot from 2 ft
8:37.0,Defensive rebound by O. Porter,,14-0,,
8:32.0,M. Gortat misses 2-pt shot from 7 ft (block by A. Johnson),,14-0,,
8:31.0,Offensive rebound by Team,,14-0,,
8:28.0,B. Beal misses 2-pt shot from 17 ft,,14-0,,
8:27.0,Offensive rebound by M. Morris,,14-0,,
8:21.0,J. Wall makes 2-pt shot from 17 ft,2,16-0,,
8:04.0,,,16-0,,Shooting foul by J. Wall (drawn by I. Thomas)
8:04.0,,,16-1,1,I. Thomas makes free throw 1 of 3
8:04.0,,,16-2,1,I. Thomas makes free throw 2 of 3
8:04.0,,,16-3,1,I. Thomas makes free throw 3 of 3
8:04.0,,,16-2,,M. Smart enters the game for J. Crowder
8:04.0,,,16-2,,K. Olynyk enters the game for A. Horford
7:46.0,M. Morris makes 2-pt shot from 5 ft (assist by B. Beal),2,18-3,,
7:30.0,,,18-3,,A. Bradley misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by M. Morris,,18-3,,
7:11.0,J. Wall makes 2-pt shot from 10 ft,2,20-3,,
6:54.0,,,20-3,,K. Olynyk misses 2-pt shot from 8 ft
6:53.0,Defensive rebound by M. Morris,,20-3,,
6:46.0,Turnover by J. Wall (lost ball; steal by M. Smart),,20-3,,
6:42.0,,,20-5,2,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart)
6:29.0,O. Porter makes 2-pt shot from 8 ft (assist by J. Wall),2,22-5,,
6:16.0,,,22-5,,A. Bradley misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by J. Wall,,22-5,,
6:09.0,J. Wall misses 2-pt shot from 14 ft,,22-5,,
6:08.0,Offensive rebound by Team,,22-5,,
6:08.0,,,22-5,,Personal foul by A. Johnson (drawn by M. Gortat)
5:57.0,M. Gortat misses 2-pt shot from 8 ft,,22-5,,
5:56.0,,,22-5,,Defensive rebound by M. Smart
5:45.0,,,22-8,3,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk)
5:30.0,B. Beal misses 2-pt shot from 3 ft,,22-8,,
5:28.0,,,22-8,,Defensive rebound by K. Olynyk
5:22.0,,,22-11,3,I. Thomas makes 3-pt shot from 27 ft (assist by A. Bradley)
5:21.0,Washington full timeout,,22-11,,
