time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Frye vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: C. Frye vs. H. Whiteside (G. Dragic gains possession)
11:46.0,,,0-0,,Shooting foul by C. Frye (drawn by H. Whiteside)
11:46.0,,,0-0,,H. Whiteside misses free throw 1 of 2
11:46.0,,,0-0,,Offensive rebound by Team
11:46.0,,,0-0,,H. Whiteside misses free throw 2 of 2
11:45.0,Defensive rebound by D. Williams,,0-0,,
11:28.0,K. Love makes 2-pt shot from 12 ft (assist by J. Smith),2,2-0,,
11:15.0,,,2-0,,J. Johnson misses 2-pt shot from 7 ft
11:14.0,Defensive rebound by I. Shumpert,,2-0,,
11:07.0,I. Shumpert makes 2-pt shot from 16 ft,2,4-0,,
10:55.0,,,4-3,3,R. McGruder makes 3-pt shot from 24 ft (assist by J. Johnson)
10:41.0,I. Shumpert misses 3-pt shot from 25 ft,,4-3,,
10:40.0,,,4-3,,Defensive rebound by J. Richardson
10:31.0,,,4-5,2,J. Richardson makes 2-pt shot at rim
10:22.0,Shooting foul by G. Dragic (drawn by C. Frye),,4-5,,
10:22.0,C. Frye makes free throw 1 of 2,1,5-5,,
10:22.0,C. Frye makes free throw 2 of 2,1,6-5,,
10:15.0,,,6-5,,Turnover by J. Johnson (bad pass; steal by J. Smith)
10:09.0,Offensive foul by K. Love,,6-5,,
10:09.0,Turnover by K. Love (offensive foul),,6-5,,
9:54.0,,,6-5,,Turnover by H. Whiteside (traveling)
9:42.0,K. Love makes 2-pt shot from 19 ft,2,8-5,,
9:30.0,,,8-7,2,J. Johnson makes 2-pt shot at rim (assist by G. Dragic)
9:12.0,K. Love misses 3-pt shot from 24 ft,,8-7,,
9:11.0,,,8-7,,Defensive rebound by H. Whiteside
9:02.0,,,8-9,2,G. Dragic makes 2-pt shot from 1 ft
8:54.0,D. Williams makes 2-pt shot from 4 ft,2,10-9,,
8:41.0,,,10-11,2,J. Richardson makes 2-pt shot from 12 ft (assist by J. Johnson)
8:23.0,J. Smith makes 2-pt shot from 19 ft,2,12-11,,
8:11.0,,,12-11,,G. Dragic misses 2-pt shot from 18 ft
8:10.0,Defensive rebound by J. Smith,,12-11,,
7:53.0,K. Love misses 2-pt shot from 17 ft,,12-11,,
7:52.0,,,12-11,,Defensive rebound by R. McGruder
7:40.0,,,12-13,2,G. Dragic makes 2-pt shot from 8 ft
7:25.0,C. Frye makes 2-pt shot from 18 ft (assist by D. Williams),2,14-13,,
7:02.0,,,14-13,,H. Whiteside misses 2-pt shot from 9 ft
7:01.0,Defensive rebound by C. Frye,,14-13,,
6:51.0,Turnover by D. Williams (bad pass),,14-13,,
