time,Denver,pts.away,score,pts.home,Sacramento
0:03.0,Defensive rebound by M. Plumlee,,25-19,,
0:01.0,Turnover by M. Plumlee (bad pass; steal by T. Lawson),,25-19,,
0:00.0,,,25-19,,T. Lawson misses 2-pt shot from 22 ft (block by W. Barton)
0:00.0,,,25-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by J. Murray (drawn by T. Lawson),,25-19,,
11:34.0,,,25-19,,Turnover by T. Lawson (bad pass; steal by J. Murray)
11:31.0,,,25-19,,Personal foul by T. Lawson (drawn by J. Murray)
11:26.0,W. Barton misses 3-pt shot from 25 ft,,25-19,,
11:25.0,Offensive rebound by J. Murray,,25-19,,
11:17.0,W. Barton makes 2-pt shot from 12 ft,2,27-19,,
11:07.0,,,27-19,,S. Labissiere misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by J. Hernangomez,,27-19,,
10:49.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by W. Barton),3,30-19,,
10:31.0,,,30-21,2,G. Temple makes 2-pt shot from 3 ft (assist by A. Tolliver)
10:17.0,J. Hernangomez makes 3-pt shot from 25 ft (assist by M. Plumlee),3,33-21,,
10:03.0,,,33-21,,A. Tolliver misses 2-pt shot from 17 ft
10:03.0,,,33-21,,Offensive rebound by S. Labissiere
10:03.0,,,33-23,2,S. Labissiere makes 2-pt shot at rim
9:39.0,M. Plumlee makes 2-pt shot from 9 ft,2,35-23,,
9:18.0,,,35-23,,S. Labissiere misses 2-pt shot from 12 ft
9:18.0,,,35-23,,Offensive rebound by A. Tolliver
9:14.0,,,35-23,,G. Temple misses 3-pt shot from 29 ft (block by M. Plumlee)
9:14.0,,,35-23,,Offensive rebound by Team
9:14.0,,,35-23,,Turnover by Team (shot clock)
9:14.0,,,35-23,,K. Koufos enters the game for A. Tolliver
9:03.0,W. Barton misses 3-pt shot from 27 ft,,35-23,,
9:03.0,,,35-23,,Defensive rebound by Team
9:03.0,Loose ball foul by J. Hernangomez,,35-23,,
8:51.0,,,35-25,2,K. Koufos makes 2-pt shot from 7 ft (assist by G. Temple)
8:40.0,D. Arthur misses 3-pt shot from 26 ft,,35-25,,
8:39.0,Offensive rebound by M. Plumlee,,35-25,,
8:33.0,D. Arthur makes 2-pt shot from 3 ft (assist by M. Plumlee),2,37-25,,
8:17.0,,,37-27,2,K. Koufos makes 2-pt shot from 9 ft (assist by G. Temple)
