time,Chicago,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,,,0-0,,D. Williams misses 2-pt shot from 19 ft
12:00.0,Jump ball: A. Bogut vs. R. Lopez (D. Williams gains possession),,,,Jump ball: A. Bogut vs. R. Lopez (D. Williams gains possession)
11:33.0,Defensive rebound by N. Mirotic,,0-0,,
11:19.0,Turnover by T. Gibson (lost ball),,0-0,,
10:58.0,,,0-0,,H. Barnes misses 2-pt shot from 22 ft
10:57.0,Defensive rebound by J. Butler,,0-0,,
10:49.0,J. Butler misses 2-pt shot from 17 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by A. Bogut
10:30.0,,,0-0,,H. Barnes misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by N. Mirotic,,0-0,,
10:21.0,R. Rondo misses 2-pt shot from 2 ft,,0-0,,
10:21.0,,,0-0,,Defensive rebound by A. Bogut
10:11.0,,,0-0,,D. Williams misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by N. Mirotic,,0-0,,
10:01.0,R. Lopez misses 2-pt shot from 19 ft,,0-0,,
10:00.0,,,0-0,,Defensive rebound by A. Bogut
9:45.0,,,0-2,2,H. Barnes makes 2-pt shot from 6 ft (assist by D. Williams)
9:45.0,Shooting block foul by J. Butler (drawn by H. Barnes),,0-2,,
9:45.0,,,0-3,1,H. Barnes makes free throw 1 of 1
9:20.0,J. Butler misses 2-pt shot from 19 ft,,0-3,,
9:20.0,,,0-3,,Defensive rebound by A. Bogut
9:09.0,,,0-5,2,A. Bogut makes 2-pt shot from 4 ft (assist by D. Williams)
8:51.0,N. Mirotic misses 3-pt shot from 25 ft,,0-5,,
8:50.0,,,0-5,,Defensive rebound by A. Bogut
8:42.0,,,0-7,2,D. Williams makes 2-pt shot from 12 ft
8:42.0,Chicago full timeout,,0-7,,
8:27.0,T. Gibson misses 2-pt shot from 6 ft,,0-7,,
8:25.0,Offensive rebound by R. Lopez,,0-7,,
8:25.0,R. Lopez makes 2-pt shot from 1 ft,2,2-7,,
8:08.0,,,2-7,,Turnover by D. Williams (bad pass)
7:51.0,T. Gibson misses 2-pt shot from 7 ft,,2-7,,
