time,Philadelphia,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Okafor (D. Favors gains possession),,,,Jump ball: R. Gobert vs. J. Okafor (D. Favors gains possession)
11:49.0,,,0-0,,Shooting foul by J. Okafor (drawn by G. Hayward)
11:49.0,,,0-1,1,G. Hayward makes free throw 1 of 2
11:49.0,,,0-2,1,G. Hayward makes free throw 2 of 2
11:26.0,J. Okafor misses 2-pt shot from 4 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by R. Gobert
11:16.0,,,0-4,2,G. Hill makes 2-pt shot from 2 ft
10:55.0,E. Ilyasova makes 2-pt shot from 19 ft,2,2-4,,
10:34.0,,,2-4,,D. Favors misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by E. Ilyasova,,2-4,,
10:27.0,E. Ilyasova misses 3-pt shot from 25 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by G. Hayward
10:15.0,,,2-4,,Turnover by R. Hood (bad pass)
10:07.0,,,2-4,,Personal foul by R. Hood (drawn by N. Stauskas)
9:58.0,N. Stauskas misses 2-pt shot from 2 ft (block by R. Gobert),,2-4,,
9:57.0,Offensive rebound by J. Okafor,,2-4,,
9:52.0,J. Okafor misses 2-pt shot from 3 ft,,2-4,,
9:51.0,Offensive rebound by E. Ilyasova,,2-4,,
9:50.0,E. Ilyasova misses 2-pt shot from 2 ft,,2-4,,
9:48.0,,,2-4,,Defensive rebound by G. Hill
9:35.0,,,2-4,,Shooting foul by J. Okafor (drawn by R. Gobert)
9:35.0,,,2-5,1,R. Gobert makes free throw 1 of 2
9:35.0,,,2-5,,R. Gobert misses free throw 2 of 2
9:35.0,Defensive rebound by E. Ilyasova,,2-5,,
9:35.0,N. Noel enters the game for J. Okafor,,2-5,,
9:15.0,S. Rodriguez misses 2-pt shot from 21 ft,,2-5,,
9:15.0,,,2-5,,Defensive rebound by D. Favors
9:07.0,,,2-5,,Turnover by G. Hill (lost ball; steal by N. Stauskas)
9:00.0,Jump ball: R. Covington vs. R. Hood (N. Noel gains possession),,,,Jump ball: R. Covington vs. R. Hood (N. Noel gains possession)
8:47.0,Turnover by R. Covington (lost ball; steal by G. Hill),,2-5,,
8:26.0,,,2-8,3,R. Hood makes 3-pt shot from 25 ft (assist by G. Hill)
8:08.0,Turnover by S. Rodriguez (lost ball),,2-8,,
7:52.0,,,2-8,,Turnover by D. Favors (lost ball; steal by N. Noel)
7:44.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by R. Covington),2,4-8,,
7:26.0,,,4-8,,Utah full timeout
7:22.0,,,4-11,3,G. Hayward makes 3-pt shot from 26 ft (assist by R. Gobert)
7:12.0,R. Covington misses 3-pt shot from 24 ft,,4-11,,
7:11.0,,,4-11,,Defensive rebound by R. Gobert
6:59.0,,,4-11,,G. Hayward misses 2-pt shot from 10 ft
6:58.0,,,4-11,,Offensive rebound by D. Favors
6:48.0,,,4-11,,Shooting foul by R. Covington (drawn by R. Gobert)
6:48.0,,,4-12,1,R. Gobert makes free throw 1 of 2
6:48.0,,,4-12,,R. Gobert misses free throw 2 of 2
6:48.0,D. Saric enters the game for S. Rodriguez,,4-12,,
6:48.0,T. McConnell enters the game for E. Ilyasova,,4-12,,
6:48.0,,,4-12,,S. Mack enters the game for G. Hill
6:47.0,,,4-12,,Offensive rebound by S. Mack
6:33.0,,,4-12,,D. Favors misses 2-pt shot from 2 ft
6:33.0,,,4-12,,Offensive rebound by D. Favors
6:32.0,,,4-12,,Shooting foul by D. Saric (drawn by D. Favors)
6:32.0,,,4-12,,D. Favors misses free throw 1 of 2
6:32.0,,,4-12,,Offensive rebound by Team
6:32.0,,,4-12,,D. Favors misses free throw 2 of 2
6:31.0,Defensive rebound by N. Noel,,4-12,,
6:18.0,T. McConnell makes 2-pt shot from 9 ft,2,6-12,,
6:05.0,,,6-12,,S. Mack misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by Team,,6-12,,
6:03.0,,,6-12,,B. Diaw enters the game for D. Favors
5:46.0,Turnover by D. Saric (lost ball),,6-12,,
5:46.0,,,6-12,,J. Ingles enters the game for R. Hood
5:37.0,,,6-15,3,G. Hayward makes 3-pt shot from 25 ft (assist by B. Diaw)
5:36.0,Philadelphia full timeout,,6-15,,
5:18.0,D. Saric makes 2-pt shot from 4 ft,2,8-15,,
5:02.0,,,8-15,,Turnover by B. Diaw (step out of bounds)
4:49.0,N. Stauskas misses 2-pt shot from 3 ft (block by R. Gobert),,8-15,,
4:49.0,Offensive rebound by Team,,8-15,,
4:39.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,10-15,,
4:24.0,,,10-15,,G. Hayward misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by N. Noel,,10-15,,
4:12.0,N. Noel misses 2-pt shot from 2 ft,,10-15,,
4:12.0,,,10-15,,Defensive rebound by G. Hayward
4:04.0,,,10-17,2,S. Mack makes 2-pt shot from 11 ft (assist by G. Hayward)
3:52.0,N. Noel makes 2-pt shot from 7 ft (assist by N. Stauskas),2,12-17,,
3:27.0,Personal foul by R. Covington (drawn by R. Gobert),,12-17,,
3:27.0,,,12-17,,R. Gobert misses free throw 1 of 2
3:27.0,,,12-17,,Offensive rebound by Team
3:27.0,,,12-18,1,R. Gobert makes free throw 2 of 2
