time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Thompson (D. Schroder gains possession),,,,Jump ball: D. Howard vs. T. Thompson (D. Schroder gains possession)
11:44.0,K. Bazemore makes 2-pt shot from 18 ft,2,2-0,,
11:32.0,,,2-0,,Offensive foul by J. Smith
11:32.0,,,2-0,,Turnover by J. Smith (offensive foul)
11:16.0,P. Millsap misses 2-pt shot from 7 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by L. James
11:09.0,,,2-0,,Shooting foul by P. Millsap (drawn by T. Thompson)
11:09.0,,,2-0,,T. Thompson misses free throw 1 of 2
11:09.0,,,2-0,,Offensive rebound by Team
11:09.0,,,2-0,,T. Thompson misses free throw 2 of 2
11:08.0,Defensive rebound by P. Millsap,,2-0,,
10:49.0,Turnover by D. Howard (lost ball),,2-0,,
10:35.0,,,2-0,,K. Love misses 2-pt shot from 18 ft
10:35.0,Defensive rebound by D. Howard,,2-0,,
10:24.0,T. Sefolosha misses 2-pt shot from 8 ft,,2-0,,
10:24.0,,,2-0,,Defensive rebound by Team
10:13.0,,,2-2,2,K. Love makes 2-pt shot from 7 ft (assist by K. Irving)
10:13.0,Violation by D. Howard (def goaltending),,2-2,,
9:58.0,Turnover by K. Bazemore (bad pass; steal by K. Love),,2-2,,
9:54.0,Personal foul by D. Schroder (drawn by K. Irving),,2-2,,
9:48.0,,,2-2,,K. Irving misses 2-pt shot from 17 ft
9:47.0,,,2-2,,Offensive rebound by Team
9:44.0,,,2-5,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
9:27.0,D. Schroder makes 3-pt shot from 26 ft (assist by D. Howard),3,5-5,,
9:12.0,,,5-5,,L. James misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by Team,,5-5,,
8:54.0,D. Howard misses 2-pt shot from 9 ft,,5-5,,
8:52.0,,,5-5,,Defensive rebound by K. Love
8:40.0,,,5-5,,J. Smith misses 3-pt shot from 27 ft
8:40.0,Defensive rebound by Team,,5-5,,
8:16.0,Shooting foul by L. James (drawn by P. Millsap),,5-5,,
8:16.0,P. Millsap makes free throw 1 of 2,1,6-5,,
8:16.0,P. Millsap misses free throw 2 of 2,,6-5,,
8:16.0,,,6-5,,Defensive rebound by J. Smith
7:59.0,,,6-5,,L. James misses 2-pt shot from 8 ft
7:59.0,,,6-5,,Offensive rebound by Team
7:49.0,,,6-5,,L. James misses 2-pt shot from 2 ft
7:48.0,Defensive rebound by D. Howard,,6-5,,
7:37.0,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Sefolosha),3,9-5,,
7:27.0,,,9-7,2,K. Irving makes 2-pt shot from 17 ft
7:07.0,P. Millsap misses 2-pt shot from 16 ft,,9-7,,
7:06.0,,,9-7,,Defensive rebound by K. Irving
7:01.0,,,9-7,,Shooting foul by K. Bazemore (drawn by K. Love)
7:01.0,,,9-8,1,K. Love makes free throw 1 of 2
7:01.0,,,9-9,1,K. Love makes free throw 2 of 2
7:01.0,M. Muscala enters the game for P. Millsap,,9-8,,
7:01.0,T. Hardaway enters the game for K. Bazemore,,9-8,,
6:46.0,D. Schroder makes 2-pt shot from 7 ft,2,11-9,,
6:46.0,K. Humphries enters the game for D. Howard,,11-9,,
6:25.0,,,11-9,,K. Irving misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by K. Humphries,,11-9,,
6:06.0,T. Sefolosha misses 2-pt shot from 6 ft,,11-9,,
6:04.0,Offensive rebound by M. Muscala,,11-9,,
6:04.0,M. Muscala makes 2-pt shot at rim,2,13-9,,
