time,Minnesota,pts.away,score,pts.home,Atlanta
10:13.0,Offensive rebound by G. Dieng,,70-71,,
10:05.0,,,70-71,,Personal foul by T. Waller-Prince (drawn by K. Dunn)
10:05.0,,,70-71,,D. Schroder enters the game for K. Korver
9:52.0,Turnover by Z. LaVine (lost ball),,70-71,,
9:37.0,,,70-71,,Turnover by T. Waller-Prince (lost ball)
9:23.0,,,70-71,,Personal foul by T. Waller-Prince (drawn by S. Muhammad)
9:23.0,,,70-71,,P. Millsap enters the game for M. Muscala
9:16.0,N. Bjelica makes 3-pt shot from 25 ft (assist by G. Dieng),3,73-71,,
8:51.0,,,73-71,,K. Bazemore misses 2-pt shot from 18 ft
8:49.0,Defensive rebound by G. Dieng,,73-71,,
8:35.0,Turnover by G. Dieng (bad pass),,73-71,,
8:27.0,,,73-74,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
8:27.0,Minnesota full timeout,,73-74,,
8:27.0,K. Towns enters the game for G. Dieng,,73-74,,
8:27.0,A. Wiggins enters the game for S. Muhammad,,73-74,,
8:12.0,,,73-74,,Violation by K. Bazemore (kicked ball)
8:08.0,Z. LaVine makes 3-pt shot from 26 ft (assist by N. Bjelica),3,76-74,,
7:45.0,,,76-76,2,D. Schroder makes 2-pt shot from 5 ft (assist by P. Millsap)
7:29.0,Turnover by K. Towns (bad pass; steal by T. Waller-Prince),,76-76,,
7:28.0,Personal foul by K. Dunn (drawn by D. Schroder),,76-76,,
7:28.0,,,76-76,,K. Korver enters the game for K. Bazemore
7:28.0,,,76-76,,T. Sefolosha enters the game for T. Waller-Prince
7:18.0,,,76-76,,M. Scott misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by Z. LaVine,,76-76,,
6:59.0,Turnover by K. Towns (bad pass; steal by T. Sefolosha),,76-76,,
6:52.0,,,76-76,,Turnover by K. Korver (lost ball)
6:39.0,A. Wiggins makes 2-pt shot from 21 ft,2,78-76,,
6:23.0,,,78-78,2,D. Schroder makes 2-pt shot from 2 ft
6:05.0,,,78-78,,Personal foul by P. Millsap (drawn by A. Wiggins)
6:05.0,,,78-78,,M. Muscala enters the game for M. Scott
6:05.0,G. Dieng enters the game for N. Bjelica,,78-78,,
5:58.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,80-78,,
5:41.0,,,80-80,2,D. Schroder makes 2-pt shot from 18 ft
5:23.0,A. Wiggins makes 2-pt shot from 16 ft,2,82-80,,
5:23.0,Shooting foul by T. Sefolosha (drawn by A. Wiggins),,82-80,,
5:23.0,Official timeout,,82-80,,
5:23.0,A. Wiggins makes free throw 1 of 1,1,83-80,,
5:23.0,R. Rubio enters the game for K. Dunn,,82-80,,
5:14.0,,,83-80,,Turnover by K. Korver (lost ball; steal by R. Rubio)
5:08.0,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio),2,85-80,,
4:51.0,,,85-80,,Shooting foul by K. Towns (drawn by P. Millsap)
4:51.0,,,85-81,1,P. Millsap makes free throw 1 of 2
4:51.0,,,85-82,1,P. Millsap makes free throw 2 of 2
4:51.0,,,85-81,,K. Bazemore enters the game for K. Korver
4:35.0,G. Dieng makes 2-pt shot from 6 ft (assist by K. Towns),2,87-82,,
4:09.0,,,87-82,,M. Muscala misses 2-pt shot from 8 ft (block by K. Towns)
4:06.0,Defensive rebound by R. Rubio,,87-82,,
3:51.0,G. Dieng misses 2-pt shot from 12 ft,,87-82,,
3:50.0,,,87-82,,Defensive rebound by M. Muscala
3:37.0,,,87-82,,Shooting foul by A. Wiggins (drawn by K. Bazemore)
3:37.0,,,87-82,,K. Bazemore misses free throw 1 of 2
3:37.0,,,87-82,,Offensive rebound by Team
3:37.0,,,87-82,,K. Bazemore misses free throw 2 of 2
3:36.0,Defensive rebound by K. Towns,,87-82,,
3:23.0,,,87-82,,Shooting block foul by M. Muscala (drawn by K. Towns)
3:23.0,K. Towns misses free throw 1 of 2,,87-82,,
3:23.0,Offensive rebound by Team,,87-82,,
3:23.0,K. Towns makes free throw 2 of 2,1,88-82,,
3:08.0,,,88-82,,D. Schroder misses 3-pt shot from 25 ft
3:06.0,,,88-82,,Offensive rebound by M. Muscala
3:01.0,,,88-82,,T. Sefolosha misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by R. Rubio,,88-82,,
