time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Leonard (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. M. Leonard (G. Hayward gains possession)
11:46.0,G. Hayward makes 2-pt shot from 9 ft (assist by B. Diaw),2,2-0,,
11:28.0,,,2-3,3,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard)
11:17.0,,,2-3,,Def 3 sec tech foul by M. Leonard
11:17.0,G. Hayward makes technical free throw,1,3-3,,
11:02.0,B. Diaw misses 2-pt shot from 18 ft,,3-3,,
11:02.0,Offensive rebound by Team,,3-3,,
11:02.0,Turnover by Team (shot clock),,3-3,,
10:43.0,,,3-5,2,C. McCollum makes 2-pt shot from 6 ft
10:24.0,D. Exum misses 3-pt shot from 22 ft,,3-5,,
10:23.0,,,3-5,,Defensive rebound by N. Vonleh
10:13.0,,,3-7,2,D. Lillard makes 2-pt shot from 14 ft (assist by N. Vonleh)
9:58.0,Turnover by R. Gobert (traveling),,3-7,,
9:35.0,,,3-7,,D. Lillard misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by R. Gobert,,3-7,,
9:24.0,J. Ingles misses 2-pt shot from 3 ft,,3-7,,
9:21.0,,,3-7,,Defensive rebound by D. Lillard
9:17.0,,,3-9,2,D. Lillard makes 2-pt shot from 10 ft
9:14.0,Utah full timeout,,3-9,,
8:54.0,J. Ingles misses 3-pt shot from 23 ft,,3-9,,
8:53.0,,,3-9,,Defensive rebound by N. Vonleh
8:41.0,,,3-9,,D. Lillard misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by B. Diaw,,3-9,,
8:24.0,D. Exum misses 2-pt shot from 20 ft,,3-9,,
8:23.0,,,3-9,,Defensive rebound by Team
8:23.0,D. Favors enters the game for R. Gobert,,3-9,,
8:10.0,,,3-9,,C. McCollum misses 2-pt shot from 21 ft
8:09.0,Defensive rebound by B. Diaw,,3-9,,
7:49.0,G. Hayward misses 2-pt shot from 8 ft,,3-9,,
7:48.0,,,3-9,,Defensive rebound by M. Leonard
7:40.0,,,3-12,3,D. Lillard makes 3-pt shot from 26 ft
7:21.0,D. Favors misses 2-pt shot from 20 ft,,3-12,,
7:20.0,,,3-12,,Defensive rebound by D. Lillard
7:14.0,,,3-14,2,D. Lillard makes 2-pt shot from 2 ft
7:14.0,Utah full timeout,,3-14,,
7:14.0,S. Mack enters the game for D. Exum,,3-14,,
7:04.0,G. Hayward makes 2-pt shot from 21 ft,2,5-14,,
6:47.0,Personal block foul by B. Diaw,,5-14,,
6:42.0,,,5-17,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
6:25.0,J. Ingles makes 3-pt shot from 27 ft (assist by B. Diaw),3,8-17,,
6:03.0,,,8-20,3,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum)
5:36.0,Turnover by Team (shot clock),,8-20,,
5:36.0,R. Hood enters the game for J. Ingles,,8-20,,
5:36.0,J. Johnson enters the game for B. Diaw,,8-20,,
5:36.0,,,8-20,,E. Turner enters the game for C. McCollum
5:36.0,,,8-20,,A. Aminu enters the game for N. Vonleh
5:26.0,,,8-20,,Shooting foul by G. Hayward (drawn by D. Lillard)
5:26.0,,,8-21,1,D. Lillard makes free throw 1 of 2
5:26.0,,,8-22,1,D. Lillard makes free throw 2 of 2
5:14.0,G. Hayward misses 2-pt shot from 14 ft,,8-22,,
5:13.0,,,8-22,,Defensive rebound by A. Aminu
5:06.0,,,8-24,2,D. Lillard makes 2-pt shot from 1 ft
4:53.0,J. Johnson misses 2-pt shot from 10 ft,,8-24,,
4:52.0,,,8-24,,Defensive rebound by E. Turner
4:38.0,,,8-24,,A. Aminu misses 2-pt shot from 14 ft
4:37.0,Defensive rebound by R. Hood,,8-24,,
4:22.0,Turnover by S. Mack (bad pass),,8-24,,
4:22.0,R. Gobert enters the game for D. Favors,,8-24,,
4:11.0,,,8-24,,D. Lillard misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by G. Hayward,,8-24,,
4:02.0,R. Gobert makes 2-pt shot from 5 ft (assist by G. Hayward),2,10-24,,
4:02.0,Shooting foul by M. Harkless (drawn by R. Gobert),,10-24,,
4:02.0,R. Gobert makes free throw 1 of 1,1,11-24,,
4:02.0,,,10-24,,P. Connaughton enters the game for M. Harkless
3:46.0,Personal foul by J. Johnson (drawn by A. Aminu),,11-24,,
3:41.0,,,11-26,2,D. Lillard makes 2-pt shot from 2 ft
3:41.0,,,11-26,,Shooting foul by R. Gobert (drawn by D. Lillard)
3:41.0,,,11-27,1,D. Lillard makes free throw 1 of 1
3:30.0,S. Mack misses 2-pt shot from 19 ft,,11-27,,
3:29.0,,,11-27,,Defensive rebound by A. Aminu
3:20.0,,,11-30,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
3:19.0,Utah full timeout,,11-30,,
3:19.0,R. Neto enters the game for S. Mack,,11-30,,
3:07.0,Utah full timeout,,11-30,,
2:58.0,R. Hood misses 2-pt shot from 8 ft,,11-30,,
2:58.0,Offensive rebound by R. Gobert,,11-30,,
2:58.0,Shooting foul by M. Leonard (drawn by R. Gobert),,11-30,,
2:58.0,R. Gobert makes free throw 1 of 2,1,12-30,,
2:58.0,R. Gobert makes free throw 2 of 2,1,13-30,,
2:39.0,,,13-30,,D. Lillard misses 2-pt shot from 6 ft
2:39.0,Defensive rebound by G. Hayward,,13-30,,
2:26.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. Neto),3,16-30,,
1:59.0,,,16-30,,A. Aminu misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by R. Gobert,,16-30,,
1:51.0,R. Hood makes 2-pt shot from 3 ft (assist by R. Gobert),2,18-30,,
1:32.0,,,18-30,,P. Connaughton misses 2-pt shot from 21 ft
1:31.0,,,18-30,,Offensive rebound by E. Turner
1:27.0,,,18-30,,E. Turner misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by R. Gobert,,18-30,,
1:07.0,J. Johnson misses 3-pt shot from 27 ft,,18-30,,
1:06.0,,,18-30,,Defensive rebound by P. Connaughton
0:59.0,,,18-32,2,D. Lillard makes 2-pt shot from 7 ft
0:45.0,R. Hood makes 2-pt shot from 14 ft,2,20-32,,
0:37.0,Personal foul by R. Hood (drawn by D. Lillard),,20-32,,
0:37.0,,,20-33,1,D. Lillard makes free throw 1 of 2
0:37.0,,,20-34,1,D. Lillard makes free throw 2 of 2
0:37.0,,,20-33,,N. Vonleh enters the game for M. Leonard
0:37.0,J. Ingles enters the game for G. Hayward,,20-33,,
0:17.0,R. Hood misses 2-pt shot from 8 ft (block by N. Vonleh),,20-34,,
0:16.0,,,20-34,,Defensive rebound by A. Aminu
0:01.0,,,20-34,,D. Lillard misses 2-pt shot from 11 ft (block by R. Neto)
0:00.0,,,20-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-36,2,P. Connaughton makes 2-pt shot from 1 ft (assist by C. McCollum)
11:27.0,Shooting foul by N. Vonleh (drawn by R. Hood),,20-36,,
11:27.0,R. Hood makes free throw 1 of 2,1,21-36,,
11:27.0,R. Hood makes free throw 2 of 2,1,22-36,,
11:27.0,,,21-36,,M. Harkless enters the game for P. Connaughton
11:09.0,,,22-36,,C. McCollum misses 2-pt shot from 3 ft (block by R. Gobert)
11:09.0,Defensive rebound by R. Hood,,22-36,,
11:00.0,R. Hood makes 2-pt shot from 1 ft,2,24-36,,
10:47.0,Personal foul by R. Hood (drawn by N. Vonleh),,24-36,,
10:47.0,D. Exum enters the game for R. Hood,,24-36,,
10:38.0,,,24-38,2,E. Turner makes 2-pt shot from 1 ft
10:25.0,D. Exum misses 2-pt shot from 4 ft,,24-38,,
10:22.0,,,24-38,,Defensive rebound by Team
10:05.0,,,24-40,2,N. Vonleh makes 2-pt shot at rim (assist by E. Turner)
9:38.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Exum),2,26-40,,
9:20.0,,,26-40,,N. Vonleh misses 2-pt shot from 1 ft (block by J. Johnson)
9:19.0,Defensive rebound by R. Neto,,26-40,,
9:02.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Exum),3,29-40,,
9:02.0,,,29-40,,Portland full timeout
9:02.0,B. Diaw enters the game for J. Johnson,,29-40,,
8:45.0,,,29-40,,E. Turner misses 2-pt shot from 2 ft (block by R. Gobert)
8:44.0,Defensive rebound by R. Neto,,29-40,,
8:30.0,R. Neto misses 2-pt shot from 1 ft (block by N. Vonleh),,29-40,,
8:30.0,Offensive rebound by Team,,29-40,,
8:24.0,Turnover by J. Ingles (bad pass; steal by M. Harkless),,29-40,,
8:18.0,,,29-40,,C. McCollum misses 2-pt shot from 1 ft
8:17.0,,,29-40,,Offensive rebound by N. Vonleh
8:16.0,,,29-40,,N. Vonleh misses 2-pt shot from 1 ft (block by D. Exum)
8:16.0,Defensive rebound by Team,,29-40,,
8:16.0,S. Mack enters the game for R. Neto,,29-40,,
7:56.0,Turnover by D. Exum (bad pass; steal by M. Harkless),,29-40,,
7:50.0,,,29-40,,M. Harkless misses 2-pt shot from 1 ft
7:50.0,,,29-40,,Offensive rebound by N. Vonleh
7:50.0,,,29-40,,N. Vonleh misses 2-pt shot at rim
7:48.0,Defensive rebound by S. Mack,,29-40,,
7:40.0,Turnover by D. Exum (lost ball; steal by E. Turner),,29-40,,
7:34.0,,,29-40,,C. McCollum misses 3-pt shot from 25 ft
7:32.0,,,29-40,,Offensive rebound by A. Aminu
7:26.0,,,29-40,,C. McCollum misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by J. Ingles,,29-40,,
7:11.0,J. Ingles misses 3-pt shot from 25 ft,,29-40,,
7:10.0,,,29-40,,Defensive rebound by E. Turner
6:53.0,,,29-40,,C. McCollum misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by J. Ingles,,29-40,,
6:39.0,R. Gobert misses 2-pt shot from 2 ft (block by N. Vonleh),,29-40,,
6:38.0,,,29-40,,Defensive rebound by N. Vonleh
6:32.0,,,29-40,,E. Turner misses 2-pt shot from 20 ft
6:32.0,Defensive rebound by J. Ingles,,29-40,,
6:11.0,Shooting foul by E. Turner (drawn by D. Exum),,29-40,,
6:11.0,D. Exum misses free throw 1 of 2,,29-40,,
6:11.0,Offensive rebound by Team,,29-40,,
6:11.0,D. Exum makes free throw 2 of 2,1,30-40,,
6:11.0,G. Hayward enters the game for J. Ingles,,29-40,,
6:11.0,J. Johnson enters the game for B. Diaw,,29-40,,
6:11.0,,,29-40,,D. Lillard enters the game for E. Turner
5:59.0,,,30-40,,D. Lillard misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by R. Gobert,,30-40,,
5:48.0,S. Mack makes 2-pt shot from 19 ft (assist by G. Hayward),2,32-40,,
5:27.0,,,32-40,,C. McCollum misses 2-pt shot from 1 ft
5:27.0,,,32-40,,Offensive rebound by A. Aminu
5:27.0,,,32-40,,A. Aminu misses 2-pt shot at rim
5:26.0,Defensive rebound by D. Exum,,32-40,,
5:21.0,Turnover by D. Exum (lost ball; steal by D. Lillard),,32-40,,
5:17.0,,,32-42,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
4:54.0,D. Exum misses 3-pt shot from 24 ft,,32-42,,
4:54.0,Offensive rebound by Team,,32-42,,
4:54.0,,,32-42,,Loose ball foul by N. Vonleh (drawn by R. Gobert)
4:54.0,Official timeout,,32-42,,
4:54.0,R. Hood enters the game for D. Exum,,32-42,,
4:54.0,,,32-42,,M. Leonard enters the game for N. Vonleh
4:54.0,D. Favors enters the game for R. Gobert,,32-42,,
4:39.0,Turnover by S. Mack (bad pass),,32-42,,
4:23.0,,,32-42,,A. Aminu misses 3-pt shot from 24 ft
4:22.0,,,32-42,,Offensive rebound by A. Aminu
4:17.0,,,32-44,2,M. Harkless makes 2-pt shot at rim (assist by M. Leonard)
3:52.0,J. Johnson misses 2-pt shot from 4 ft,,32-44,,
3:51.0,,,32-44,,Defensive rebound by A. Aminu
3:44.0,,,32-44,,C. McCollum misses 2-pt shot from 4 ft (block by R. Hood)
3:43.0,,,32-44,,Offensive rebound by C. McCollum
3:40.0,,,32-46,2,C. McCollum makes 2-pt shot from 8 ft
3:22.0,G. Hayward misses 3-pt shot from 24 ft,,32-46,,
3:21.0,,,32-46,,Defensive rebound by A. Aminu
3:10.0,,,32-46,,M. Leonard misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by S. Mack,,32-46,,
3:04.0,Offensive foul by G. Hayward,,32-46,,
3:04.0,Turnover by G. Hayward (offensive foul),,32-46,,
3:04.0,R. Gobert enters the game for D. Favors,,32-46,,
3:04.0,R. Neto enters the game for S. Mack,,32-46,,
3:04.0,,,32-46,,E. Turner enters the game for A. Aminu
2:42.0,,,32-46,,D. Lillard misses 2-pt shot from 2 ft (block by R. Neto)
2:41.0,Defensive rebound by R. Gobert,,32-46,,
2:32.0,J. Johnson makes 3-pt shot from 23 ft (assist by G. Hayward),3,35-46,,
2:14.0,,,35-46,,E. Turner misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by R. Gobert,,35-46,,
2:07.0,G. Hayward makes 2-pt shot from 13 ft,2,37-46,,
1:39.0,,,37-46,,M. Leonard misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by J. Johnson,,37-46,,
1:26.0,J. Johnson misses 2-pt shot from 10 ft,,37-46,,
1:24.0,,,37-46,,Defensive rebound by D. Lillard
1:16.0,,,37-48,2,M. Harkless makes 2-pt shot at rim (assist by C. McCollum)
1:03.0,G. Hayward makes 3-pt shot from 24 ft,3,40-48,,
1:03.0,,,40-48,,Portland full timeout
1:03.0,Utah full timeout,,40-48,,
0:48.0,,,40-48,,C. McCollum misses 2-pt shot from 17 ft
0:48.0,Defensive rebound by R. Gobert,,40-48,,
0:35.0,J. Johnson makes 2-pt shot from 3 ft (assist by G. Hayward),2,42-48,,
0:18.0,,,42-48,,M. Leonard misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by R. Hood,,42-48,,
0:06.0,,,42-48,,Personal take foul by E. Turner (drawn by G. Hayward)
0:06.0,,,42-48,,A. Aminu enters the game for E. Turner
0:06.0,,,42-48,,N. Vonleh enters the game for M. Leonard
0:02.0,G. Hayward misses 2-pt shot from 19 ft,,42-48,,
0:01.0,,,42-48,,Defensive rebound by C. McCollum
0:00.0,,,42-48,,C. McCollum misses 3-pt shot from 58 ft
0:00.0,,,42-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-48,,C. McCollum misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by R. Gobert,,42-48,,
11:29.0,Shooting foul by M. Harkless (drawn by G. Hayward),,42-48,,
11:29.0,G. Hayward makes free throw 1 of 2,1,43-48,,
11:29.0,G. Hayward misses free throw 2 of 2,,43-48,,
11:27.0,,,43-48,,Defensive rebound by M. Harkless
11:21.0,Personal foul by R. Neto (drawn by M. Leonard),,43-48,,
11:05.0,,,43-51,3,D. Lillard makes 3-pt shot from 23 ft
10:45.0,R. Neto misses 3-pt shot from 25 ft,,43-51,,
10:44.0,Offensive rebound by B. Diaw,,43-51,,
10:42.0,Shooting foul by M. Leonard (drawn by G. Hayward),,43-51,,
10:42.0,G. Hayward misses free throw 1 of 2,,43-51,,
10:42.0,Offensive rebound by Team,,43-51,,
10:42.0,G. Hayward makes free throw 2 of 2,1,44-51,,
10:23.0,,,44-51,,D. Lillard misses 2-pt shot from 5 ft
10:23.0,,,44-51,,Offensive rebound by M. Leonard
10:16.0,,,44-51,,D. Lillard misses 2-pt shot from 9 ft
10:15.0,,,44-51,,Offensive rebound by N. Vonleh
10:10.0,,,44-54,3,C. McCollum makes 3-pt shot from 26 ft (assist by N. Vonleh)
9:46.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,46-54,,
9:26.0,,,46-54,,C. McCollum misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by G. Hayward,,46-54,,
9:21.0,Offensive foul by R. Neto,,46-54,,
9:21.0,Turnover by R. Neto (offensive foul),,46-54,,
9:21.0,S. Mack enters the game for R. Neto,,46-54,,
8:56.0,,,46-54,,D. Lillard misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by G. Hayward,,46-54,,
8:50.0,Shooting foul by N. Vonleh (drawn by G. Hayward),,46-54,,
8:50.0,G. Hayward makes free throw 1 of 2,1,47-54,,
8:50.0,G. Hayward makes free throw 2 of 2,1,48-54,,
8:37.0,Personal foul by J. Ingles,,48-54,,
8:31.0,,,48-56,2,D. Lillard makes 2-pt shot from 20 ft (assist by C. McCollum)
8:14.0,G. Hayward misses 2-pt shot from 13 ft (block by C. McCollum),,48-56,,
8:12.0,,,48-56,,Defensive rebound by N. Vonleh
7:56.0,,,48-59,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
7:30.0,B. Diaw makes 2-pt shot from 18 ft,2,50-59,,
7:15.0,,,50-59,,D. Lillard misses 2-pt shot from 5 ft
7:13.0,,,50-59,,Offensive rebound by N. Vonleh
7:01.0,,,50-61,2,C. McCollum makes 2-pt shot from 1 ft
6:57.0,Technical foul by R. Gobert,,50-61,,
6:57.0,,,50-62,1,D. Lillard makes technical free throw
6:39.0,S. Mack misses 2-pt shot from 2 ft,,50-62,,
6:38.0,Offensive rebound by R. Gobert,,50-62,,
6:38.0,R. Gobert makes 2-pt shot at rim,2,52-62,,
6:17.0,,,52-62,,C. McCollum misses 2-pt shot from 6 ft
6:16.0,,,52-62,,Offensive rebound by M. Harkless
6:12.0,,,52-62,,D. Lillard misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by Team,,52-62,,
6:12.0,R. Hood enters the game for J. Ingles,,52-62,,
6:05.0,,,52-62,,Personal block foul by M. Leonard (drawn by G. Hayward)
5:58.0,B. Diaw makes 2-pt shot at rim,2,54-62,,
5:35.0,,,54-62,,C. McCollum misses 2-pt shot from 4 ft (block by R. Gobert)
5:34.0,Defensive rebound by B. Diaw,,54-62,,
5:17.0,Turnover by G. Hayward (bad pass; steal by M. Harkless),,54-62,,
5:16.0,Personal foul by S. Mack (drawn by D. Lillard),,54-62,,
5:16.0,,,54-62,,Portland full timeout
5:16.0,,,54-62,,E. Turner enters the game for N. Vonleh
5:16.0,J. Johnson enters the game for B. Diaw,,54-62,,
5:16.0,,,54-62,,A. Aminu enters the game for M. Harkless
5:04.0,,,54-65,3,D. Lillard makes 3-pt shot from 24 ft
4:37.0,G. Hayward misses 2-pt shot from 13 ft,,54-65,,
4:36.0,,,54-65,,Defensive rebound by A. Aminu
4:26.0,,,54-65,,Shooting foul by R. Gobert (drawn by D. Lillard)
4:26.0,,,54-67,2,D. Lillard makes 2-pt shot from 2 ft
4:26.0,,,54-68,1,D. Lillard makes free throw 1 of 1
4:05.0,G. Hayward makes 2-pt shot from 14 ft,2,56-68,,
3:50.0,,,56-71,3,D. Lillard makes 3-pt shot from 25 ft
3:44.0,Utah full timeout,,56-71,,
3:37.0,R. Hood misses 2-pt shot from 16 ft,,56-71,,
3:36.0,,,56-71,,Defensive rebound by D. Lillard
3:21.0,,,56-71,,D. Lillard misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by R. Gobert,,56-71,,
3:12.0,G. Hayward makes 2-pt shot from 8 ft,2,58-71,,
2:53.0,,,58-71,,M. Leonard misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by R. Hood,,58-71,,
2:44.0,R. Hood misses 2-pt shot from 9 ft,,58-71,,
2:44.0,Offensive rebound by R. Hood,,58-71,,
2:41.0,S. Mack misses 3-pt shot from 23 ft,,58-71,,
2:40.0,,,58-71,,Defensive rebound by M. Leonard
2:23.0,,,58-73,2,D. Lillard makes 2-pt shot from 1 ft
2:09.0,R. Hood misses 2-pt shot from 7 ft,,58-73,,
2:07.0,,,58-73,,Defensive rebound by C. McCollum
1:57.0,,,58-73,,Shooting foul by R. Gobert (drawn by D. Lillard)
1:57.0,,,58-74,1,D. Lillard makes free throw 1 of 2
1:57.0,,,58-75,1,D. Lillard makes free throw 2 of 2
1:57.0,J. Ingles enters the game for G. Hayward,,58-74,,
1:57.0,D. Favors enters the game for R. Gobert,,58-74,,
1:57.0,D. Exum enters the game for S. Mack,,58-74,,
1:57.0,,,58-74,,P. Connaughton enters the game for M. Leonard
1:57.0,,,58-74,,N. Vonleh enters the game for C. McCollum
1:43.0,J. Johnson makes 2-pt shot from 19 ft,2,60-75,,
1:23.0,,,60-75,,Turnover by P. Connaughton (bad pass; steal by J. Ingles)
1:14.0,Turnover by R. Hood (lost ball; steal by E. Turner),,60-75,,
1:05.0,,,60-77,2,E. Turner makes 2-pt shot from 3 ft
0:40.0,R. Hood misses 3-pt shot from 23 ft (block by E. Turner),,60-77,,
0:40.0,Offensive rebound by Team,,60-77,,
0:40.0,Turnover by Team (shot clock),,60-77,,
0:40.0,,,60-77,,C. McCollum enters the game for P. Connaughton
0:29.0,,,60-77,,C. McCollum misses 2-pt shot from 10 ft
0:28.0,Defensive rebound by J. Ingles,,60-77,,
0:04.0,R. Hood misses 2-pt shot from 19 ft,,60-77,,
0:03.0,,,60-77,,Defensive rebound by A. Aminu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,62-77,,
11:46.0,Shooting foul by E. Turner (drawn by D. Favors),,62-77,,
11:46.0,D. Favors misses free throw 1 of 1,,62-77,,
11:44.0,,,62-77,,Defensive rebound by E. Turner
11:27.0,,,62-79,2,E. Turner makes 2-pt shot from 15 ft
11:04.0,J. Johnson misses 3-pt shot from 27 ft,,62-79,,
11:03.0,Offensive rebound by D. Favors,,62-79,,
10:45.0,D. Favors makes 2-pt shot from 4 ft (assist by D. Exum),2,64-79,,
10:36.0,,,64-81,2,M. Harkless makes 2-pt shot at rim (assist by E. Turner)
10:30.0,Utah full timeout,,64-81,,
10:30.0,A. Burks enters the game for R. Hood,,64-81,,
