time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Whiteside (J. McRoberts gains possession),,,,Jump ball: D. Howard vs. H. Whiteside (J. McRoberts gains possession)
11:40.0,J. McRoberts misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Schroder
11:26.0,,,0-0,,D. Schroder misses 2-pt shot from 21 ft
11:25.0,,,0-0,,Offensive rebound by T. Sefolosha
11:12.0,,,0-2,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Howard)
10:52.0,H. Whiteside misses 2-pt shot from 18 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by P. Millsap
10:43.0,,,0-2,,D. Howard misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by J. McRoberts,,0-2,,
10:28.0,G. Dragic misses 2-pt shot at rim,,0-2,,
10:28.0,Offensive rebound by Team,,0-2,,
10:28.0,,,0-2,,Loose ball foul by T. Hardaway (drawn by J. McRoberts)
10:20.0,Turnover by R. McGruder (bad pass; steal by T. Sefolosha),,0-2,,
10:15.0,,,0-2,,T. Sefolosha misses 2-pt shot from 3 ft
10:13.0,,,0-2,,Offensive rebound by T. Sefolosha
10:12.0,,,0-2,,T. Sefolosha misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by H. Whiteside,,0-2,,
10:02.0,G. Dragic makes 2-pt shot from 10 ft,2,2-2,,
9:55.0,,,2-4,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
9:29.0,R. McGruder misses 2-pt shot from 18 ft,,2-4,,
9:28.0,Offensive rebound by J. McRoberts,,2-4,,
9:25.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. McRoberts),3,5-4,,
9:03.0,,,5-6,2,D. Howard makes 2-pt shot from 6 ft (assist by P. Millsap)
8:46.0,R. McGruder misses 3-pt shot from 23 ft,,5-6,,
8:44.0,Offensive rebound by H. Whiteside,,5-6,,
8:42.0,H. Whiteside misses 2-pt shot from 5 ft,,5-6,,
8:40.0,,,5-6,,Defensive rebound by P. Millsap
8:30.0,,,5-8,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder)
8:13.0,G. Dragic makes 2-pt shot from 1 ft,2,7-8,,
7:48.0,,,7-10,2,P. Millsap makes 2-pt shot from 1 ft
7:34.0,Turnover by J. McRoberts (lost ball; steal by P. Millsap),,7-10,,
7:28.0,,,7-10,,Shooting foul by G. Dragic (drawn by P. Millsap)
7:28.0,,,7-11,1,P. Millsap makes free throw 1 of 2
7:28.0,,,7-12,1,P. Millsap makes free throw 2 of 2
7:28.0,,,7-11,,K. Korver enters the game for T. Hardaway
7:14.0,J. McRoberts makes 2-pt shot at rim,2,9-12,,
7:06.0,,,9-14,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
6:46.0,H. Whiteside misses 2-pt shot from 6 ft,,9-14,,
6:45.0,,,9-14,,Defensive rebound by P. Millsap
6:24.0,,,9-16,2,P. Millsap makes 2-pt shot from 8 ft (assist by D. Howard)
6:24.0,Miami full timeout,,9-16,,
6:24.0,,,9-16,,M. Muscala enters the game for P. Millsap
6:24.0,T. Johnson enters the game for W. Ellington,,9-16,,
6:10.0,Turnover by J. McRoberts (bad pass),,9-16,,
5:57.0,,,9-18,2,M. Muscala makes 2-pt shot from 15 ft (assist by T. Sefolosha)
5:42.0,T. Johnson misses 2-pt shot from 10 ft,,9-18,,
5:41.0,Offensive rebound by Team,,9-18,,
5:35.0,H. Whiteside makes 2-pt shot from 19 ft,2,11-18,,
5:26.0,,,11-18,,Shooting foul by T. Johnson (drawn by D. Howard)
5:26.0,,,11-19,1,D. Howard makes free throw 1 of 2
5:26.0,,,11-20,1,D. Howard makes free throw 2 of 2
