time,Toronto,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Valanciunas (K. Faried gains possession),,,,Jump ball: J. Nurkic vs. J. Valanciunas (K. Faried gains possession)
11:37.0,,,0-0,,J. Nurkic misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by K. Lowry,,0-0,,
11:04.0,J. Valanciunas misses 2-pt shot from 11 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by J. Nurkic
10:58.0,,,0-0,,D. Gallinari misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by D. DeRozan,,0-0,,
10:49.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,3-0,,
10:34.0,,,3-0,,D. Gallinari misses 2-pt shot from 2 ft
10:32.0,,,3-0,,Offensive rebound by K. Faried
10:32.0,,,3-0,,K. Faried misses 2-pt shot from 3 ft
10:30.0,Defensive rebound by K. Lowry,,3-0,,
10:09.0,J. Valanciunas misses 2-pt shot from 11 ft,,3-0,,
10:08.0,,,3-0,,Defensive rebound by D. Gallinari
9:49.0,,,3-2,2,J. Nurkic makes 2-pt shot from 3 ft (assist by E. Mudiay)
9:35.0,Turnover by D. DeRozan (bad pass; steal by D. Gallinari),,3-2,,
9:26.0,,,3-4,2,D. Gallinari makes 2-pt shot at rim
9:15.0,Shooting foul by J. Nelson (drawn by D. DeRozan),,3-4,,
9:15.0,D. DeRozan makes free throw 1 of 2,1,4-4,,
9:15.0,D. DeRozan makes free throw 2 of 2,1,5-4,,
8:59.0,,,5-6,2,E. Mudiay makes 2-pt shot from 23 ft (assist by K. Faried)
8:34.0,D. DeRozan misses 3-pt shot from 25 ft,,5-6,,
8:34.0,,,5-6,,Defensive rebound by E. Mudiay
8:27.0,,,5-6,,Turnover by E. Mudiay (bad pass; steal by D. DeRozan)
8:19.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,8-6,,
8:07.0,,,8-8,2,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Mudiay)
7:46.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,11-8,,
7:29.0,,,11-10,2,D. Gallinari makes 2-pt shot from 2 ft (assist by K. Faried)
7:18.0,D. Carroll misses 2-pt shot from 21 ft,,11-10,,
7:17.0,,,11-10,,Defensive rebound by K. Faried
6:59.0,,,11-12,2,J. Nurkic makes 2-pt shot from 3 ft (assist by J. Nelson)
6:52.0,Toronto full timeout,,11-12,,
6:43.0,D. DeRozan misses 2-pt shot from 18 ft,,11-12,,
6:41.0,,,11-12,,Defensive rebound by K. Faried
6:25.0,,,11-12,,Turnover by J. Nelson (bad pass; steal by D. Carroll)
6:19.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,13-12,,
