time,Washington,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (J. Wall gains possession)
11:39.0,J. Wall makes 2-pt shot from 15 ft (assist by O. Porter),2,2-0,,
11:20.0,,,2-0,,A. Bradley misses 2-pt shot from 20 ft
11:19.0,Defensive rebound by O. Porter,,2-0,,
10:58.0,M. Morris makes 2-pt shot from 8 ft,2,4-0,,
10:52.0,Shooting block foul by M. Gortat (drawn by I. Thomas),,4-0,,
10:52.0,,,4-1,1,I. Thomas makes free throw 1 of 2
10:52.0,,,4-2,1,I. Thomas makes free throw 2 of 2
10:33.0,J. Wall misses 2-pt shot from 19 ft,,4-2,,
10:32.0,,,4-2,,Defensive rebound by A. Horford
10:19.0,,,4-4,2,A. Horford makes 2-pt shot from 6 ft
9:58.0,B. Beal misses 2-pt shot from 9 ft,,4-4,,
9:57.0,,,4-4,,Defensive rebound by J. Crowder
9:45.0,,,4-4,,A. Bradley misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by M. Gortat,,4-4,,
9:30.0,M. Morris misses 3-pt shot from 24 ft,,4-4,,
9:28.0,,,4-4,,Defensive rebound by A. Johnson
9:22.0,,,4-4,,Turnover by I. Thomas (lost ball)
8:58.0,Turnover by B. Beal (bad pass),,4-4,,
8:42.0,,,4-4,,Shooting foul by O. Porter (drawn by J. Crowder)
8:42.0,,,4-5,1,J. Crowder makes free throw 1 of 2
8:42.0,,,4-6,1,J. Crowder makes free throw 2 of 2
8:23.0,B. Beal misses 3-pt shot from 25 ft,,4-6,,
8:22.0,,,4-6,,Defensive rebound by J. Crowder
8:10.0,,,4-8,2,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas)
7:59.0,,,4-8,,Personal foul by A. Johnson (drawn by M. Gortat)
7:57.0,O. Porter misses 3-pt shot from 25 ft,,4-8,,
7:56.0,,,4-8,,Defensive rebound by A. Bradley
7:46.0,,,4-11,3,A. Horford makes 3-pt shot from 25 ft (assist by A. Bradley)
7:31.0,M. Morris misses 2-pt shot from 9 ft,,4-11,,
7:30.0,,,4-11,,Defensive rebound by A. Bradley
7:25.0,,,4-13,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Bradley)
7:25.0,Washington full timeout,,4-13,,
7:14.0,J. Wall misses 2-pt shot from 2 ft (block by A. Horford),,4-13,,
7:13.0,,,4-13,,Defensive rebound by A. Johnson
7:07.0,,,4-16,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
6:52.0,B. Beal misses 2-pt shot from 2 ft,,4-16,,
6:51.0,,,4-16,,Defensive rebound by A. Bradley
6:50.0,,,4-16,,Turnover by A. Bradley (lost ball; steal by B. Beal)
6:48.0,O. Porter makes 2-pt shot from 2 ft,2,6-16,,
6:28.0,,,6-16,,Turnover by A. Bradley (lost ball)
6:15.0,O. Porter makes 2-pt shot from 12 ft (assist by J. Wall),2,8-16,,
6:00.0,,,8-16,,J. Crowder misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by M. Morris,,8-16,,
5:46.0,M. Morris misses 3-pt shot from 25 ft,,8-16,,
5:44.0,Offensive rebound by M. Gortat,,8-16,,
5:42.0,M. Gortat misses 2-pt shot from 5 ft,,8-16,,
5:41.0,,,8-16,,Defensive rebound by J. Crowder
5:27.0,,,8-16,,Turnover by A. Horford (traveling)
5:14.0,J. Wall misses 2-pt shot from 3 ft,,8-16,,
5:13.0,,,8-16,,Defensive rebound by A. Horford
5:09.0,,,8-18,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Horford)
4:55.0,B. Beal misses 3-pt shot from 25 ft,,8-18,,
4:54.0,Offensive rebound by M. Gortat,,8-18,,
4:52.0,M. Gortat misses 2-pt shot from 1 ft,,8-18,,
4:52.0,,,8-18,,Defensive rebound by J. Crowder
4:47.0,,,8-20,2,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas)
4:47.0,Washington full timeout,,8-20,,
4:47.0,,,8-20,,J. Brown enters the game for A. Johnson
4:47.0,B. Bogdanovic enters the game for M. Morris,,8-20,,
4:33.0,B. Beal misses 2-pt shot from 2 ft,,8-20,,
4:32.0,Offensive rebound by M. Gortat,,8-20,,
4:31.0,M. Gortat makes 2-pt shot from 2 ft,2,10-20,,
4:13.0,,,10-20,,J. Crowder misses 2-pt shot from 14 ft
4:12.0,,,10-20,,Offensive rebound by Team
4:03.0,,,10-22,2,A. Bradley makes 2-pt shot from 21 ft (assist by A. Horford)
3:51.0,Shooting foul by J. Crowder (drawn by B. Bogdanovic),,10-22,,
3:51.0,B. Bogdanovic makes free throw 1 of 2,1,11-22,,
3:51.0,B. Bogdanovic makes free throw 2 of 2,1,12-22,,
3:51.0,,,11-22,,M. Smart enters the game for J. Crowder
3:35.0,,,12-22,,M. Smart misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by B. Bogdanovic,,12-22,,
3:19.0,J. Wall misses 2-pt shot from 3 ft,,12-22,,
3:18.0,,,12-22,,Defensive rebound by M. Smart
3:13.0,,,12-24,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
3:02.0,B. Beal misses 2-pt shot from 2 ft,,12-24,,
3:01.0,Offensive rebound by B. Beal,,12-24,,
3:00.0,B. Beal makes 2-pt shot from 2 ft,2,14-24,,
3:00.0,Violation by Team (jump ball),,14-24,,
2:44.0,,,14-24,,I. Thomas misses 2-pt shot from 2 ft
2:42.0,Defensive rebound by M. Gortat,,14-24,,
2:28.0,,,14-24,,Personal foul by M. Smart (drawn by M. Gortat)
2:28.0,,,14-24,,Boston full timeout
2:28.0,B. Jennings enters the game for J. Wall,,14-24,,
2:21.0,B. Beal makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,16-24,,
2:00.0,,,16-27,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
1:42.0,B. Bogdanovic misses 2-pt shot from 17 ft (block by J. Brown),,16-27,,
1:41.0,Offensive rebound by Team,,16-27,,
1:41.0,I. Mahinmi enters the game for M. Gortat,,16-27,,
1:41.0,,,16-27,,T. Rozier enters the game for I. Thomas
1:41.0,,,16-27,,K. Olynyk enters the game for A. Horford
1:35.0,Turnover by Team (shot clock),,16-27,,
1:17.0,,,16-29,2,T. Rozier makes 2-pt shot from 13 ft
1:04.0,Turnover by B. Bogdanovic (bad pass; steal by T. Rozier),,16-29,,
1:01.0,,,16-31,2,A. Bradley makes 2-pt shot from 1 ft (assist by J. Brown)
0:49.0,B. Beal makes 2-pt shot from 14 ft,2,18-31,,
0:34.0,,,18-33,2,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart)
0:15.0,B. Jennings makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,21-33,,
0:03.0,,,21-33,,K. Olynyk misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by B. Bogdanovic,,21-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,21-35,2,K. Olynyk makes 2-pt shot from 17 ft (assist by M. Smart)
