time,Miami,pts.away,score,pts.home,Philadelphia
2:12.0,Offensive rebound by D. Williams,,23-21,,
2:12.0,D. Williams makes 2-pt shot from 2 ft,2,25-21,,
1:48.0,,,25-23,2,J. Embiid makes 2-pt shot from 6 ft
1:31.0,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder),2,27-23,,
1:14.0,,,27-23,,J. Bayless misses 2-pt shot from 3 ft (block by H. Whiteside)
1:12.0,Defensive rebound by T. Johnson,,27-23,,
1:06.0,R. McGruder makes 3-pt shot from 24 ft (assist by G. Dragic),3,30-23,,
0:47.0,Personal foul by H. Whiteside (drawn by J. Embiid),,30-23,,
0:47.0,Def 3 sec tech foul by J. Johnson,,30-23,,
0:47.0,,,30-24,1,N. Stauskas makes technical free throw
0:47.0,J. Richardson enters the game for D. Williams,,30-23,,
0:47.0,J. McRoberts enters the game for H. Whiteside,,30-23,,
0:47.0,J. Johnson enters the game for G. Dragic,,30-23,,
0:28.0,,,30-24,,N. Stauskas misses 2-pt shot from 20 ft
0:26.0,Defensive rebound by T. Johnson,,30-24,,
0:06.0,Turnover by T. Johnson (bad pass; steal by H. Thompson),,30-24,,
0:01.0,,,30-24,,D. Saric misses 3-pt shot from 26 ft
0:00.0,,,30-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,30-24,,J. Bayless misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by J. Richardson,,30-24,,
11:40.0,,,30-24,,Clear path foul by H. Thompson
11:40.0,J. Richardson makes clear path free throw 1 of 2,1,31-24,,
11:40.0,J. Richardson misses clear path free throw 2 of 2,,31-24,,
11:40.0,Offensive rebound by Team,,31-24,,
11:40.0,,,31-24,,G. Henderson enters the game for H. Thompson
11:40.0,,,31-24,,S. Rodriguez enters the game for J. Bayless
11:32.0,,,31-24,,Personal foul by G. Henderson (drawn by R. McGruder)
