time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. M. Turner (K. Porzingis gains possession),,,,Jump ball: J. Noah vs. M. Turner (K. Porzingis gains possession)
11:43.0,Shooting foul by M. Turner (drawn by J. Noah),,0-0,,
11:43.0,J. Noah misses free throw 1 of 2,,0-0,,
11:43.0,Offensive rebound by Team,,0-0,,
11:43.0,J. Noah misses free throw 2 of 2,,0-0,,
11:42.0,,,0-0,,Defensive rebound by G. Robinson
11:28.0,,,0-2,2,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague)
11:09.0,D. Rose makes 2-pt shot from 16 ft,2,2-2,,
10:56.0,,,2-2,,G. Robinson misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by D. Rose,,2-2,,
10:35.0,D. Rose makes 2-pt shot from 3 ft (assist by J. Noah),2,4-2,,
10:27.0,,,4-2,,Shooting foul by C. Lee (drawn by J. Teague)
10:27.0,,,4-3,1,J. Teague makes free throw 1 of 2
10:27.0,,,4-4,1,J. Teague makes free throw 2 of 2
10:12.0,Turnover by K. Porzingis (bad pass; steal by T. Young),,4-4,,
10:07.0,,,4-4,,J. Teague misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by J. Noah,,4-4,,
9:54.0,Turnover by K. Porzingis (bad pass; steal by P. George),,4-4,,
9:48.0,,,4-6,2,T. Young makes 2-pt shot from 4 ft (assist by P. George)
9:34.0,C. Anthony misses 2-pt shot from 8 ft,,4-6,,
9:34.0,,,4-6,,Defensive rebound by J. Teague
9:27.0,,,4-6,,M. Turner misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by C. Lee,,4-6,,
9:15.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee),3,7-6,,
9:03.0,,,7-6,,P. George misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by K. Porzingis,,7-6,,
8:51.0,J. Noah makes 2-pt shot from 3 ft (assist by K. Porzingis),2,9-6,,
8:37.0,,,9-9,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
8:25.0,Offensive foul by J. Noah,,9-9,,
8:25.0,Turnover by J. Noah (offensive foul),,9-9,,
8:11.0,,,9-11,2,P. George makes 2-pt shot from 16 ft (assist by J. Teague)
7:57.0,C. Lee misses 2-pt shot from 15 ft,,9-11,,
7:56.0,,,9-11,,Defensive rebound by J. Teague
7:45.0,,,9-14,3,G. Robinson makes 3-pt shot from 24 ft (assist by J. Teague)
