time,Sacramento,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. Poeltl (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. J. Poeltl (D. Cousins gains possession)
11:44.0,T. Lawson misses 2-pt shot from 15 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by P. Siakam
11:24.0,,,0-0,,D. DeRozan misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by A. Afflalo,,0-0,,
11:03.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,3-0,,
10:43.0,,,3-0,,P. Siakam misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by K. Koufos,,3-0,,
10:34.0,K. Koufos misses 2-pt shot from 9 ft,,3-0,,
10:33.0,,,3-0,,Defensive rebound by D. Carroll
10:18.0,,,3-0,,D. Carroll misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by D. Cousins,,3-0,,
10:08.0,R. Gay misses 2-pt shot from 20 ft,,3-0,,
10:07.0,,,3-0,,Defensive rebound by D. Carroll
10:03.0,,,3-2,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
10:03.0,,,3-2,,Shooting foul by D. Cousins (drawn by P. Siakam)
10:03.0,,,3-3,1,P. Siakam makes free throw 1 of 1
9:56.0,,,3-3,,Personal foul by D. Carroll (drawn by R. Gay)
9:43.0,D. Cousins misses 2-pt shot from 7 ft,,3-3,,
9:41.0,Offensive rebound by D. Cousins,,3-3,,
9:31.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,5-3,,
9:17.0,,,5-3,,D. Carroll misses 3-pt shot from 24 ft
9:16.0,,,5-3,,Offensive rebound by J. Poeltl
9:09.0,,,5-5,2,D. DeRozan makes 2-pt shot from 16 ft
8:42.0,T. Lawson misses 2-pt shot from 21 ft,,5-5,,
8:41.0,,,5-5,,Defensive rebound by D. Carroll
8:34.0,,,5-5,,D. Carroll misses 3-pt shot from 25 ft
8:32.0,,,5-5,,Offensive rebound by Team
8:19.0,,,5-7,2,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry)
8:06.0,,,5-7,,Personal foul by J. Poeltl (drawn by D. Cousins)
7:58.0,Offensive foul by R. Gay,,5-7,,
7:58.0,Turnover by R. Gay (offensive foul),,5-7,,
7:45.0,,,5-7,,D. DeRozan misses 2-pt shot from 20 ft
7:45.0,,,5-7,,Offensive rebound by D. Carroll
7:40.0,,,5-7,,K. Lowry misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by K. Koufos,,5-7,,
7:39.0,,,5-7,,Personal foul by J. Poeltl (drawn by K. Koufos)
7:39.0,,,5-7,,L. Nogueira enters the game for J. Poeltl
7:27.0,D. Cousins misses 2-pt shot from 19 ft,,5-7,,
7:26.0,,,5-7,,Defensive rebound by D. Carroll
7:11.0,,,5-7,,D. DeRozan misses 2-pt shot from 3 ft (block by D. Cousins)
7:09.0,Defensive rebound by D. Cousins,,5-7,,
7:04.0,A. Afflalo misses 2-pt shot from 3 ft,,5-7,,
7:04.0,,,5-7,,Defensive rebound by L. Nogueira
6:56.0,Violation by D. Cousins (kicked ball),,5-7,,
6:50.0,,,5-9,2,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry)
6:30.0,R. Gay misses 2-pt shot from 15 ft,,5-9,,
6:28.0,Offensive rebound by R. Gay,,5-9,,
6:25.0,R. Gay makes 2-pt shot from 17 ft,2,7-9,,
6:04.0,,,7-11,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
5:43.0,Shooting foul by P. Siakam (drawn by D. Cousins),,7-11,,
5:43.0,,,7-11,,Toronto full timeout
5:43.0,D. Cousins makes free throw 1 of 2,1,8-11,,
5:43.0,D. Cousins makes free throw 2 of 2,1,9-11,,
5:43.0,M. Barnes enters the game for K. Koufos,,7-11,,
5:21.0,,,9-11,,Shooting foul by T. Lawson (drawn by D. DeRozan)
