time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Okafor (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Okafor (J. Wall gains possession)
11:47.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft (block by J. Okafor)
11:45.0,Defensive rebound by N. Stauskas,,0-0,,
11:38.0,E. Ilyasova misses 2-pt shot at rim,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Gortat
11:27.0,,,0-0,,B. Beal misses 2-pt shot from 16 ft
11:26.0,,,0-0,,Offensive rebound by O. Porter
11:24.0,,,0-2,2,O. Porter makes 2-pt shot from 11 ft
11:02.0,T. McConnell misses 2-pt shot from 6 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by M. Gortat
10:50.0,Personal foul by E. Ilyasova (drawn by O. Porter),,0-2,,
10:45.0,,,0-4,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
10:29.0,N. Stauskas makes 2-pt shot from 2 ft,2,2-4,,
10:28.0,,,2-4,,Turnover by J. Wall (traveling)
10:19.0,N. Stauskas misses 3-pt shot from 29 ft,,2-4,,
10:19.0,,,2-4,,Defensive rebound by O. Porter
10:12.0,,,2-6,2,O. Porter makes 2-pt shot from 1 ft
10:01.0,J. Okafor makes 2-pt shot from 2 ft,2,4-6,,
10:01.0,Shooting foul by M. Gortat (drawn by J. Okafor),,4-6,,
10:01.0,J. Okafor makes free throw 1 of 1,1,5-6,,
9:51.0,,,5-6,,O. Porter misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by J. Okafor,,5-6,,
9:42.0,Offensive foul by J. Okafor,,5-6,,
9:42.0,Turnover by J. Okafor (offensive foul),,5-6,,
9:31.0,,,5-6,,B. Beal misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by R. Covington,,5-6,,
9:14.0,R. Covington misses 3-pt shot from 24 ft,,5-6,,
9:13.0,,,5-6,,Defensive rebound by J. Wall
9:06.0,Violation by R. Covington (def goaltending),,5-6,,
9:06.0,,,5-9,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
8:55.0,E. Ilyasova makes 3-pt shot from 28 ft (assist by T. McConnell),3,8-9,,
8:40.0,,,8-9,,O. Porter misses 2-pt shot from 19 ft
8:39.0,Defensive rebound by T. McConnell,,8-9,,
8:31.0,R. Covington misses 2-pt shot from 2 ft,,8-9,,
8:31.0,Offensive rebound by J. Okafor,,8-9,,
8:31.0,Shooting foul by M. Gortat (drawn by J. Okafor),,8-9,,
8:31.0,J. Okafor makes free throw 1 of 2,1,9-9,,
8:31.0,J. Okafor misses free throw 2 of 2,,9-9,,
8:31.0,,,9-9,,J. Smith enters the game for M. Gortat
8:30.0,Offensive rebound by E. Ilyasova,,9-9,,
8:28.0,E. Ilyasova makes 2-pt shot at rim,2,11-9,,
8:18.0,,,11-9,,J. Wall misses 2-pt shot from 16 ft
8:17.0,Defensive rebound by E. Ilyasova,,11-9,,
8:08.0,J. Okafor makes 2-pt shot from 2 ft,2,13-9,,
8:04.0,,,13-9,,Washington full timeout
7:52.0,,,13-9,,Turnover by J. Smith (lost ball; steal by J. Okafor)
7:29.0,J. Okafor makes 2-pt shot from 10 ft (assist by T. McConnell),2,15-9,,
7:17.0,,,15-11,2,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall)
7:04.0,Shooting foul by J. Smith (drawn by J. Okafor),,15-11,,
7:04.0,J. Okafor misses free throw 1 of 2,,15-11,,
7:04.0,Offensive rebound by Team,,15-11,,
7:04.0,J. Okafor makes free throw 2 of 2,1,16-11,,
6:45.0,,,16-11,,B. Beal misses 2-pt shot from 14 ft
6:44.0,Defensive rebound by T. McConnell,,16-11,,
6:37.0,T. McConnell misses 2-pt shot at rim,,16-11,,
6:35.0,Offensive rebound by E. Ilyasova,,16-11,,
6:34.0,E. Ilyasova makes 2-pt shot at rim,2,18-11,,
6:18.0,,,18-11,,J. Wall misses 2-pt shot from 15 ft
6:17.0,Defensive rebound by J. Okafor,,18-11,,
6:10.0,E. Ilyasova makes 3-pt shot from 28 ft (assist by T. McConnell),3,21-11,,
5:57.0,,,21-11,,Offensive foul by M. Morris
5:57.0,,,21-11,,Turnover by M. Morris (offensive foul)
5:57.0,,,21-11,,K. Oubre enters the game for M. Morris
5:41.0,J. Okafor misses 2-pt shot from 6 ft,,21-11,,
5:40.0,Offensive rebound by E. Ilyasova,,21-11,,
5:40.0,Shooting foul by B. Beal (drawn by E. Ilyasova),,21-11,,
5:40.0,E. Ilyasova makes free throw 1 of 2,1,22-11,,
5:40.0,E. Ilyasova misses free throw 2 of 2,,22-11,,
5:40.0,,,22-11,,Defensive rebound by O. Porter
5:40.0,G. Henderson enters the game for N. Stauskas,,22-11,,
5:40.0,N. Noel enters the game for J. Okafor,,22-11,,
5:28.0,,,22-11,,J. Wall misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by N. Noel,,22-11,,
5:22.0,Shooting foul by J. Smith (drawn by R. Covington),,22-11,,
5:22.0,R. Covington makes free throw 1 of 2,1,23-11,,
5:22.0,R. Covington makes free throw 2 of 2,1,24-11,,
5:22.0,S. Rodriguez enters the game for T. McConnell,,23-11,,
5:22.0,,,23-11,,A. Nicholson enters the game for J. Smith
5:09.0,,,24-11,,A. Nicholson misses 2-pt shot from 9 ft
5:08.0,Defensive rebound by R. Covington,,24-11,,
4:52.0,Turnover by N. Noel (bad pass; steal by K. Oubre),,24-11,,
4:47.0,,,24-13,2,B. Beal makes 2-pt shot from 2 ft
4:31.0,R. Covington misses 3-pt shot from 28 ft,,24-13,,
4:30.0,,,24-13,,Defensive rebound by Team
4:29.0,D. Saric enters the game for E. Ilyasova,,24-13,,
4:20.0,,,24-15,2,J. Wall makes 2-pt shot from 2 ft
4:20.0,,,24-15,,Shooting foul by S. Rodriguez (drawn by J. Wall)
4:20.0,,,24-16,1,J. Wall makes free throw 1 of 1
4:03.0,R. Covington makes 3-pt shot from 27 ft (assist by G. Henderson),3,27-16,,
3:52.0,,,27-16,,O. Porter misses 2-pt shot from 17 ft
3:52.0,Defensive rebound by N. Noel,,27-16,,
3:41.0,S. Rodriguez misses 2-pt shot from 20 ft,,27-16,,
3:39.0,,,27-16,,Defensive rebound by B. Beal
3:31.0,Def 3 sec tech foul by G. Henderson,,27-16,,
3:31.0,,,27-17,1,B. Beal makes technical free throw
3:24.0,,,27-17,,Turnover by B. Beal (bad pass; steal by S. Rodriguez)
3:20.0,Turnover by R. Covington (lost ball; steal by O. Porter),,27-17,,
3:14.0,,,27-17,,B. Beal misses 2-pt shot from 3 ft
3:14.0,,,27-17,,Offensive rebound by O. Porter
3:14.0,Personal foul by G. Henderson (drawn by O. Porter),,27-17,,
3:14.0,,,27-17,,O. Porter misses free throw 1 of 2
3:14.0,,,27-17,,Offensive rebound by Team
3:14.0,,,27-17,,O. Porter misses free throw 2 of 2
3:14.0,,,27-17,,T. Satoransky enters the game for B. Beal
3:12.0,Defensive rebound by N. Noel,,27-17,,
2:50.0,N. Noel misses 2-pt shot from 18 ft,,27-17,,
2:49.0,,,27-17,,Defensive rebound by T. Satoransky
2:39.0,,,27-17,,J. Wall misses 2-pt shot from 7 ft
2:38.0,,,27-17,,Offensive rebound by O. Porter
2:37.0,,,27-17,,Shooting foul by N. Noel (drawn by O. Porter)
2:37.0,Philadelphia full timeout,,27-17,,
2:37.0,,,27-18,1,O. Porter makes free throw 1 of 2
2:37.0,,,27-19,1,O. Porter makes free throw 2 of 2
2:37.0,T. Luwawu-Cabarrot enters the game for R. Covington,,27-17,,
2:26.0,Shooting foul by J. Wall (drawn by G. Henderson),,27-19,,
2:26.0,G. Henderson makes free throw 1 of 2,1,28-19,,
