time,New York,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. J. Noah (B. Jennings gains possession),,,,Jump ball: J. McGee vs. J. Noah (B. Jennings gains possession)
11:44.0,L. Thomas makes 2-pt shot from 20 ft (assist by J. Noah),2,2-0,,
11:27.0,,,2-0,,D. Green misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by B. Jennings,,2-0,,
11:08.0,C. Lee misses 2-pt shot from 11 ft,,2-0,,
11:07.0,Offensive rebound by J. Noah,,2-0,,
11:07.0,J. Noah misses 2-pt shot from 1 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by K. Durant
10:57.0,,,2-0,,K. Thompson misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by B. Jennings,,2-0,,
10:43.0,B. Jennings misses 2-pt shot from 21 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by K. Durant
10:37.0,,,2-0,,K. Durant misses 2-pt shot at rim
10:37.0,Defensive rebound by J. Noah,,2-0,,
10:28.0,K. Porzingis misses 2-pt shot from 18 ft,,2-0,,
10:28.0,Offensive rebound by J. Noah,,2-0,,
10:23.0,L. Thomas misses 3-pt shot from 28 ft,,2-0,,
10:23.0,Offensive rebound by J. Noah,,2-0,,
10:22.0,J. Noah misses 2-pt shot from 2 ft,,2-0,,
10:20.0,,,2-0,,Defensive rebound by D. Green
10:13.0,,,2-0,,S. Curry misses 3-pt shot from 28 ft
10:12.0,,,2-0,,Offensive rebound by J. McGee
10:07.0,,,2-0,,J. McGee misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by J. Noah,,2-0,,
9:58.0,K. Porzingis misses 3-pt shot from 25 ft,,2-0,,
9:57.0,,,2-0,,Defensive rebound by D. Green
9:51.0,,,2-2,2,K. Durant makes 2-pt shot from 8 ft (assist by D. Green)
9:35.0,J. Noah makes 2-pt shot at rim (assist by C. Lee),2,4-2,,
9:19.0,,,4-2,,Turnover by K. Thompson (traveling)
9:07.0,,,4-2,,Personal foul by D. Green (drawn by K. Porzingis)
9:00.0,J. Noah misses 2-pt shot from 3 ft,,4-2,,
9:00.0,,,4-2,,Defensive rebound by S. Curry
8:54.0,,,4-5,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:41.0,K. Porzingis makes 2-pt shot from 14 ft (assist by B. Jennings),2,6-5,,
8:25.0,,,6-8,3,D. Green makes 3-pt shot from 26 ft (assist by K. Durant)
8:09.0,J. Noah misses 2-pt shot from 10 ft,,6-8,,
8:09.0,,,6-8,,Defensive rebound by K. Durant
7:59.0,,,6-8,,D. Green misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by L. Thomas,,6-8,,
7:51.0,B. Jennings misses 2-pt shot from 2 ft,,6-8,,
7:51.0,,,6-8,,Defensive rebound by S. Curry
7:47.0,,,6-8,,J. McGee misses 2-pt shot at rim (block by J. Noah)
7:46.0,,,6-8,,Offensive rebound by D. Green
7:43.0,,,6-8,,K. Thompson misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by K. Porzingis,,6-8,,
7:27.0,L. Thomas misses 2-pt shot from 17 ft,,6-8,,
7:26.0,,,6-8,,Defensive rebound by K. Durant
7:20.0,,,6-10,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
6:50.0,Turnover by Team (shot clock),,6-10,,
6:50.0,K. O'Quinn enters the game for J. Noah,,6-10,,
6:41.0,,,6-12,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
6:41.0,,,6-12,,Shooting foul by K. O'Quinn (drawn by J. McGee)
6:41.0,,,6-12,,J. McGee misses free throw 1 of 1
6:39.0,,,6-12,,Offensive rebound by K. Thompson
6:32.0,,,6-12,,Turnover by D. Green (bad pass; steal by K. O'Quinn)
6:24.0,B. Jennings makes 2-pt shot from 6 ft,2,8-12,,
6:16.0,,,8-12,,Golden State full timeout
6:16.0,,,8-12,,A. Iguodala enters the game for K. Durant
6:09.0,,,8-12,,S. Curry misses 3-pt shot from 27 ft
6:08.0,Defensive rebound by B. Jennings,,8-12,,
6:04.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by B. Jennings),2,10-12,,
6:04.0,Shooting foul by A. Iguodala (drawn by K. O'Quinn),,10-12,,
6:04.0,K. O'Quinn misses free throw 1 of 1,,10-12,,
6:03.0,,,10-12,,Defensive rebound by D. Green
5:43.0,,,10-14,2,J. McGee makes 2-pt shot at rim (assist by K. Thompson)
5:26.0,L. Thomas misses 3-pt shot from 25 ft,,10-14,,
5:25.0,,,10-14,,Defensive rebound by S. Curry
5:12.0,,,10-14,,D. Green misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by K. O'Quinn,,10-14,,
5:08.0,B. Jennings makes 2-pt shot from 1 ft,2,12-14,,
4:53.0,,,12-16,2,J. McGee makes 2-pt shot at rim (assist by K. Thompson)
4:45.0,Turnover by K. O'Quinn (traveling),,12-16,,
4:45.0,M. Kuzminskas enters the game for L. Thomas,,12-16,,
4:45.0,,,12-16,,K. Looney enters the game for J. McGee
4:36.0,,,12-18,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
4:18.0,K. Porzingis misses 2-pt shot from 12 ft,,12-18,,
4:17.0,,,12-18,,Defensive rebound by Team
4:13.0,,,12-20,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
4:13.0,New York full timeout,,12-20,,
4:13.0,,,12-20,,I. Clark enters the game for S. Curry
3:59.0,,,12-20,,Personal foul by A. Iguodala (drawn by M. Kuzminskas)
3:43.0,C. Lee misses 2-pt shot from 11 ft,,12-20,,
3:43.0,,,12-20,,Defensive rebound by K. Thompson
3:28.0,,,12-20,,K. Thompson misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by K. O'Quinn,,12-20,,
3:15.0,C. Lee misses 2-pt shot from 6 ft,,12-20,,
3:14.0,Offensive rebound by K. O'Quinn,,12-20,,
3:12.0,K. O'Quinn makes 2-pt shot from 1 ft,2,14-20,,
2:56.0,,,14-22,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
2:47.0,Turnover by K. Porzingis (bad pass; steal by A. Iguodala),,14-22,,
2:38.0,,,14-24,2,I. Clark makes 2-pt shot from 18 ft (assist by D. Green)
2:32.0,Shooting foul by I. Clark (drawn by B. Jennings),,14-24,,
2:32.0,B. Jennings makes free throw 1 of 2,1,15-24,,
2:32.0,B. Jennings makes free throw 2 of 2,1,16-24,,
2:32.0,W. Hernangomez enters the game for K. Porzingis,,15-24,,
2:32.0,,,15-24,,K. Durant enters the game for D. Green
2:15.0,,,16-26,2,K. Looney makes 2-pt shot from 2 ft (assist by K. Thompson)
2:03.0,K. O'Quinn misses 2-pt shot from 19 ft,,16-26,,
2:03.0,Offensive rebound by B. Jennings,,16-26,,
1:54.0,B. Jennings makes 2-pt shot from 1 ft,2,18-26,,
1:45.0,Personal foul by C. Lee (drawn by K. Thompson),,18-26,,
1:45.0,R. Baker enters the game for B. Jennings,,18-26,,
1:39.0,Personal foul by R. Baker (drawn by A. Iguodala),,18-26,,
1:39.0,,,18-26,,A. Iguodala misses free throw 1 of 2
1:39.0,,,18-26,,Offensive rebound by Team
1:39.0,,,18-27,1,A. Iguodala makes free throw 2 of 2
1:15.0,W. Hernangomez misses 2-pt shot from 1 ft (block by K. Looney),,18-27,,
1:14.0,,,18-27,,Defensive rebound by A. Iguodala
1:08.0,,,18-27,,I. Clark misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by C. Lee,,18-27,,
0:58.0,W. Hernangomez makes 2-pt shot from 4 ft,2,20-27,,
0:49.0,,,20-30,3,K. Durant makes 3-pt shot from 28 ft (assist by I. Clark)
0:38.0,M. Kuzminskas makes 3-pt shot from 27 ft (assist by W. Hernangomez),3,23-30,,
0:21.0,,,23-30,,Turnover by K. Durant (bad pass; steal by M. Kuzminskas)
0:17.0,Turnover by R. Baker (lost ball; steal by I. Clark),,23-30,,
0:14.0,,,23-32,2,K. Thompson makes 2-pt shot at rim (assist by I. Clark)
0:02.0,R. Baker makes 2-pt shot from 2 ft,2,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,25-32,,S. Curry misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by K. O'Quinn,,25-32,,
11:18.0,Turnover by R. Baker (bad pass; steal by D. West),,25-32,,
11:15.0,,,25-32,,Turnover by D. West (bad pass; steal by J. Holiday)
11:09.0,M. Kuzminskas misses 3-pt shot from 26 ft,,25-32,,
11:08.0,,,25-32,,Defensive rebound by K. Durant
