time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Turner (R. Jackson gains possession)
11:45.0,M. Morris misses 2-pt shot from 8 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by T. Young
11:22.0,,,0-3,3,C. Miles makes 3-pt shot from 24 ft (assist by M. Turner)
11:17.0,Turnover by R. Jackson (lost ball),,0-3,,
11:08.0,,,0-6,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
10:49.0,R. Jackson misses 2-pt shot from 11 ft (block by M. Turner),,0-6,,
10:48.0,,,0-6,,Defensive rebound by T. Young
10:34.0,,,0-8,2,T. Young makes 2-pt shot from 2 ft
10:27.0,Detroit full timeout,,0-8,,
10:15.0,M. Morris misses 3-pt shot from 26 ft,,0-8,,
10:14.0,Offensive rebound by A. Drummond,,0-8,,
10:12.0,A. Drummond makes 2-pt shot from 2 ft,2,2-8,,
9:57.0,,,2-8,,M. Turner misses 2-pt shot from 22 ft
9:56.0,Defensive rebound by M. Morris,,2-8,,
9:46.0,A. Drummond misses 2-pt shot from 15 ft,,2-8,,
9:45.0,,,2-8,,Defensive rebound by T. Young
9:33.0,,,2-8,,C. Miles misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Leuer,,2-8,,
9:19.0,A. Drummond misses 2-pt shot from 8 ft,,2-8,,
9:18.0,,,2-8,,Defensive rebound by M. Turner
9:11.0,,,2-10,2,T. Young makes 2-pt shot from 5 ft
9:01.0,Shooting foul by C. Miles (drawn by M. Morris),,2-10,,
9:01.0,M. Morris makes free throw 1 of 3,1,3-10,,
9:01.0,M. Morris misses free throw 2 of 3,,3-10,,
9:01.0,Offensive rebound by Team,,3-10,,
9:01.0,M. Morris misses free throw 3 of 3,,3-10,,
9:01.0,,,3-10,,Defensive rebound by P. George
8:37.0,,,3-10,,J. Teague misses 2-pt shot from 8 ft
8:37.0,Defensive rebound by A. Drummond,,3-10,,
8:25.0,M. Morris misses 3-pt shot from 28 ft,,3-10,,
8:24.0,Offensive rebound by A. Drummond,,3-10,,
8:22.0,A. Drummond misses 2-pt shot from 7 ft,,3-10,,
8:21.0,,,3-10,,Defensive rebound by P. George
8:06.0,,,3-12,2,P. George makes 2-pt shot from 10 ft
7:47.0,J. Leuer misses 2-pt shot from 17 ft,,3-12,,
7:47.0,Offensive rebound by Team,,3-12,,
7:36.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,3-12,,
7:35.0,,,3-12,,Defensive rebound by J. Teague
7:26.0,,,3-15,3,P. George makes 3-pt shot from 25 ft (assist by C. Miles)
7:13.0,Shooting foul by J. Teague (drawn by R. Jackson),,3-15,,
7:13.0,R. Jackson makes free throw 1 of 2,1,4-15,,
7:13.0,R. Jackson makes free throw 2 of 2,1,5-15,,
7:13.0,T. Harris enters the game for J. Leuer,,4-15,,
7:13.0,S. Johnson enters the game for M. Morris,,4-15,,
7:09.0,Personal block foul by R. Jackson (drawn by J. Teague),,5-15,,
7:09.0,I. Smith enters the game for R. Jackson,,5-15,,
6:56.0,,,5-15,,C. Miles misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by I. Smith,,5-15,,
