time,Atlanta,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. D. Howard (E. Bledsoe gains possession)
11:42.0,,,0-2,2,P. Tucker makes 2-pt shot from 16 ft
11:20.0,D. Schroder makes 2-pt shot from 17 ft,2,2-2,,
11:00.0,,,2-4,2,P. Tucker makes 2-pt shot from 13 ft
10:43.0,Turnover by M. Muscala (bad pass; steal by M. Chriss),,2-4,,
10:39.0,,,2-6,2,D. Booker makes 2-pt shot from 2 ft
10:28.0,M. Muscala misses 2-pt shot from 15 ft,,2-6,,
10:24.0,,,2-6,,Defensive rebound by E. Bledsoe
10:12.0,,,2-9,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
9:56.0,D. Howard misses 2-pt shot from 4 ft (block by T. Chandler),,2-9,,
9:56.0,Offensive rebound by Team,,2-9,,
9:54.0,D. Schroder makes 2-pt shot from 16 ft (assist by K. Korver),2,4-9,,
9:39.0,,,4-9,,D. Booker misses 2-pt shot from 14 ft
9:37.0,Defensive rebound by D. Howard,,4-9,,
9:23.0,D. Howard makes 2-pt shot from 12 ft (assist by D. Schroder),2,6-9,,
9:02.0,,,6-11,2,M. Chriss makes 2-pt shot from 5 ft
8:54.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,9-11,,
8:42.0,,,9-11,,E. Bledsoe misses 2-pt shot from 5 ft
8:39.0,Defensive rebound by D. Howard,,9-11,,
8:36.0,Turnover by D. Howard (bad pass; steal by T. Chandler),,9-11,,
8:33.0,Shooting block foul by D. Schroder (drawn by D. Booker),,9-11,,
8:33.0,,,9-11,,D. Booker misses free throw 1 of 2
8:33.0,,,9-11,,Offensive rebound by Team
8:33.0,,,9-11,,D. Booker misses free throw 2 of 2
8:31.0,Defensive rebound by M. Muscala,,9-11,,
8:21.0,,,9-11,,Personal foul by E. Bledsoe (drawn by D. Schroder)
8:16.0,K. Bazemore misses 2-pt shot from 16 ft,,9-11,,
8:14.0,Offensive rebound by K. Bazemore,,9-11,,
8:11.0,M. Muscala misses 2-pt shot from 16 ft,,9-11,,
8:09.0,Offensive rebound by D. Howard,,9-11,,
8:09.0,D. Howard makes 2-pt shot from 1 ft,2,11-11,,
8:00.0,,,11-13,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
7:50.0,D. Howard makes 2-pt shot from 21 ft (assist by K. Bazemore),2,13-13,,
7:34.0,,,13-13,,T. Chandler misses 2-pt shot from 4 ft (block by K. Korver)
7:34.0,Defensive rebound by D. Schroder,,13-13,,
7:29.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,16-13,,
7:28.0,,,16-13,,Phoenix full timeout
7:14.0,,,16-13,,E. Bledsoe misses 2-pt shot from 18 ft (block by D. Schroder)
7:12.0,Defensive rebound by D. Schroder,,16-13,,
7:10.0,Turnover by D. Schroder (bad pass),,16-13,,
7:00.0,,,16-13,,Offensive foul by P. Tucker
