time,New Orleans,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. B. Lopez (T. Jones gains possession),,,,Jump ball: O. Asik vs. B. Lopez (T. Jones gains possession)
11:43.0,J. Holiday misses 2-pt shot from 18 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by I. Whitehead
11:34.0,,,0-0,,Turnover by B. Bogdanovic (traveling)
11:21.0,T. Jones misses 2-pt shot from 2 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by B. Lopez
11:14.0,,,0-0,,J. Harris misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by S. Hill,,0-0,,
11:02.0,S. Hill makes 2-pt shot from 2 ft,2,2-0,,
10:46.0,,,2-3,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Lopez)
10:35.0,Turnover by J. Holiday (bad pass; steal by B. Bogdanovic),,2-3,,
10:28.0,,,2-5,2,T. Booker makes 2-pt shot at rim (assist by B. Bogdanovic)
10:10.0,S. Hill makes 3-pt shot from 24 ft (assist by B. Hield),3,5-5,,
10:00.0,,,5-7,2,J. Harris makes 2-pt shot from 2 ft (assist by B. Lopez)
9:37.0,Turnover by S. Hill (bad pass; steal by B. Lopez),,5-7,,
9:32.0,,,5-10,3,J. Harris makes 3-pt shot from 25 ft (assist by I. Whitehead)
9:07.0,T. Jones makes 2-pt shot from 6 ft,2,7-10,,
8:59.0,Personal foul by O. Asik (drawn by B. Lopez),,7-10,,
8:51.0,,,7-10,,B. Lopez misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by J. Holiday,,7-10,,
8:40.0,J. Holiday misses 2-pt shot from 19 ft,,7-10,,
8:39.0,,,7-10,,Defensive rebound by J. Harris
8:33.0,,,7-10,,I. Whitehead misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by B. Hield,,7-10,,
8:27.0,B. Hield misses 3-pt shot from 25 ft,,7-10,,
8:25.0,,,7-10,,Defensive rebound by I. Whitehead
8:08.0,,,7-10,,B. Bogdanovic misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by O. Asik,,7-10,,
7:59.0,B. Hield makes 3-pt shot from 24 ft (assist by J. Holiday),3,10-10,,
7:54.0,,,10-10,,Brooklyn full timeout
7:45.0,,,10-10,,I. Whitehead misses 2-pt shot from 2 ft
7:44.0,,,10-10,,Offensive rebound by T. Booker
7:42.0,,,10-12,2,T. Booker makes 2-pt shot from 3 ft
7:29.0,,,10-12,,Violation by B. Lopez (kicked ball)
7:17.0,J. Holiday makes 2-pt shot from 9 ft,2,12-12,,
7:06.0,,,12-14,2,B. Lopez makes 2-pt shot from 6 ft
6:53.0,J. Holiday makes 2-pt shot from 2 ft (assist by T. Jones),2,14-14,,
6:38.0,Personal foul by O. Asik (drawn by B. Lopez),,14-14,,
6:38.0,,,14-14,,S. Kilpatrick enters the game for J. Harris
6:33.0,,,14-14,,B. Bogdanovic misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by Team,,14-14,,
6:32.0,A. Ajinca enters the game for O. Asik,,14-14,,
6:24.0,S. Hill makes 2-pt shot from 1 ft,2,16-14,,
6:16.0,Personal foul by A. Ajinca (drawn by B. Lopez),,16-14,,
6:09.0,,,16-17,3,B. Lopez makes 3-pt shot from 25 ft (assist by T. Booker)
5:57.0,B. Hield misses 2-pt shot from 17 ft,,16-17,,
5:55.0,,,16-17,,Defensive rebound by T. Booker
5:38.0,,,16-17,,T. Booker misses 2-pt shot from 16 ft
5:37.0,Defensive rebound by A. Ajinca,,16-17,,
5:30.0,J. Holiday makes 3-pt shot from 25 ft,3,19-17,,
5:13.0,,,19-17,,I. Whitehead misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by S. Hill,,19-17,,
5:09.0,S. Hill misses 2-pt shot from 2 ft,,19-17,,
5:08.0,,,19-17,,Defensive rebound by S. Kilpatrick
5:04.0,,,19-19,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Kilpatrick)
4:52.0,J. Holiday makes 3-pt shot from 24 ft,3,22-19,,
4:40.0,,,22-22,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by T. Booker)
4:28.0,J. Holiday misses 3-pt shot from 25 ft,,22-22,,
4:27.0,,,22-22,,Defensive rebound by B. Bogdanovic
4:16.0,,,22-22,,T. Booker misses 2-pt shot from 4 ft
4:15.0,Defensive rebound by T. Jones,,22-22,,
4:04.0,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday),2,24-22,,
3:48.0,,,24-22,,Turnover by B. Bogdanovic (bad pass; steal by A. Ajinca)
3:47.0,Turnover by A. Ajinca (bad pass),,24-22,,
3:47.0,,,24-22,,S. Dinwiddie enters the game for I. Whitehead
3:47.0,,,24-22,,J. Hamilton enters the game for B. Lopez
3:47.0,,,24-22,,R. Hollis-Jefferson enters the game for T. Booker
3:35.0,,,24-22,,J. Hamilton misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by T. Jones,,24-22,,
3:23.0,T. Jones misses 2-pt shot from 3 ft (block by J. Hamilton),,24-22,,
3:22.0,Offensive rebound by Team,,24-22,,
3:22.0,,,24-22,,C. LeVert enters the game for B. Bogdanovic
3:22.0,D. Cunningham enters the game for A. Ajinca,,24-22,,
3:14.0,Shooting foul by J. Hamilton (drawn by T. Jones),,24-22,,
3:14.0,T. Jones makes free throw 1 of 2,1,25-22,,
3:14.0,T. Jones makes free throw 2 of 2,1,26-22,,
3:00.0,,,26-25,3,S. Kilpatrick makes 3-pt shot from 24 ft
2:44.0,D. Cunningham makes 2-pt shot from 3 ft (assist by J. Holiday),2,28-25,,
2:33.0,Personal foul by T. Jones (drawn by C. LeVert),,28-25,,
2:33.0,New Orleans full timeout,,28-25,,
2:33.0,E. Moore enters the game for B. Hield,,28-25,,
2:33.0,D. Motiejunas enters the game for T. Jones,,28-25,,
2:21.0,,,28-28,3,C. LeVert makes 3-pt shot from 25 ft
1:56.0,S. Hill makes 2-pt shot from 3 ft (assist by E. Moore),2,30-28,,
1:39.0,,,30-28,,S. Kilpatrick misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by D. Motiejunas,,30-28,,
1:25.0,D. Motiejunas misses 3-pt shot from 24 ft,,30-28,,
1:24.0,,,30-28,,Defensive rebound by R. Hollis-Jefferson
1:14.0,,,30-30,2,S. Kilpatrick makes 2-pt shot from 6 ft
1:14.0,,,30-30,,Shooting foul by S. Hill (drawn by S. Kilpatrick)
1:14.0,,,30-31,1,S. Kilpatrick makes free throw 1 of 1
1:14.0,T. Evans enters the game for J. Holiday,,30-30,,
