time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (A. Ajinca gains possession),,,,Jump ball: T. Chandler vs. A. Davis (A. Ajinca gains possession)
11:37.0,A. Davis makes 2-pt shot from 14 ft,2,2-0,,
11:26.0,,,2-0,,M. Chriss misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by Team,,2-0,,
11:15.0,,,2-0,,Personal foul by M. Chriss (drawn by A. Davis)
11:15.0,A. Davis makes free throw 1 of 2,1,3-0,,
11:15.0,A. Davis makes free throw 2 of 2,1,4-0,,
11:04.0,,,4-3,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker)
10:44.0,A. Davis misses 2-pt shot from 7 ft,,4-3,,
10:44.0,,,4-3,,Defensive rebound by Team
10:32.0,,,4-5,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Chandler)
10:23.0,S. Hill makes 3-pt shot from 25 ft (assist by B. Hield),3,7-5,,
10:15.0,,,7-5,,E. Bledsoe misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by B. Hield,,7-5,,
10:04.0,A. Davis makes 2-pt shot at rim (assist by B. Hield),2,9-5,,
9:51.0,,,9-5,,M. Chriss misses 2-pt shot from 1 ft
9:49.0,,,9-5,,Offensive rebound by M. Chriss
9:49.0,,,9-5,,M. Chriss misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by S. Hill,,9-5,,
9:41.0,B. Hield makes 3-pt shot from 24 ft (assist by J. Holiday),3,12-5,,
9:23.0,,,12-5,,D. Booker misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by S. Hill,,12-5,,
9:07.0,A. Davis misses 3-pt shot from 25 ft,,12-5,,
9:05.0,,,12-5,,Defensive rebound by T. Chandler
8:59.0,,,12-5,,D. Booker misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by A. Davis,,12-5,,
8:51.0,S. Hill misses 3-pt shot from 25 ft,,12-5,,
8:49.0,,,12-5,,Defensive rebound by T. Warren
8:47.0,,,12-7,2,E. Bledsoe makes 2-pt shot from 15 ft
8:32.0,J. Holiday makes 2-pt shot from 15 ft,2,14-7,,
8:26.0,Personal block foul by S. Hill (drawn by E. Bledsoe),,14-7,,
8:21.0,,,14-9,2,D. Booker makes 2-pt shot from 16 ft (assist by E. Bledsoe)
8:08.0,J. Holiday misses 3-pt shot from 25 ft,,14-9,,
8:06.0,,,14-9,,Defensive rebound by T. Chandler
8:02.0,,,14-9,,M. Chriss misses 2-pt shot at rim
7:57.0,Defensive rebound by A. Ajinca,,14-9,,
7:55.0,Turnover by A. Ajinca (lost ball; steal by D. Booker),,14-9,,
7:52.0,,,14-11,2,D. Booker makes 2-pt shot from 1 ft
7:35.0,Shooting foul by E. Bledsoe (drawn by S. Hill),,14-11,,
