time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. D. Jordan,,,,Jump ball: A. Ajinca vs. D. Jordan
11:45.0,A. Ajinca misses 2-pt shot from 16 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by C. Paul
11:28.0,,,0-0,,J. Redick misses 2-pt shot from 16 ft
11:28.0,Defensive rebound by Team,,0-0,,
11:06.0,B. Hield misses 2-pt shot from 3 ft,,0-0,,
11:06.0,Offensive rebound by Team,,0-0,,
10:51.0,T. Jones makes 2-pt shot from 3 ft,2,2-0,,
10:40.0,,,2-0,,J. Redick misses 2-pt shot from 20 ft
10:38.0,,,2-0,,Offensive rebound by D. Jordan
10:35.0,,,2-0,,Shooting foul by T. Jones (drawn by L. Mbah a Moute)
10:35.0,,,2-1,1,L. Mbah a Moute makes free throw 1 of 2
10:35.0,,,2-2,1,L. Mbah a Moute makes free throw 2 of 2
10:22.0,T. Jones makes 2-pt shot from 1 ft (assist by S. Hill),2,4-2,,
10:11.0,Personal foul by S. Hill (drawn by D. Jordan),,4-2,,
10:05.0,,,4-4,2,C. Paul makes 2-pt shot from 19 ft (assist by A. Rivers)
9:53.0,A. Ajinca misses 2-pt shot from 21 ft,,4-4,,
9:52.0,,,4-4,,Defensive rebound by D. Jordan
9:45.0,,,4-7,3,C. Paul makes 3-pt shot from 24 ft
9:31.0,S. Hill makes 2-pt shot from 16 ft,2,6-7,,
9:17.0,,,6-7,,C. Paul misses 2-pt shot from 16 ft
9:14.0,,,6-7,,Offensive rebound by D. Jordan
9:14.0,,,6-7,,D. Jordan misses 2-pt shot from 2 ft
9:12.0,,,6-7,,Offensive rebound by D. Jordan
9:10.0,,,6-7,,D. Jordan misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by T. Jones,,6-7,,
9:05.0,,,6-7,,Personal foul by L. Mbah a Moute (drawn by T. Jones)
8:51.0,B. Hield misses 2-pt shot from 11 ft,,6-7,,
8:50.0,Offensive rebound by A. Ajinca,,6-7,,
8:50.0,A. Ajinca makes 2-pt shot from 1 ft,2,8-7,,
8:40.0,,,8-7,,L. Mbah a Moute misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by S. Hill,,8-7,,
8:32.0,T. Jones misses 2-pt shot from 22 ft,,8-7,,
8:31.0,,,8-7,,Defensive rebound by C. Paul
8:20.0,,,8-9,2,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul)
8:10.0,T. Frazier makes 2-pt shot from 16 ft,2,10-9,,
8:04.0,,,10-9,,A. Rivers misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by A. Ajinca,,10-9,,
7:55.0,T. Frazier makes 2-pt shot from 2 ft,2,12-9,,
7:40.0,,,12-11,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
7:33.0,T. Frazier makes 2-pt shot from 20 ft,2,14-11,,
7:17.0,,,14-11,,L. Mbah a Moute misses 2-pt shot from 3 ft
7:15.0,Defensive rebound by T. Frazier,,14-11,,
7:10.0,T. Jones makes 2-pt shot from 1 ft (assist by T. Frazier),2,16-11,,
6:54.0,,,16-11,,L. Mbah a Moute misses 2-pt shot from 20 ft
6:54.0,,,16-11,,Offensive rebound by Team
6:54.0,Loose ball foul by T. Jones (drawn by D. Jordan),,16-11,,
6:54.0,O. Asik enters the game for T. Jones,,16-11,,
6:48.0,,,16-14,3,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
6:29.0,A. Ajinca misses 2-pt shot from 13 ft,,16-14,,
6:27.0,,,16-14,,Defensive rebound by C. Paul
6:21.0,,,16-14,,C. Paul misses 3-pt shot from 26 ft
6:19.0,,,16-14,,Offensive rebound by D. Jordan
6:19.0,,,16-16,2,D. Jordan makes 2-pt shot from 1 ft
6:06.0,T. Frazier misses 3-pt shot from 24 ft,,16-16,,
6:06.0,,,16-16,,Defensive rebound by Team
5:45.0,,,16-18,2,A. Rivers makes 2-pt shot from 15 ft
5:31.0,A. Ajinca makes 2-pt shot from 9 ft (assist by S. Hill),2,18-18,,
5:20.0,,,18-20,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:00.0,S. Hill makes 2-pt shot from 13 ft,2,20-20,,
5:00.0,Shooting foul by D. Jordan (drawn by S. Hill),,20-20,,
5:00.0,,,20-20,,LA Clippers full timeout
5:00.0,S. Hill makes free throw 1 of 1,1,21-20,,
4:44.0,,,21-20,,A. Rivers misses 3-pt shot from 25 ft
4:43.0,,,21-20,,Offensive rebound by D. Jordan
4:43.0,,,21-22,2,D. Jordan makes 2-pt shot at rim
4:31.0,A. Ajinca misses 3-pt shot from 25 ft,,21-22,,
