time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: J. Hamilton vs. R. Lopez (N. Mirotic gains possession)
11:39.0,,,0-0,,N. Mirotic misses 3-pt shot from 24 ft
11:38.0,,,0-0,,Offensive rebound by N. Mirotic
11:35.0,,,0-0,,N. Mirotic misses 3-pt shot from 22 ft
11:34.0,,,0-0,,Offensive rebound by R. Rondo
11:28.0,,,0-0,,J. Butler misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by S. Dinwiddie,,0-0,,
11:13.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by D. Wade
11:02.0,,,0-2,2,D. Wade makes 2-pt shot from 13 ft
10:40.0,R. Foye misses 3-pt shot from 25 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by N. Mirotic
10:33.0,,,0-2,,Turnover by R. Rondo (bad pass; steal by R. Foye)
10:29.0,Turnover by J. Hamilton (lost ball; steal by J. Butler),,0-2,,
10:21.0,,,0-2,,J. Butler misses 2-pt shot from 2 ft
10:20.0,Defensive rebound by J. Hamilton,,0-2,,
10:14.0,C. LeVert makes 2-pt shot from 1 ft,2,2-2,,
9:57.0,,,2-2,,Turnover by R. Lopez (bad pass; steal by C. LeVert)
9:53.0,Turnover by C. LeVert (bad pass),,2-2,,
9:40.0,,,2-4,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
9:21.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,4-4,,
9:09.0,,,4-4,,R. Rondo misses 2-pt shot from 15 ft
9:08.0,Defensive rebound by R. Hollis-Jefferson,,4-4,,
9:02.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,4-4,,
9:01.0,,,4-4,,Defensive rebound by R. Lopez
8:48.0,,,4-7,3,R. Rondo makes 3-pt shot from 26 ft (assist by D. Wade)
8:32.0,C. LeVert makes 2-pt shot from 11 ft,2,6-7,,
8:12.0,,,6-7,,Turnover by D. Wade (bad pass; steal by J. Hamilton)
8:10.0,,,6-7,,Personal foul by R. Rondo (drawn by C. LeVert)
7:58.0,S. Dinwiddie misses 3-pt shot from 24 ft,,6-7,,
7:55.0,,,6-7,,Defensive rebound by N. Mirotic
7:47.0,,,6-7,,Shooting foul by S. Dinwiddie (drawn by R. Lopez)
7:47.0,,,6-8,1,R. Lopez makes free throw 1 of 2
7:47.0,,,6-9,1,R. Lopez makes free throw 2 of 2
7:33.0,,,6-9,,Personal foul by R. Rondo (drawn by S. Dinwiddie)
7:33.0,I. Whitehead enters the game for R. Foye,,6-9,,
7:33.0,A. Nicholson enters the game for J. Hamilton,,6-9,,
7:33.0,,,6-9,,J. Grant enters the game for R. Rondo
7:18.0,A. Nicholson misses 2-pt shot from 15 ft,,6-9,,
7:17.0,,,6-9,,Defensive rebound by D. Wade
7:09.0,,,6-9,,Turnover by D. Wade (bad pass)
7:09.0,,,6-9,,Violation by Team (jump ball)
6:56.0,C. LeVert misses 3-pt shot from 23 ft,,6-9,,
6:54.0,,,6-9,,Defensive rebound by J. Butler
6:46.0,,,6-9,,J. Grant misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by R. Hollis-Jefferson,,6-9,,
6:32.0,I. Whitehead makes 3-pt shot from 24 ft (assist by C. LeVert),3,9-9,,
6:19.0,,,9-9,,D. Wade misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by A. Nicholson,,9-9,,
6:11.0,C. LeVert misses 3-pt shot from 25 ft,,9-9,,
6:10.0,,,9-9,,Defensive rebound by J. Grant
5:58.0,,,9-11,2,R. Lopez makes 2-pt shot from 5 ft (assist by N. Mirotic)
5:42.0,A. Nicholson misses 2-pt shot from 10 ft,,9-11,,
5:41.0,,,9-11,,Defensive rebound by J. Grant
5:39.0,Personal foul by S. Dinwiddie (drawn by R. Lopez),,9-11,,
5:39.0,,,9-11,,Chicago full timeout
5:39.0,,,9-11,,P. Zipser enters the game for D. Wade
5:39.0,A. Goodwin enters the game for S. Dinwiddie,,9-11,,
5:26.0,,,9-11,,J. Butler misses 2-pt shot from 2 ft
