time,Indiana,pts.away,score,pts.home,Charlotte
6:48.0,,,9-7,,M. Williams misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by M. Turner,,9-7,,
6:30.0,Turnover by J. Teague (bad pass; steal by K. Walker),,9-7,,
6:25.0,,,9-9,2,M. Williams makes 2-pt shot from 1 ft
6:14.0,Turnover by P. George (bad pass; steal by M. Kidd-Gilchrist),,9-9,,
6:13.0,Personal foul by P. George (drawn by M. Kidd-Gilchrist),,9-9,,
6:13.0,,,9-9,,J. Lamb enters the game for M. Williams
5:58.0,,,9-9,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
5:57.0,Defensive rebound by P. George,,9-9,,
5:49.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,11-9,,
5:34.0,Def 3 sec tech foul by T. Young,,11-9,,
5:34.0,,,11-9,,Charlotte full timeout
5:34.0,,,11-10,1,N. Batum makes technical free throw
5:34.0,M. Ellis enters the game for C. Miles,,11-9,,
5:32.0,Personal foul by P. George (drawn by N. Batum),,11-10,,
5:32.0,G. Robinson enters the game for P. George,,11-10,,
5:15.0,,,11-13,3,N. Batum makes 3-pt shot from 26 ft (assist by J. Lamb)
4:57.0,M. Ellis misses 2-pt shot from 19 ft,,11-13,,
4:56.0,,,11-13,,Defensive rebound by M. Kidd-Gilchrist
4:37.0,,,11-13,,J. Lamb misses 2-pt shot from 4 ft
4:36.0,Defensive rebound by G. Robinson,,11-13,,
4:31.0,Turnover by G. Robinson (bad pass; steal by C. Zeller),,11-13,,
4:20.0,,,11-13,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by M. Turner)
4:16.0,,,11-13,,Offensive rebound by M. Kidd-Gilchrist
4:13.0,,,11-15,2,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum)
3:53.0,J. Teague misses 2-pt shot from 17 ft,,11-15,,
3:52.0,,,11-15,,Defensive rebound by C. Zeller
3:44.0,,,11-18,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
3:38.0,Indiana full timeout,,11-18,,
3:38.0,,,11-18,,B. Roberts enters the game for M. Kidd-Gilchrist
3:38.0,,,11-18,,M. Williams enters the game for K. Walker
3:38.0,C. Miles enters the game for T. Young,,11-18,,
3:38.0,R. Stuckey enters the game for J. Teague,,11-18,,
3:24.0,M. Ellis misses 2-pt shot from 17 ft,,11-18,,
3:23.0,,,11-18,,Defensive rebound by J. Lamb
3:11.0,,,11-20,2,J. Lamb makes 2-pt shot from 1 ft
3:03.0,M. Ellis makes 2-pt shot from 2 ft (assist by M. Turner),2,13-20,,
3:03.0,Shooting foul by N. Batum (drawn by M. Ellis),,13-20,,
3:03.0,M. Ellis makes free throw 1 of 1,1,14-20,,
3:03.0,,,13-20,,J. O'Bryant enters the game for C. Zeller
3:03.0,A. Jefferson enters the game for M. Turner,,13-20,,
2:43.0,,,14-20,,M. Williams misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by M. Ellis,,14-20,,
2:37.0,C. Miles misses 3-pt shot from 25 ft,,14-20,,
2:35.0,,,14-20,,Defensive rebound by J. Lamb
2:28.0,,,14-20,,J. Lamb misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by A. Jefferson,,14-20,,
2:10.0,A. Jefferson misses 2-pt shot from 7 ft,,14-20,,
2:09.0,,,14-20,,Defensive rebound by N. Batum
2:03.0,,,14-20,,Turnover by N. Batum (bad pass; steal by G. Robinson)
1:51.0,Turnover by R. Stuckey (bad pass; steal by N. Batum),,14-20,,
1:35.0,,,14-22,2,N. Batum makes 2-pt shot from 15 ft (assist by J. Lamb)
1:13.0,M. Ellis makes 2-pt shot from 13 ft (assist by G. Robinson),2,16-22,,
0:59.0,,,16-24,2,N. Batum makes 2-pt shot at rim (assist by J. O'Bryant)
0:41.0,M. Ellis misses 2-pt shot from 9 ft,,16-24,,
0:39.0,,,16-24,,Defensive rebound by J. Lamb
0:26.0,,,16-24,,J. O'Bryant misses 2-pt shot from 18 ft
0:24.0,Defensive rebound by G. Robinson,,16-24,,
0:04.0,G. Robinson misses 3-pt shot from 23 ft,,16-24,,
0:03.0,,,16-24,,Defensive rebound by N. Batum
0:01.0,,,16-27,3,N. Batum makes 3-pt shot from 29 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,C. Miles misses 3-pt shot from 25 ft,,16-27,,
11:40.0,,,16-27,,Defensive rebound by B. Roberts
11:19.0,,,16-30,3,B. Roberts makes 3-pt shot from 25 ft (assist by M. Belinelli)
11:02.0,R. Stuckey misses 2-pt shot from 18 ft,,16-30,,
11:01.0,,,16-30,,Defensive rebound by J. O'Bryant
10:50.0,,,16-30,,J. O'Bryant misses 2-pt shot from 1 ft
10:49.0,,,16-30,,Offensive rebound by J. Lamb
10:49.0,,,16-32,2,J. Lamb makes 2-pt shot at rim
10:28.0,Turnover by M. Ellis (bad pass; steal by M. Belinelli),,16-32,,
10:14.0,,,16-32,,J. O'Bryant misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by G. Robinson,,16-32,,
10:02.0,C. Miles misses 2-pt shot from 10 ft,,16-32,,
10:01.0,Offensive rebound by C. Miles,,16-32,,
10:01.0,C. Miles makes 2-pt shot from 1 ft,2,18-32,,
9:33.0,,,18-32,,M. Williams misses 2-pt shot from 6 ft
9:33.0,,,18-32,,Offensive rebound by Team
9:33.0,,,18-32,,Turnover by Team (shot clock)
9:33.0,P. George enters the game for G. Robinson,,18-32,,
9:21.0,P. George misses 2-pt shot from 19 ft,,18-32,,
9:20.0,,,18-32,,Defensive rebound by M. Belinelli
9:18.0,,,18-32,,Turnover by M. Belinelli (bad pass)
9:18.0,,,18-32,,K. Walker enters the game for B. Roberts
9:07.0,,,18-32,,Personal foul by M. Williams (drawn by P. George)
8:55.0,Turnover by P. George (bad pass),,18-32,,
8:55.0,Official timeout,,18-32,,
8:48.0,,,18-32,,Turnover by J. Lamb (bad pass)
8:39.0,R. Stuckey misses 3-pt shot from 24 ft,,18-32,,
8:38.0,,,18-32,,Defensive rebound by M. Williams
8:30.0,,,18-32,,Shooting foul by A. Jefferson (drawn by J. O'Bryant)
8:30.0,,,18-33,1,J. O'Bryant makes free throw 1 of 2
8:30.0,,,18-33,,J. O'Bryant misses free throw 2 of 2
8:30.0,M. Turner enters the game for A. Jefferson,,18-33,,
8:28.0,Defensive rebound by R. Stuckey,,18-33,,
8:10.0,P. George makes 3-pt shot from 24 ft (assist by C. Miles),3,21-33,,
7:51.0,,,21-36,3,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker)
7:28.0,M. Ellis makes 3-pt shot from 24 ft (assist by P. George),3,24-36,,
7:12.0,,,24-38,2,K. Walker makes 2-pt shot at rim
6:56.0,P. George makes 2-pt shot from 18 ft (assist by M. Ellis),2,26-38,,
6:36.0,,,26-41,3,K. Walker makes 3-pt shot from 24 ft
6:24.0,Offensive foul by M. Turner,,26-41,,
6:24.0,Turnover by M. Turner (offensive foul),,26-41,,
6:24.0,G. Robinson enters the game for C. Miles,,26-41,,
6:24.0,J. Teague enters the game for R. Stuckey,,26-41,,
6:24.0,,,26-41,,C. Zeller enters the game for M. Williams
6:24.0,,,26-41,,N. Batum enters the game for J. Lamb
6:24.0,,,26-41,,M. Kidd-Gilchrist enters the game for J. O'Bryant
6:05.0,,,26-41,,C. Zeller misses 2-pt shot from 1 ft
6:05.0,,,26-41,,Offensive rebound by C. Zeller
6:05.0,,,26-41,,Shooting foul by G. Robinson (drawn by C. Zeller)
6:05.0,,,26-42,1,C. Zeller makes free throw 1 of 2
6:05.0,,,26-43,1,C. Zeller makes free throw 2 of 2
5:52.0,M. Turner misses 2-pt shot from 18 ft,,26-43,,
5:51.0,,,26-43,,Defensive rebound by M. Kidd-Gilchrist
5:31.0,,,26-43,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
5:29.0,,,26-43,,Offensive rebound by K. Walker
5:27.0,,,26-43,,Shooting foul by M. Turner (drawn by K. Walker)
5:27.0,,,26-43,,Charlotte full timeout
5:27.0,,,26-44,1,K. Walker makes free throw 1 of 2
5:27.0,,,26-45,1,K. Walker makes free throw 2 of 2
5:06.0,P. George makes 2-pt shot from 18 ft,2,28-45,,
4:48.0,,,28-45,,M. Belinelli misses 2-pt shot from 20 ft
4:47.0,Defensive rebound by J. Teague,,28-45,,
4:39.0,Turnover by P. George (bad pass; steal by C. Zeller),,28-45,,
4:33.0,,,28-45,,M. Belinelli misses 2-pt shot from 20 ft
4:30.0,Defensive rebound by P. George,,28-45,,
4:27.0,Turnover by P. George (bad pass; steal by N. Batum),,28-45,,
4:22.0,,,28-45,,Shooting foul by M. Ellis (drawn by M. Kidd-Gilchrist)
4:22.0,,,28-46,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:22.0,,,28-47,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:22.0,T. Young enters the game for M. Ellis,,28-46,,
4:08.0,J. Teague misses 2-pt shot from 18 ft,,28-47,,
4:07.0,,,28-47,,Defensive rebound by M. Kidd-Gilchrist
3:49.0,,,28-49,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Belinelli)
3:29.0,G. Robinson misses 2-pt shot from 16 ft,,28-49,,
3:28.0,,,28-49,,Defensive rebound by M. Belinelli
3:10.0,,,28-52,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
3:09.0,Indiana full timeout,,28-52,,
3:09.0,,,28-52,,M. Williams enters the game for M. Belinelli
2:52.0,T. Young misses 2-pt shot from 3 ft,,28-52,,
2:51.0,Offensive rebound by M. Turner,,28-52,,
2:51.0,M. Turner misses 2-pt shot at rim,,28-52,,
2:50.0,,,28-52,,Defensive rebound by K. Walker
2:42.0,,,28-52,,K. Walker misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by M. Turner,,28-52,,
2:23.0,P. George makes 3-pt shot from 23 ft (assist by J. Teague),3,31-52,,
2:07.0,,,31-52,,Shooting foul by G. Robinson (drawn by N. Batum)
2:07.0,,,31-53,1,N. Batum makes free throw 1 of 2
2:07.0,,,31-54,1,N. Batum makes free throw 2 of 2
1:58.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,34-54,,
1:42.0,,,34-54,,N. Batum misses 2-pt shot from 19 ft
1:41.0,Defensive rebound by P. George,,34-54,,
1:34.0,P. George misses 3-pt shot from 24 ft,,34-54,,
1:33.0,,,34-54,,Defensive rebound by C. Zeller
1:23.0,,,34-56,2,K. Walker makes 2-pt shot from 2 ft
1:08.0,Shooting foul by K. Walker (drawn by J. Teague),,34-56,,
1:08.0,J. Teague makes free throw 1 of 2,1,35-56,,
1:08.0,J. Teague misses free throw 2 of 2,,35-56,,
1:07.0,Offensive rebound by Team,,35-56,,
1:00.0,G. Robinson misses 2-pt shot from 21 ft,,35-56,,
1:00.0,,,35-56,,Defensive rebound by M. Kidd-Gilchrist
0:51.0,,,35-58,2,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker)
0:42.0,M. Turner misses 3-pt shot from 26 ft,,35-58,,
0:41.0,,,35-58,,Defensive rebound by M. Kidd-Gilchrist
