time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (E. Ilyasova gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (E. Ilyasova gains possession)
11:36.0,N. Stauskas misses 3-pt shot from 24 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by M. Plumlee
11:27.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 4 ft
11:19.0,E. Ilyasova misses 2-pt shot from 17 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Parker
11:08.0,,,0-2,,M. Plumlee misses 2-pt shot from 3 ft (block by R. Covington)
11:08.0,,,0-2,,Offensive rebound by Team
10:54.0,,,0-2,,M. Plumlee misses 2-pt shot from 5 ft
10:52.0,,,0-2,,Offensive rebound by G. Antetokounmpo
10:51.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:41.0,T. McConnell makes 2-pt shot at rim (assist by E. Ilyasova),2,2-4,,
10:24.0,,,2-4,,G. Antetokounmpo misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by E. Ilyasova,,2-4,,
10:14.0,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell),3,5-4,,
9:57.0,,,5-7,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
9:46.0,N. Noel misses 2-pt shot from 5 ft,,5-7,,
9:45.0,,,5-7,,Defensive rebound by G. Antetokounmpo
9:38.0,,,5-7,,M. Plumlee misses 2-pt shot from 2 ft (block by R. Covington)
9:35.0,Defensive rebound by R. Covington,,5-7,,
9:29.0,T. McConnell misses 2-pt shot from 12 ft,,5-7,,
9:28.0,,,5-7,,Defensive rebound by T. Snell
9:15.0,,,5-7,,Shooting foul by N. Noel (drawn by G. Antetokounmpo)
9:15.0,,,5-8,1,G. Antetokounmpo makes free throw 1 of 2
9:15.0,,,5-9,1,G. Antetokounmpo makes free throw 2 of 2
9:05.0,N. Noel misses 2-pt shot at rim,,5-9,,
9:04.0,,,5-9,,Defensive rebound by M. Plumlee
8:57.0,,,5-11,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova)
8:41.0,E. Ilyasova misses 2-pt shot from 2 ft,,5-11,,
8:39.0,Offensive rebound by N. Noel,,5-11,,
8:39.0,N. Noel misses 2-pt shot from 1 ft,,5-11,,
8:38.0,,,5-11,,Defensive rebound by M. Plumlee
8:33.0,Personal foul by N. Stauskas (drawn by M. Plumlee),,5-11,,
8:30.0,,,5-11,,Offensive foul by M. Plumlee
8:30.0,,,5-11,,Turnover by M. Plumlee (offensive foul)
8:18.0,R. Covington misses 3-pt shot from 27 ft,,5-11,,
8:17.0,,,5-11,,Defensive rebound by G. Antetokounmpo
8:07.0,,,5-11,,G. Antetokounmpo misses 3-pt shot from 27 ft
8:06.0,Defensive rebound by N. Noel,,5-11,,
7:57.0,N. Stauskas makes 2-pt shot at rim,2,7-11,,
7:47.0,,,7-13,2,M. Dellavedova makes 2-pt shot from 1 ft
7:33.0,T. McConnell makes 2-pt shot at rim (assist by E. Ilyasova),2,9-13,,
7:20.0,,,9-15,2,M. Plumlee makes 2-pt shot at rim (assist by M. Dellavedova)
7:19.0,Philadelphia full timeout,,9-15,,
7:19.0,,,9-15,,M. Brogdon enters the game for M. Dellavedova
7:19.0,R. Holmes enters the game for N. Noel,,9-15,,
7:08.0,E. Ilyasova makes 3-pt shot from 27 ft (assist by T. McConnell),3,12-15,,
6:54.0,,,12-17,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
6:42.0,E. Ilyasova makes 2-pt shot from 4 ft (assist by T. McConnell),2,14-17,,
6:33.0,,,14-17,,Turnover by M. Brogdon (bad pass; steal by R. Holmes)
6:29.0,Turnover by R. Holmes (bad pass; steal by G. Antetokounmpo),,14-17,,
6:22.0,,,14-17,,M. Plumlee misses 2-pt shot at rim
6:21.0,,,14-17,,Offensive rebound by G. Antetokounmpo
6:21.0,,,14-17,,G. Antetokounmpo misses 2-pt shot at rim
6:20.0,Defensive rebound by R. Holmes,,14-17,,
6:03.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by R. Covington),3,17-17,,
5:47.0,Personal block foul by T. McConnell (drawn by M. Brogdon),,17-17,,
5:47.0,,,17-17,,G. Monroe enters the game for M. Plumlee
5:47.0,G. Henderson enters the game for N. Stauskas,,17-17,,
5:47.0,S. Rodriguez enters the game for T. McConnell,,17-17,,
5:32.0,,,17-17,,Turnover by G. Monroe (lost ball; steal by R. Covington)
5:26.0,G. Henderson makes 2-pt shot at rim (assist by R. Covington),2,19-17,,
5:10.0,,,19-19,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
4:52.0,G. Henderson misses 3-pt shot from 24 ft,,19-19,,
4:51.0,,,19-19,,Defensive rebound by G. Antetokounmpo
4:40.0,,,19-19,,G. Monroe misses 2-pt shot from 2 ft (block by R. Covington)
4:40.0,,,19-19,,Offensive rebound by Team
4:40.0,,,19-19,,M. Teletovic enters the game for G. Antetokounmpo
4:40.0,T. Luwawu-Cabarrot enters the game for R. Covington,,19-19,,
4:40.0,D. Saric enters the game for E. Ilyasova,,19-19,,
4:36.0,,,19-19,,Turnover by M. Brogdon (traveling)
4:28.0,D. Saric makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,21-19,,
4:15.0,,,21-19,,M. Brogdon misses 2-pt shot from 6 ft
4:14.0,,,21-19,,Offensive rebound by G. Monroe
4:14.0,,,21-21,2,G. Monroe makes 2-pt shot from 2 ft
4:14.0,,,21-21,,Shooting foul by R. Holmes (drawn by G. Monroe)
4:14.0,,,21-22,1,G. Monroe makes free throw 1 of 1
4:07.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,23-22,,
3:44.0,,,23-22,,G. Monroe misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by G. Henderson,,23-22,,
3:25.0,D. Saric misses 3-pt shot from 24 ft,,23-22,,
3:24.0,,,23-22,,Defensive rebound by T. Snell
3:11.0,,,23-24,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
3:02.0,D. Saric makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,25-24,,
2:55.0,,,25-24,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Parker)
2:55.0,,,25-24,,Milwaukee full timeout
2:55.0,,,25-24,,J. Parker misses free throw 1 of 2
2:55.0,,,25-24,,Offensive rebound by Team
2:55.0,,,25-25,1,J. Parker makes free throw 2 of 2
2:55.0,,,25-24,,J. Terry enters the game for T. Snell
2:37.0,G. Henderson misses 2-pt shot from 1 ft (block by J. Parker),,25-25,,
2:32.0,,,25-25,,Defensive rebound by G. Monroe
2:27.0,,,25-25,,M. Teletovic misses 3-pt shot from 26 ft
2:22.0,,,25-25,,Offensive rebound by G. Monroe
2:22.0,,,25-27,2,G. Monroe makes 2-pt shot from 1 ft
2:17.0,,,25-27,,Personal foul by M. Teletovic (drawn by D. Saric)
2:17.0,N. Noel enters the game for R. Holmes,,25-27,,
2:06.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by G. Henderson),3,28-27,,
1:44.0,,,28-27,,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Brogdon)
1:44.0,,,28-28,1,M. Brogdon makes free throw 1 of 2
1:44.0,,,28-28,,M. Brogdon misses free throw 2 of 2
1:44.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,28-28,,
1:42.0,,,28-28,,Offensive rebound by J. Parker
1:41.0,,,28-30,2,J. Parker makes 2-pt shot at rim
1:18.0,Turnover by S. Rodriguez (traveling),,28-30,,
