time,Phoenix,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Len (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Len (R. Jackson gains possession)
11:47.0,,,0-0,,A. Drummond misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by M. Chriss,,0-0,,
11:33.0,A. Len makes 3-pt shot from 25 ft (assist by T. Ulis),3,3-0,,
11:19.0,,,3-3,3,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
11:02.0,D. Jones misses 2-pt shot from 8 ft,,3-3,,
11:01.0,,,3-3,,Defensive rebound by R. Jackson
10:43.0,,,3-3,,Turnover by M. Morris (bad pass; steal by M. Chriss)
10:36.0,M. Chriss makes 2-pt shot from 14 ft (assist by T. Ulis),2,5-3,,
10:20.0,,,5-3,,T. Harris misses 3-pt shot from 26 ft
10:19.0,,,5-3,,Offensive rebound by A. Drummond
10:14.0,,,5-5,2,A. Drummond makes 2-pt shot from 5 ft
10:00.0,T. Ulis makes 2-pt shot from 17 ft (assist by A. Len),2,7-5,,
9:48.0,,,7-5,,R. Jackson misses 2-pt shot from 9 ft
9:46.0,Defensive rebound by M. Chriss,,7-5,,
9:37.0,T. Warren makes 3-pt shot from 25 ft (assist by T. Ulis),3,10-5,,
9:36.0,,,10-5,,Detroit full timeout
9:20.0,,,10-5,,T. Harris misses 2-pt shot from 7 ft (block by T. Warren)
9:18.0,Defensive rebound by T. Ulis,,10-5,,
8:53.0,T. Ulis misses 3-pt shot from 27 ft,,10-5,,
8:52.0,,,10-5,,Defensive rebound by A. Drummond
8:45.0,,,10-7,2,M. Morris makes 2-pt shot at rim
8:45.0,,,10-7,,Shooting foul by A. Len (drawn by M. Morris)
8:45.0,,,10-8,1,M. Morris makes free throw 1 of 1
8:33.0,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren),3,13-8,,
8:11.0,,,13-8,,T. Harris misses 2-pt shot from 5 ft
8:09.0,Defensive rebound by M. Chriss,,13-8,,
8:00.0,T. Ulis makes 2-pt shot from 15 ft,2,15-8,,
7:40.0,,,15-10,2,M. Morris makes 2-pt shot from 14 ft (assist by K. Caldwell-Pope)
7:40.0,,,15-10,,Violation by Team (jump ball)
7:14.0,T. Ulis misses 2-pt shot from 2 ft,,15-10,,
7:13.0,,,15-10,,Defensive rebound by A. Drummond
7:06.0,,,15-12,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
7:06.0,Turnover by A. Len (inbound),,15-12,,
6:54.0,,,15-12,,M. Morris misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by T. Warren,,15-12,,
6:43.0,Shooting foul by A. Drummond (drawn by A. Len),,15-12,,
6:43.0,A. Len misses free throw 1 of 2,,15-12,,
6:43.0,Offensive rebound by Team,,15-12,,
6:43.0,A. Len misses free throw 2 of 2,,15-12,,
6:41.0,,,15-12,,Defensive rebound by A. Drummond
6:31.0,,,15-15,3,M. Morris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
6:07.0,M. Chriss misses 2-pt shot from 1 ft,,15-15,,
6:06.0,,,15-15,,Defensive rebound by A. Drummond
5:58.0,,,15-17,2,R. Jackson makes 2-pt shot from 16 ft
5:58.0,Phoenix full timeout,,15-17,,
5:58.0,,,15-17,,I. Smith enters the game for T. Harris
5:58.0,,,15-17,,J. Leuer enters the game for R. Jackson
5:46.0,M. Chriss misses 3-pt shot from 26 ft,,15-17,,
5:44.0,,,15-17,,Defensive rebound by A. Drummond
5:33.0,,,15-17,,Turnover by K. Caldwell-Pope (bad pass; steal by T. Ulis)
5:23.0,T. Warren misses 3-pt shot from 26 ft,,15-17,,
5:21.0,,,15-17,,Defensive rebound by K. Caldwell-Pope
5:16.0,,,15-17,,K. Caldwell-Pope misses 2-pt shot from 15 ft
5:16.0,,,15-17,,Offensive rebound by Team
5:16.0,Loose ball foul by M. Chriss (drawn by M. Morris),,15-17,,
5:16.0,J. Eddie enters the game for D. Jones,,15-17,,
5:02.0,,,15-17,,J. Leuer misses 2-pt shot from 12 ft
5:01.0,Defensive rebound by J. Eddie,,15-17,,
4:57.0,M. Chriss misses 2-pt shot from 20 ft,,15-17,,
4:55.0,,,15-17,,Defensive rebound by A. Drummond
4:48.0,,,15-17,,Shooting foul by A. Len (drawn by A. Drummond)
4:48.0,,,15-18,1,A. Drummond makes free throw 1 of 2
4:48.0,,,15-18,,A. Drummond misses free throw 2 of 2
4:48.0,A. Williams enters the game for A. Len,,15-18,,
4:47.0,Defensive rebound by M. Chriss,,15-18,,
4:32.0,T. Warren misses 2-pt shot from 11 ft,,15-18,,
4:31.0,,,15-18,,Defensive rebound by J. Leuer
4:25.0,,,15-18,,I. Smith misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by A. Williams,,15-18,,
4:17.0,J. Eddie misses 3-pt shot from 27 ft,,15-18,,
4:16.0,,,15-18,,Defensive rebound by K. Caldwell-Pope
3:59.0,,,15-18,,Shooting foul by M. Chriss (drawn by A. Drummond)
3:59.0,,,15-18,,A. Drummond misses free throw 1 of 2
3:59.0,,,15-18,,Offensive rebound by Team
3:59.0,,,15-18,,A. Drummond misses free throw 2 of 2
3:59.0,J. Dudley enters the game for M. Chriss,,15-18,,
3:58.0,Defensive rebound by A. Williams,,15-18,,
3:48.0,T. Ulis misses 2-pt shot from 13 ft,,15-18,,
3:47.0,,,15-18,,Defensive rebound by A. Drummond
3:39.0,,,15-18,,I. Smith misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by A. Williams,,15-18,,
3:30.0,A. Williams misses 2-pt shot from 12 ft,,15-18,,
3:28.0,,,15-18,,Defensive rebound by M. Morris
3:13.0,,,15-18,,J. Leuer misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by T. Warren,,15-18,,
3:05.0,T. Warren misses 2-pt shot from 16 ft,,15-18,,
3:04.0,,,15-18,,Defensive rebound by I. Smith
2:56.0,,,15-20,2,M. Morris makes 2-pt shot from 16 ft (assist by I. Smith)
2:40.0,J. Eddie misses 3-pt shot from 26 ft,,15-20,,
2:40.0,,,15-20,,Defensive rebound by Team
2:40.0,,,15-20,,A. Baynes enters the game for A. Drummond
2:25.0,,,15-22,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
2:12.0,Turnover by T. Ulis (bad pass; steal by J. Leuer),,15-22,,
2:05.0,,,15-22,,I. Smith misses 2-pt shot from 3 ft
2:04.0,,,15-22,,Offensive rebound by A. Baynes
2:04.0,,,15-24,2,A. Baynes makes 2-pt shot from 1 ft
2:04.0,Phoenix full timeout,,15-24,,
2:04.0,,,15-24,,S. Johnson enters the game for K. Caldwell-Pope
1:45.0,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis),2,17-24,,
1:45.0,Shooting foul by A. Baynes (drawn by A. Williams),,17-24,,
1:45.0,A. Williams makes free throw 1 of 1,1,18-24,,
1:33.0,,,18-24,,Turnover by M. Morris (bad pass; steal by T. Warren)
