time,Brooklyn,pts.away,score,pts.home,Orlando
2:11.0,,,21-19,,S. Ibaka misses 2-pt shot from 10 ft
2:11.0,Defensive rebound by J. Harris,,21-19,,
2:01.0,J. Lin makes 2-pt shot at rim,2,23-19,,
2:01.0,,,23-19,,Orlando full timeout
2:01.0,Brooklyn full timeout,,23-19,,
1:42.0,,,23-19,,E. Payton misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by B. Lopez,,23-19,,
1:35.0,Shooting foul by J. Green (drawn by R. Hollis-Jefferson),,23-19,,
1:35.0,R. Hollis-Jefferson makes free throw 1 of 2,1,24-19,,
1:35.0,R. Hollis-Jefferson misses free throw 2 of 2,,24-19,,
1:35.0,,,24-19,,Defensive rebound by N. Vucevic
1:21.0,,,24-21,2,S. Ibaka makes 2-pt shot at rim (assist by N. Vucevic)
1:09.0,B. Lopez makes 2-pt shot from 3 ft (assist by J. Lin),2,26-21,,
0:50.0,,,26-23,2,S. Ibaka makes 2-pt shot from 16 ft
0:34.0,J. Lin makes 2-pt shot from 1 ft,2,28-23,,
0:27.0,,,28-25,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
0:03.0,B. Lopez misses 2-pt shot from 17 ft,,28-25,,
0:02.0,,,28-25,,Defensive rebound by E. Fournier
0:00.0,,,28-25,,E. Fournier misses 3-pt shot from 27 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-25,,E. Payton misses 2-pt shot from 5 ft
11:48.0,,,28-25,,Offensive rebound by N. Vucevic
11:48.0,,,28-27,2,N. Vucevic makes 2-pt shot from 2 ft
11:17.0,L. Scola makes 2-pt shot from 2 ft,2,30-27,,
11:09.0,,,30-27,,J. Green misses 2-pt shot from 16 ft
11:08.0,,,30-27,,Offensive rebound by N. Vucevic
11:04.0,,,30-27,,J. Green misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by J. Lin,,30-27,,
10:47.0,L. Scola misses 2-pt shot from 1 ft (block by N. Vucevic),,30-27,,
10:46.0,Offensive rebound by R. Hollis-Jefferson,,30-27,,
10:43.0,Shooting foul by B. Biyombo (drawn by R. Hollis-Jefferson),,30-27,,
10:43.0,R. Hollis-Jefferson makes free throw 1 of 2,1,31-27,,
10:43.0,R. Hollis-Jefferson makes free throw 2 of 2,1,32-27,,
10:43.0,I. Whitehead enters the game for J. Lin,,31-27,,
10:29.0,,,32-27,,N. Vucevic misses 2-pt shot from 11 ft
10:28.0,Defensive rebound by C. LeVert,,32-27,,
10:13.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by I. Whitehead),2,34-27,,
10:00.0,Personal foul by L. Scola (drawn by N. Vucevic),,34-27,,
9:52.0,,,34-29,2,N. Vucevic makes 2-pt shot from 3 ft (assist by J. Meeks)
9:37.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by I. Whitehead),3,37-29,,
9:21.0,Personal foul by I. Whitehead (drawn by B. Biyombo),,37-29,,
9:15.0,Shooting block foul by I. Whitehead (drawn by J. Green),,37-29,,
9:15.0,,,37-30,1,J. Green makes free throw 1 of 2
9:15.0,,,37-31,1,J. Green makes free throw 2 of 2
8:59.0,B. Bogdanovic misses 3-pt shot from 25 ft,,37-31,,
8:58.0,,,37-31,,Defensive rebound by J. Meeks
8:51.0,,,37-31,,N. Vucevic misses 3-pt shot from 26 ft
8:51.0,,,37-31,,Offensive rebound by Team
8:51.0,Loose ball foul by B. Bogdanovic (drawn by B. Biyombo),,37-31,,
8:51.0,Official timeout,,37-31,,
8:51.0,S. Dinwiddie enters the game for I. Whitehead,,37-31,,
8:39.0,,,37-31,,Turnover by E. Payton (bad pass; steal by C. LeVert)
8:33.0,C. LeVert makes 2-pt shot at rim,2,39-31,,
8:18.0,,,39-33,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
8:05.0,L. Scola misses 2-pt shot from 18 ft,,39-33,,
8:04.0,,,39-33,,Defensive rebound by J. Meeks
7:55.0,,,39-33,,J. Meeks misses 2-pt shot from 13 ft
7:54.0,,,39-33,,Offensive rebound by B. Biyombo
7:49.0,,,39-33,,E. Payton misses 2-pt shot from 8 ft
7:48.0,Defensive rebound by Team,,39-33,,
7:48.0,B. Lopez enters the game for R. Hollis-Jefferson,,39-33,,
7:33.0,Turnover by B. Bogdanovic (bad pass; steal by J. Meeks),,39-33,,
7:21.0,,,39-35,2,N. Vucevic makes 2-pt shot from 16 ft (assist by J. Meeks)
6:54.0,L. Scola makes 3-pt shot from 23 ft (assist by C. LeVert),3,42-35,,
6:34.0,,,42-37,2,N. Vucevic makes 2-pt shot from 6 ft
6:19.0,B. Lopez makes 2-pt shot from 2 ft,2,44-37,,
6:17.0,Personal foul by L. Scola (drawn by E. Payton),,44-37,,
6:17.0,,,44-38,1,E. Payton makes free throw 1 of 2
6:17.0,,,44-39,1,E. Payton makes free throw 2 of 2
6:17.0,J. Harris enters the game for B. Bogdanovic,,44-38,,
