time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (T. Parker gains possession)
11:41.0,,,0-2,2,K. Leonard makes 2-pt shot at rim
11:17.0,M. Gasol misses 2-pt shot from 18 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by T. Parker
11:00.0,,,0-2,,L. Aldridge misses 2-pt shot from 21 ft
11:00.0,Defensive rebound by J. Green,,0-2,,
10:54.0,M. Conley makes 3-pt shot from 26 ft,3,3-2,,
10:41.0,,,3-4,2,T. Parker makes 2-pt shot from 17 ft
10:30.0,M. Conley makes 2-pt shot from 17 ft,2,5-4,,
10:14.0,,,5-6,2,T. Parker makes 2-pt shot from 8 ft
9:57.0,W. Selden misses 3-pt shot from 26 ft,,5-6,,
9:56.0,,,5-6,,Defensive rebound by K. Leonard
9:45.0,,,5-6,,Shooting foul by J. Green (drawn by D. Dedmon)
9:45.0,,,5-7,1,D. Dedmon makes free throw 1 of 2
9:45.0,,,5-8,1,D. Dedmon makes free throw 2 of 2
9:28.0,V. Carter makes 2-pt shot at rim (assist by M. Conley),2,7-8,,
9:14.0,,,7-8,,Shooting foul by W. Selden (drawn by L. Aldridge)
9:14.0,,,7-9,1,L. Aldridge makes free throw 1 of 2
9:14.0,,,7-10,1,L. Aldridge makes free throw 2 of 2
8:55.0,V. Carter misses 2-pt shot from 4 ft,,7-10,,
8:53.0,,,7-10,,Defensive rebound by D. Dedmon
8:45.0,,,7-10,,T. Parker misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by J. Green,,7-10,,
8:36.0,J. Green misses 2-pt shot from 19 ft,,7-10,,
8:35.0,,,7-10,,Defensive rebound by T. Parker
8:24.0,,,7-12,2,L. Aldridge makes 2-pt shot from 6 ft
8:24.0,,,7-12,,Shooting foul by J. Green (drawn by L. Aldridge)
8:24.0,,,7-13,1,L. Aldridge makes free throw 1 of 1
