time,Detroit,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (M. Morris gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (M. Morris gains possession)
11:38.0,A. Drummond misses 2-pt shot from 18 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by B. Griffin
11:22.0,,,0-2,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
11:05.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by D. Jordan
10:52.0,,,0-2,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by M. Morris)
10:47.0,Defensive rebound by K. Caldwell-Pope,,0-2,,
10:45.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,2-2,,
10:29.0,Personal foul by T. Harris (drawn by B. Griffin),,2-2,,
10:24.0,Violation by I. Smith (def goaltending),,2-2,,
10:24.0,,,2-4,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin)
10:12.0,T. Harris misses 3-pt shot from 26 ft,,2-4,,
10:10.0,Offensive rebound by A. Drummond,,2-4,,
10:03.0,A. Drummond makes 2-pt shot from 10 ft,2,4-4,,
9:50.0,,,4-4,,J. Redick misses 2-pt shot from 20 ft
9:49.0,Defensive rebound by T. Harris,,4-4,,
9:39.0,T. Harris makes 2-pt shot from 2 ft (assist by I. Smith),2,6-4,,
9:29.0,,,6-7,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
9:13.0,T. Harris misses 2-pt shot from 18 ft,,6-7,,
9:11.0,Offensive rebound by A. Drummond,,6-7,,
9:07.0,Jump ball: A. Drummond vs. D. Jordan (T. Harris gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (T. Harris gains possession)
8:53.0,A. Drummond misses 2-pt shot from 11 ft,,6-7,,
8:49.0,,,6-7,,Defensive rebound by C. Paul
8:44.0,,,6-9,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
8:29.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,6-9,,
8:27.0,,,6-9,,Defensive rebound by B. Griffin
8:07.0,,,6-11,2,C. Paul makes 2-pt shot from 18 ft
7:47.0,M. Morris makes 2-pt shot from 18 ft,2,8-11,,
7:32.0,,,8-13,2,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin)
7:20.0,Detroit full timeout,,8-13,,
7:13.0,Turnover by A. Drummond (bad pass),,8-13,,
7:09.0,,,8-15,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
6:51.0,M. Morris misses 2-pt shot from 15 ft,,8-15,,
6:49.0,,,8-15,,Defensive rebound by D. Jordan
6:40.0,,,8-17,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
6:24.0,I. Smith misses 2-pt shot from 17 ft,,8-17,,
6:22.0,,,8-17,,Defensive rebound by D. Jordan
6:17.0,Personal foul by I. Smith (drawn by C. Paul),,8-17,,
6:09.0,,,8-17,,B. Griffin misses 2-pt shot from 7 ft
6:05.0,Defensive rebound by A. Drummond,,8-17,,
5:56.0,T. Harris misses 3-pt shot from 26 ft,,8-17,,
5:54.0,,,8-17,,Defensive rebound by D. Jordan
5:41.0,,,8-17,,B. Griffin misses 2-pt shot from 21 ft
5:39.0,,,8-17,,Offensive rebound by B. Griffin
5:35.0,,,8-20,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
5:12.0,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute),,8-20,,
5:01.0,,,8-20,,C. Paul misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by A. Drummond,,8-20,,
4:51.0,I. Smith misses 2-pt shot from 16 ft,,8-20,,
4:48.0,,,8-20,,Defensive rebound by C. Paul
4:39.0,,,8-22,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
4:30.0,Detroit full timeout,,8-22,,
4:30.0,J. Leuer enters the game for M. Morris,,8-22,,
4:16.0,Turnover by I. Smith (bad pass; steal by L. Mbah a Moute),,8-22,,
4:01.0,,,8-24,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by B. Griffin)
3:48.0,I. Smith misses 2-pt shot from 18 ft,,8-24,,
3:45.0,,,8-24,,Defensive rebound by B. Griffin
3:32.0,,,8-26,2,B. Griffin makes 2-pt shot from 2 ft
3:09.0,K. Caldwell-Pope misses 2-pt shot at rim,,8-26,,
3:07.0,,,8-26,,Defensive rebound by C. Paul
2:54.0,,,8-28,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
2:41.0,Turnover by A. Drummond (lost ball; steal by C. Paul),,8-28,,
2:37.0,,,8-28,,Turnover by D. Jordan (offensive goaltending)
2:37.0,,,8-28,,Technical foul by D. Jordan
2:37.0,K. Caldwell-Pope misses technical free throw,,8-28,,
2:37.0,Offensive rebound by Team,,8-28,,
2:37.0,,,8-28,,A. Rivers enters the game for J. Redick
2:37.0,,,8-28,,J. Crawford enters the game for C. Paul
2:37.0,A. Baynes enters the game for A. Drummond,,8-28,,
2:37.0,B. Udrih enters the game for I. Smith,,8-28,,
2:37.0,S. Johnson enters the game for K. Caldwell-Pope,,8-28,,
2:30.0,,,8-28,,Violation by A. Rivers (kicked ball)
2:30.0,,,8-28,,R. Felton enters the game for L. Mbah a Moute
2:18.0,T. Harris makes 2-pt shot from 4 ft,2,10-28,,
1:54.0,,,10-28,,Turnover by D. Jordan (lost ball)
1:54.0,,,10-28,,Loose ball foul by A. Rivers (drawn by B. Udrih)
1:54.0,,,10-28,,M. Speights enters the game for D. Jordan
1:41.0,S. Johnson makes 3-pt shot from 26 ft,3,13-28,,
1:19.0,,,13-28,,A. Rivers misses 2-pt shot from 19 ft
1:18.0,Defensive rebound by S. Johnson,,13-28,,
1:10.0,J. Leuer makes 2-pt shot from 1 ft (assist by B. Udrih),2,15-28,,
0:55.0,,,15-28,,Shooting foul by A. Baynes (drawn by M. Speights)
0:55.0,,,15-29,1,M. Speights makes free throw 1 of 3
0:55.0,,,15-30,1,M. Speights makes free throw 2 of 3
0:55.0,,,15-31,1,M. Speights makes free throw 3 of 3
0:55.0,,,15-30,,W. Johnson enters the game for B. Griffin
0:36.0,Turnover by T. Harris (bad pass; steal by J. Crawford),,15-31,,
0:32.0,,,15-33,2,W. Johnson makes 2-pt shot from 1 ft (assist by J. Crawford)
0:16.0,Offensive foul by A. Baynes,,15-33,,
0:16.0,Turnover by A. Baynes (offensive foul),,15-33,,
0:02.0,,,15-33,,A. Rivers misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by A. Baynes,,15-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,15-36,3,W. Johnson makes 3-pt shot from 27 ft (assist by R. Felton)
11:18.0,B. Udrih misses 2-pt shot from 17 ft,,15-36,,
11:16.0,,,15-36,,Defensive rebound by M. Speights
10:54.0,,,15-39,3,R. Felton makes 3-pt shot from 27 ft
10:32.0,M. Morris misses 2-pt shot from 9 ft,,15-39,,
10:30.0,,,15-39,,Defensive rebound by Team
10:30.0,Violation by Team (jump ball),,15-39,,
10:17.0,,,15-39,,W. Johnson misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by A. Baynes,,15-39,,
10:08.0,B. Udrih misses 2-pt shot from 14 ft (block by R. Felton),,15-39,,
10:05.0,Offensive rebound by B. Udrih,,15-39,,
10:03.0,J. Leuer makes 2-pt shot at rim (assist by S. Johnson),2,17-39,,
9:47.0,,,17-39,,J. Crawford misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by Team,,17-39,,
9:44.0,Offensive foul by J. Leuer,,17-39,,
9:44.0,Turnover by J. Leuer (offensive foul),,17-39,,
9:32.0,,,17-42,3,J. Crawford makes 3-pt shot from 27 ft (assist by R. Felton)
9:24.0,,,17-42,,Personal foul by R. Felton (drawn by B. Udrih)
9:12.0,A. Baynes misses 2-pt shot from 18 ft,,17-42,,
9:11.0,,,17-42,,Defensive rebound by R. Felton
9:04.0,,,17-42,,M. Speights misses 3-pt shot from 27 ft
9:02.0,Defensive rebound by A. Baynes,,17-42,,
8:49.0,M. Morris makes 2-pt shot from 9 ft (assist by B. Udrih),2,19-42,,
8:35.0,,,19-42,,Turnover by W. Johnson (lost ball)
8:35.0,Official timeout,,19-42,,
8:19.0,Turnover by M. Morris (bad pass; steal by R. Felton),,19-42,,
8:16.0,Personal foul by B. Udrih (drawn by R. Felton),,19-42,,
8:04.0,,,19-42,,A. Rivers misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by J. Leuer,,19-42,,
7:58.0,,,19-42,,Personal foul by M. Speights (drawn by B. Udrih)
7:47.0,A. Baynes misses 2-pt shot from 13 ft,,19-42,,
7:44.0,,,19-42,,Defensive rebound by R. Felton
7:44.0,,,19-44,2,R. Felton makes 2-pt shot from 3 ft
7:44.0,,,19-44,,Shooting foul by J. Leuer (drawn by R. Felton)
7:44.0,,,19-45,1,R. Felton makes free throw 1 of 1
7:44.0,A. Drummond enters the game for A. Baynes,,19-44,,
7:44.0,T. Harris enters the game for J. Leuer,,19-44,,
7:27.0,S. Johnson misses 2-pt shot from 4 ft,,19-45,,
7:26.0,,,19-45,,Defensive rebound by R. Felton
7:16.0,,,19-45,,Shooting foul by A. Drummond (drawn by M. Speights)
7:16.0,,,19-46,1,M. Speights makes free throw 1 of 2
7:16.0,,,19-47,1,M. Speights makes free throw 2 of 2
7:16.0,I. Smith enters the game for B. Udrih,,19-46,,
7:02.0,A. Drummond misses 2-pt shot from 16 ft,,19-47,,
6:59.0,,,19-47,,Defensive rebound by W. Johnson
6:51.0,,,19-47,,J. Crawford misses 2-pt shot from 20 ft
6:48.0,Defensive rebound by A. Drummond,,19-47,,
6:43.0,Turnover by I. Smith (lost ball; steal by R. Felton),,19-47,,
6:37.0,,,19-47,,W. Johnson misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by A. Drummond,,19-47,,
6:27.0,T. Harris makes 2-pt shot from 6 ft (assist by I. Smith),2,21-47,,
6:08.0,,,21-47,,M. Speights misses 3-pt shot from 27 ft
6:06.0,Defensive rebound by M. Morris,,21-47,,
6:06.0,,,21-47,,Personal foul by M. Speights (drawn by I. Smith)
6:06.0,,,21-47,,D. Jordan enters the game for M. Speights
6:06.0,,,21-47,,L. Mbah a Moute enters the game for A. Rivers
6:06.0,,,21-47,,C. Paul enters the game for R. Felton
5:59.0,,,21-47,,Personal foul by W. Johnson (drawn by M. Morris)
5:59.0,,,21-47,,LA Clippers full timeout
5:59.0,,,21-47,,J. Redick enters the game for J. Crawford
5:59.0,,,21-47,,B. Griffin enters the game for W. Johnson
5:48.0,Shooting foul by B. Griffin (drawn by T. Harris),,21-47,,
5:48.0,T. Harris makes free throw 1 of 2,1,22-47,,
5:48.0,T. Harris makes free throw 2 of 2,1,23-47,,
5:48.0,K. Caldwell-Pope enters the game for S. Johnson,,22-47,,
5:39.0,,,23-47,,Turnover by B. Griffin (bad pass; steal by A. Drummond)
5:35.0,Shooting foul by B. Griffin (drawn by A. Drummond),,23-47,,
5:35.0,A. Drummond makes free throw 1 of 2,1,24-47,,
5:35.0,A. Drummond makes free throw 2 of 2,1,25-47,,
5:20.0,,,25-47,,Shooting foul by K. Caldwell-Pope (drawn by J. Redick)
5:20.0,,,25-48,1,J. Redick makes free throw 1 of 2
5:20.0,,,25-49,1,J. Redick makes free throw 2 of 2
5:08.0,I. Smith makes 2-pt shot from 3 ft,2,27-49,,
4:45.0,,,27-49,,J. Redick misses 2-pt shot from 13 ft
4:42.0,Defensive rebound by T. Harris,,27-49,,
4:38.0,Shooting foul by C. Paul (drawn by A. Drummond),,27-49,,
4:38.0,A. Drummond makes free throw 1 of 2,1,28-49,,
4:38.0,A. Drummond misses free throw 2 of 2,,28-49,,
4:36.0,,,28-49,,Defensive rebound by B. Griffin
4:21.0,,,28-52,3,C. Paul makes 3-pt shot from 26 ft (assist by D. Jordan)
4:04.0,T. Harris misses 2-pt shot from 19 ft,,28-52,,
4:01.0,,,28-52,,Defensive rebound by D. Jordan
3:43.0,,,28-52,,B. Griffin misses 2-pt shot from 12 ft
3:40.0,Defensive rebound by A. Drummond,,28-52,,
3:32.0,M. Morris makes 2-pt shot from 11 ft,2,30-52,,
3:24.0,,,30-52,,B. Griffin misses 2-pt shot from 8 ft
3:20.0,Defensive rebound by I. Smith,,30-52,,
3:14.0,T. Harris misses 3-pt shot from 24 ft,,30-52,,
3:11.0,,,30-52,,Defensive rebound by C. Paul
3:10.0,,,30-52,,LA Clippers full timeout
3:10.0,J. Leuer enters the game for T. Harris,,30-52,,
3:08.0,,,30-52,,Turnover by L. Mbah a Moute (bad pass; steal by A. Drummond)
3:05.0,A. Drummond makes 2-pt shot at rim,2,32-52,,
2:45.0,Personal foul by A. Drummond (drawn by C. Paul),,32-52,,
2:45.0,,,32-52,,C. Paul misses free throw 1 of 2
2:45.0,,,32-52,,Offensive rebound by Team
2:45.0,,,32-53,1,C. Paul makes free throw 2 of 2
2:28.0,M. Morris misses 2-pt shot from 14 ft,,32-53,,
2:25.0,,,32-53,,Defensive rebound by B. Griffin
2:05.0,,,32-53,,B. Griffin misses 2-pt shot from 6 ft
2:01.0,Defensive rebound by A. Drummond,,32-53,,
1:57.0,M. Morris misses 3-pt shot from 26 ft,,32-53,,
1:54.0,,,32-53,,Defensive rebound by C. Paul
1:46.0,,,32-55,2,C. Paul makes 2-pt shot from 19 ft
1:30.0,I. Smith misses 2-pt shot from 2 ft,,32-55,,
1:28.0,,,32-55,,Defensive rebound by D. Jordan
1:20.0,,,32-55,,Shooting foul by M. Morris (drawn by B. Griffin)
1:20.0,,,32-56,1,B. Griffin makes free throw 1 of 2
1:20.0,,,32-57,1,B. Griffin makes free throw 2 of 2
1:20.0,T. Harris enters the game for J. Leuer,,32-56,,
1:20.0,A. Baynes enters the game for A. Drummond,,32-56,,
1:00.0,I. Smith misses 2-pt shot from 14 ft,,32-57,,
0:58.0,,,32-57,,Defensive rebound by B. Griffin
0:52.0,Personal foul by I. Smith (drawn by C. Paul),,32-57,,
0:52.0,,,32-58,1,C. Paul makes free throw 1 of 2
0:52.0,,,32-59,1,C. Paul makes free throw 2 of 2
0:52.0,B. Udrih enters the game for I. Smith,,32-58,,
0:35.0,T. Harris misses 2-pt shot from 2 ft (block by D. Jordan),,32-59,,
0:32.0,,,32-59,,Defensive rebound by L. Mbah a Moute
0:30.0,,,32-62,3,C. Paul makes 3-pt shot from 27 ft
0:13.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,32-62,,
0:11.0,,,32-62,,Defensive rebound by D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,32-62,,D. Jordan misses 2-pt shot from 5 ft (block by A. Drummond)
11:42.0,Defensive rebound by A. Drummond,,32-62,,
11:34.0,T. Harris misses 2-pt shot from 18 ft,,32-62,,
11:32.0,,,32-62,,Defensive rebound by J. Redick
11:17.0,,,32-64,2,C. Paul makes 2-pt shot from 17 ft
10:50.0,T. Harris makes 2-pt shot from 9 ft,2,34-64,,
10:36.0,,,34-67,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
10:20.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,34-67,,
10:17.0,,,34-67,,Defensive rebound by D. Jordan
10:00.0,,,34-69,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
10:00.0,,,34-69,,Shooting foul by I. Smith (drawn by J. Redick)
10:00.0,,,34-70,1,J. Redick makes free throw 1 of 1
9:48.0,I. Smith misses 2-pt shot from 2 ft (block by C. Paul),,34-70,,
9:45.0,Offensive rebound by M. Morris,,34-70,,
9:42.0,Shooting foul by D. Jordan (drawn by K. Caldwell-Pope),,34-70,,
9:42.0,K. Caldwell-Pope misses free throw 1 of 2,,34-70,,
9:42.0,Offensive rebound by Team,,34-70,,
9:42.0,K. Caldwell-Pope makes free throw 2 of 2,1,35-70,,
9:26.0,,,35-73,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
9:13.0,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith),2,37-73,,
9:13.0,Shooting foul by L. Mbah a Moute (drawn by A. Drummond),,37-73,,
9:13.0,A. Drummond misses free throw 1 of 1,,37-73,,
9:12.0,,,37-73,,Defensive rebound by B. Griffin
8:52.0,,,37-75,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:35.0,M. Morris makes 2-pt shot from 15 ft,2,39-75,,
8:16.0,,,39-75,,Turnover by D. Jordan (bad pass)
7:54.0,M. Morris makes 2-pt shot from 13 ft,2,41-75,,
7:30.0,,,41-75,,Turnover by D. Jordan (3 sec)
7:17.0,T. Harris makes 2-pt shot from 4 ft,2,43-75,,
6:52.0,,,43-75,,B. Griffin misses 3-pt shot from 25 ft
6:51.0,,,43-75,,Offensive rebound by Team
6:51.0,,,43-75,,Turnover by Team (shot clock)
6:36.0,I. Smith misses 2-pt shot from 22 ft,,43-75,,
6:35.0,,,43-75,,Defensive rebound by D. Jordan
6:24.0,,,43-75,,Shooting foul by K. Caldwell-Pope (drawn by J. Redick)
6:24.0,,,43-76,1,J. Redick makes free throw 1 of 2
6:24.0,,,43-77,1,J. Redick makes free throw 2 of 2
6:01.0,Turnover by A. Drummond (bad pass; steal by C. Paul),,43-77,,
5:56.0,,,43-80,3,C. Paul makes 3-pt shot from 25 ft
5:56.0,Detroit full timeout,,43-80,,
5:56.0,J. Leuer enters the game for M. Morris,,43-80,,
5:33.0,I. Smith misses 2-pt shot from 2 ft,,43-80,,
5:32.0,Offensive rebound by A. Drummond,,43-80,,
5:32.0,A. Drummond makes 2-pt shot from 2 ft,2,45-80,,
5:12.0,,,45-82,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
4:55.0,A. Drummond makes 2-pt shot from 13 ft (assist by J. Leuer),2,47-82,,
4:33.0,,,47-82,,J. Redick misses 3-pt shot from 25 ft
