time,Houston,pts.away,score,pts.home,New Orleans
2:00.0,,,25-18,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Frazier)
2:00.0,,,25-18,,Shooting foul by C. Capela (drawn by A. Davis)
2:00.0,,,25-19,1,A. Davis makes free throw 1 of 1
1:44.0,E. Gordon misses 3-pt shot from 26 ft,,25-19,,
1:43.0,,,25-19,,Defensive rebound by O. Casspi
1:32.0,,,25-19,,A. Davis misses 2-pt shot from 7 ft
1:31.0,Defensive rebound by S. Dekker,,25-19,,
1:24.0,C. Capela misses 2-pt shot from 1 ft (block by A. Davis),,25-19,,
1:23.0,,,25-19,,Defensive rebound by T. Frazier
1:19.0,,,25-21,2,D. Cunningham makes 2-pt shot at rim (assist by A. Davis)
1:11.0,Shooting foul by D. Cunningham (drawn by J. Harden),,25-21,,
1:11.0,J. Harden makes free throw 1 of 3,1,26-21,,
1:11.0,J. Harden makes free throw 2 of 3,1,27-21,,
1:11.0,J. Harden makes free throw 3 of 3,1,28-21,,
1:11.0,,,27-21,,D. Cousins enters the game for A. Davis
0:57.0,,,28-24,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins)
0:50.0,Turnover by J. Harden (lost ball; steal by D. Cousins),,28-24,,
0:46.0,,,28-26,2,O. Casspi makes 2-pt shot at rim (assist by S. Hill)
0:41.0,E. Gordon makes 2-pt shot from 2 ft,2,30-26,,
0:24.0,,,30-26,,Shooting foul by C. Capela (drawn by D. Cousins)
0:24.0,,,30-27,1,D. Cousins makes free throw 1 of 2
0:24.0,,,30-28,1,D. Cousins makes free throw 2 of 2
0:02.0,J. Harden misses 2-pt shot from 2 ft (block by D. Cousins),,30-28,,
0:02.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,L. Williams misses 2-pt shot from 3 ft,,30-28,,
11:40.0,,,30-28,,Defensive rebound by D. Motiejunas
11:27.0,,,30-30,2,D. Cousins makes 2-pt shot from 2 ft (assist by D. Cunningham)
11:16.0,E. Gordon misses 2-pt shot from 2 ft,,30-30,,
11:16.0,,,30-30,,Defensive rebound by D. Cousins
11:07.0,,,30-30,,O. Casspi misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by N. Hilario,,30-30,,
10:53.0,Turnover by P. Beverley (bad pass; steal by D. Cousins),,30-30,,
10:46.0,,,30-30,,Offensive charge foul by O. Casspi
10:46.0,,,30-30,,Turnover by O. Casspi (offensive foul)
10:37.0,E. Gordon misses 3-pt shot from 26 ft,,30-30,,
10:35.0,,,30-30,,Defensive rebound by T. Frazier
10:28.0,,,30-30,,T. Frazier misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by S. Dekker,,30-30,,
10:16.0,N. Hilario makes 2-pt shot from 19 ft (assist by S. Dekker),2,32-30,,
9:59.0,,,32-30,,Turnover by D. Motiejunas (bad pass; steal by P. Beverley)
9:52.0,S. Dekker makes 3-pt shot from 24 ft (assist by P. Beverley),3,35-30,,
9:29.0,,,35-30,,D. Motiejunas misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by P. Beverley,,35-30,,
9:23.0,S. Dekker makes 2-pt shot from 2 ft (assist by P. Beverley),2,37-30,,
9:19.0,,,37-30,,New Orleans full timeout
9:12.0,Def 3 sec tech foul by E. Gordon,,37-30,,
9:12.0,,,37-30,,D. Cousins misses technical free throw
9:12.0,,,37-30,,Offensive rebound by Team
8:58.0,,,37-33,3,D. Cunningham makes 3-pt shot from 25 ft (assist by T. Frazier)
8:40.0,L. Williams misses 3-pt shot from 27 ft,,37-33,,
8:40.0,,,37-33,,Defensive rebound by D. Cunningham
8:18.0,,,37-33,,D. Cousins misses 3-pt shot from 27 ft
8:17.0,Defensive rebound by P. Beverley,,37-33,,
8:10.0,E. Gordon makes 3-pt shot from 25 ft,3,40-33,,
7:58.0,Jump ball: T. Frazier vs. N. Hilario (D. Cousins gains possession),,,,Jump ball: T. Frazier vs. N. Hilario (D. Cousins gains possession)
7:52.0,,,40-35,2,D. Cousins makes 2-pt shot from 2 ft
7:42.0,E. Gordon makes 3-pt shot from 27 ft (assist by P. Beverley),3,43-35,,
7:28.0,,,43-35,,Turnover by D. Cunningham (bad pass; steal by E. Gordon)
7:20.0,E. Gordon misses 3-pt shot from 28 ft,,43-35,,
7:18.0,Offensive rebound by L. Williams,,43-35,,
7:09.0,L. Williams makes 3-pt shot from 26 ft (assist by P. Beverley),3,46-35,,
