time,Utah,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Thompson (K. Love gains possession),,,,Jump ball: R. Gobert vs. T. Thompson (K. Love gains possession)
11:46.0,,,0-2,2,K. Irving makes 2-pt shot from 15 ft
11:30.0,G. Hayward misses 2-pt shot from 8 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by K. Love
11:17.0,,,0-4,2,K. Irving makes 2-pt shot from 10 ft
10:54.0,J. Ingles misses 3-pt shot from 26 ft,,0-4,,
10:53.0,,,0-4,,Defensive rebound by K. Love
10:32.0,,,0-6,2,I. Shumpert makes 2-pt shot from 20 ft
10:19.0,Turnover by J. Johnson (bad pass),,0-6,,
10:03.0,,,0-6,,K. Irving misses 2-pt shot from 3 ft
10:01.0,,,0-6,,Offensive rebound by T. Thompson
10:00.0,,,0-6,,Turnover by T. Thompson (bad pass; steal by J. Ingles)
9:40.0,G. Hill misses 2-pt shot from 20 ft,,0-6,,
9:38.0,Offensive rebound by R. Gobert,,0-6,,
9:26.0,G. Hill makes 2-pt shot from 20 ft,2,2-6,,
8:56.0,,,2-6,,L. James misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by J. Johnson,,2-6,,
8:52.0,Shooting foul by K. Irving (drawn by G. Hayward),,2-6,,
8:52.0,G. Hayward makes free throw 1 of 2,1,3-6,,
8:52.0,G. Hayward makes free throw 2 of 2,1,4-6,,
8:41.0,,,4-6,,K. Love misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by R. Gobert,,4-6,,
8:17.0,J. Ingles makes 2-pt shot from 20 ft (assist by G. Hayward),2,6-6,,
7:56.0,,,6-6,,L. James misses 2-pt shot from 10 ft
7:56.0,,,6-6,,Offensive rebound by T. Thompson
7:56.0,Personal foul by G. Hayward (drawn by T. Thompson),,6-6,,
7:43.0,,,6-8,2,K. Love makes 2-pt shot from 18 ft (assist by K. Irving)
7:14.0,J. Ingles makes 2-pt shot from 5 ft (assist by G. Hayward),2,8-8,,
7:04.0,,,8-8,,I. Shumpert misses 2-pt shot from 13 ft
7:04.0,Defensive rebound by R. Gobert,,8-8,,
6:57.0,G. Hayward misses 3-pt shot from 24 ft,,8-8,,
6:56.0,,,8-8,,Defensive rebound by K. Irving
6:47.0,,,8-8,,I. Shumpert misses 3-pt shot from 25 ft
6:46.0,,,8-8,,Offensive rebound by K. Love
6:44.0,,,8-10,2,K. Love makes 2-pt shot at rim
6:27.0,Turnover by G. Hayward (bad pass),,8-10,,
6:13.0,,,8-10,,I. Shumpert misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by J. Johnson,,8-10,,
6:05.0,G. Hill makes 3-pt shot from 26 ft,3,11-10,,
5:48.0,,,11-13,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
5:45.0,Utah full timeout,,11-13,,
5:45.0,D. Exum enters the game for J. Johnson,,11-13,,
5:45.0,B. Diaw enters the game for G. Hill,,11-13,,
5:31.0,G. Hayward makes 2-pt shot from 18 ft,2,13-13,,
5:17.0,,,13-15,2,K. Love makes 2-pt shot at rim (assist by L. James)
4:54.0,J. Ingles makes 3-pt shot from 27 ft (assist by G. Hayward),3,16-15,,
4:39.0,,,16-17,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:19.0,R. Gobert makes 2-pt shot from 8 ft (assist by D. Exum),2,18-17,,
3:58.0,,,18-19,2,I. Shumpert makes 2-pt shot from 9 ft
3:45.0,G. Hayward misses 2-pt shot from 19 ft,,18-19,,
3:44.0,,,18-19,,Defensive rebound by L. James
3:38.0,,,18-19,,I. Shumpert misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by R. Gobert,,18-19,,
3:25.0,Turnover by D. Exum (lost ball),,18-19,,
3:25.0,A. Burks enters the game for J. Ingles,,18-19,,
3:25.0,,,18-19,,J. Smith enters the game for K. Love
3:09.0,,,18-21,2,K. Irving makes 2-pt shot from 19 ft
2:42.0,A. Burks misses 2-pt shot from 8 ft,,18-21,,
2:42.0,,,18-21,,Defensive rebound by J. Smith
2:35.0,,,18-21,,K. Irving misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by G. Hayward,,18-21,,
2:17.0,Turnover by G. Hayward (bad pass; steal by J. Smith),,18-21,,
2:15.0,Personal foul by A. Burks (drawn by L. James),,18-21,,
2:15.0,,,18-21,,Cleveland full timeout
2:15.0,,,18-21,,D. Williams enters the game for L. James
2:15.0,,,18-21,,R. Jefferson enters the game for I. Shumpert
2:15.0,J. Withey enters the game for G. Hayward,,18-21,,
2:15.0,J. Ingles enters the game for R. Gobert,,18-21,,
2:06.0,,,18-24,3,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving)
1:54.0,Turnover by A. Burks (bad pass),,18-24,,
1:47.0,,,18-24,,K. Irving misses 2-pt shot from 13 ft
1:47.0,Defensive rebound by Team,,18-24,,
1:47.0,,,18-24,,Loose ball foul by T. Thompson (drawn by J. Withey)
1:47.0,,,18-24,,C. Frye enters the game for T. Thompson
1:34.0,A. Burks misses 2-pt shot from 10 ft,,18-24,,
1:33.0,,,18-24,,Defensive rebound by R. Jefferson
1:20.0,,,18-27,3,J. Smith makes 3-pt shot from 23 ft (assist by C. Frye)
0:59.0,J. Ingles misses 3-pt shot from 26 ft,,18-27,,
0:59.0,Offensive rebound by D. Exum,,18-27,,
0:47.0,D. Exum misses 2-pt shot at rim,,18-27,,
0:44.0,,,18-27,,Defensive rebound by C. Frye
0:34.0,,,18-27,,J. Smith misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Ingles,,18-27,,
0:25.0,J. Ingles makes 2-pt shot from 13 ft,2,20-27,,
0:04.0,,,20-27,,Shooting foul by D. Exum (drawn by K. Irving)
0:04.0,,,20-28,1,K. Irving makes free throw 1 of 2
0:04.0,,,20-29,1,K. Irving makes free throw 2 of 2
0:04.0,,,20-28,,D. Liggins enters the game for C. Frye
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
