time,Toronto,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Valanciunas (D. Cousins gains possession),,,,Jump ball: A. Davis vs. J. Valanciunas (D. Cousins gains possession)
11:43.0,,,0-0,,D. Cousins misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by P. Tucker,,0-0,,
11:21.0,J. Valanciunas misses 2-pt shot from 5 ft (block by D. Cousins),,0-0,,
11:18.0,,,0-0,,Defensive rebound by A. Davis
11:05.0,,,0-3,3,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday)
10:47.0,J. Valanciunas misses 2-pt shot from 2 ft,,0-3,,
10:47.0,,,0-3,,Defensive rebound by D. Cousins
10:38.0,,,0-5,2,D. Cousins makes 2-pt shot from 1 ft
10:20.0,C. Joseph misses 2-pt shot from 20 ft,,0-5,,
10:20.0,,,0-5,,Defensive rebound by S. Hill
10:16.0,,,0-5,,S. Hill misses 2-pt shot from 1 ft (block by S. Ibaka)
10:16.0,,,0-5,,Offensive rebound by Team
10:07.0,,,0-5,,J. Holiday misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by J. Valanciunas,,0-5,,
9:50.0,D. DeRozan misses 2-pt shot from 14 ft,,0-5,,
9:49.0,,,0-5,,Defensive rebound by D. Cousins
9:39.0,Def 3 sec tech foul by J. Valanciunas,,0-5,,
9:39.0,,,0-5,,A. Davis misses technical free throw
9:39.0,,,0-5,,Offensive rebound by Team
9:31.0,,,0-5,,J. Holiday misses 2-pt shot from 4 ft
9:30.0,Defensive rebound by C. Joseph,,0-5,,
9:17.0,S. Ibaka misses 2-pt shot from 15 ft,,0-5,,
9:16.0,,,0-5,,Defensive rebound by H. Thompson
9:05.0,,,0-5,,Turnover by D. Cousins (bad pass; steal by S. Ibaka)
8:53.0,S. Ibaka misses 2-pt shot from 20 ft,,0-5,,
8:52.0,,,0-5,,Defensive rebound by S. Hill
8:41.0,,,0-5,,D. Cousins misses 2-pt shot from 3 ft
8:40.0,,,0-5,,Offensive rebound by D. Cousins
8:40.0,,,0-7,2,D. Cousins makes 2-pt shot from 2 ft
8:40.0,,,0-7,,Shooting foul by S. Ibaka (drawn by D. Cousins)
8:40.0,,,0-8,1,D. Cousins makes free throw 1 of 1
8:26.0,D. DeRozan makes 2-pt shot from 1 ft,2,2-8,,
8:26.0,Shooting foul by J. Holiday (drawn by D. DeRozan),,2-8,,
8:26.0,D. DeRozan makes free throw 1 of 1,1,3-8,,
8:10.0,,,3-11,3,H. Thompson makes 3-pt shot from 23 ft (assist by D. Cousins)
8:00.0,Toronto full timeout,,3-11,,
7:44.0,D. DeRozan misses 2-pt shot from 17 ft,,3-11,,
7:43.0,,,3-11,,Defensive rebound by A. Davis
7:36.0,Personal foul by S. Ibaka (drawn by D. Cousins),,3-11,,
7:36.0,P. Patterson enters the game for S. Ibaka,,3-11,,
7:28.0,,,3-11,,H. Thompson misses 2-pt shot from 2 ft (block by P. Tucker)
7:27.0,Defensive rebound by P. Tucker,,3-11,,
7:10.0,Turnover by C. Joseph (lost ball),,3-11,,
6:55.0,,,3-11,,A. Davis misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by J. Valanciunas,,3-11,,
6:47.0,P. Tucker makes 2-pt shot from 22 ft (assist by C. Joseph),2,5-11,,
6:38.0,,,5-11,,D. Cousins misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by P. Tucker,,5-11,,
6:26.0,P. Patterson makes 3-pt shot from 24 ft (assist by P. Tucker),3,8-11,,
6:15.0,,,8-13,2,J. Holiday makes 2-pt shot from 2 ft
6:02.0,C. Joseph misses 3-pt shot from 23 ft,,8-13,,
6:00.0,,,8-13,,Defensive rebound by H. Thompson
5:44.0,,,8-16,3,D. Cousins makes 3-pt shot from 25 ft (assist by H. Thompson)
5:24.0,,,8-16,,Personal foul by A. Davis (drawn by J. Valanciunas)
5:20.0,Turnover by C. Joseph (bad pass; steal by J. Holiday),,8-16,,
5:15.0,,,8-18,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:50.0,J. Valanciunas makes 2-pt shot from 5 ft,2,10-18,,
4:50.0,Shooting foul by H. Thompson (drawn by J. Valanciunas),,10-18,,
4:50.0,J. Valanciunas makes free throw 1 of 1,1,11-18,,
4:50.0,,,10-18,,A. Ajinca enters the game for D. Cousins
4:50.0,,,10-18,,E. Moore enters the game for H. Thompson
4:38.0,,,11-18,,J. Holiday misses 2-pt shot from 6 ft
4:36.0,Defensive rebound by P. Tucker,,11-18,,
4:16.0,J. Valanciunas makes 2-pt shot from 11 ft,2,13-18,,
4:16.0,Shooting foul by A. Ajinca (drawn by J. Valanciunas),,13-18,,
4:16.0,J. Valanciunas makes free throw 1 of 1,1,14-18,,
4:03.0,,,14-18,,A. Davis misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by P. Patterson,,14-18,,
3:51.0,D. DeRozan misses 2-pt shot from 5 ft (block by E. Moore),,14-18,,
3:50.0,,,14-18,,Defensive rebound by S. Hill
3:45.0,,,14-18,,Turnover by S. Hill (bad pass)
3:45.0,D. Wright enters the game for C. Joseph,,14-18,,
3:45.0,N. Powell enters the game for P. Tucker,,14-18,,
3:30.0,J. Valanciunas misses 2-pt shot from 5 ft,,14-18,,
3:27.0,Offensive rebound by D. Wright,,14-18,,
3:23.0,D. Wright misses 2-pt shot from 2 ft,,14-18,,
3:20.0,Offensive rebound by J. Valanciunas,,14-18,,
3:13.0,Shooting foul by S. Hill (drawn by P. Patterson),,14-18,,
3:13.0,P. Patterson makes free throw 1 of 2,1,15-18,,
3:13.0,P. Patterson misses free throw 2 of 2,,15-18,,
3:13.0,J. Poeltl enters the game for J. Valanciunas,,15-18,,
3:12.0,,,15-18,,Defensive rebound by A. Davis
3:05.0,,,15-20,2,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday)
2:37.0,Shooting foul by E. Moore (drawn by J. Poeltl),,15-20,,
2:37.0,,,15-20,,New Orleans full timeout
2:37.0,J. Poeltl misses free throw 1 of 2,,15-20,,
2:37.0,Offensive rebound by Team,,15-20,,
2:37.0,J. Poeltl misses free throw 2 of 2,,15-20,,
2:37.0,P. Tucker enters the game for D. DeRozan,,15-20,,
2:37.0,,,15-20,,T. Frazier enters the game for J. Holiday
2:37.0,,,15-20,,D. Cunningham enters the game for S. Hill
2:36.0,,,15-20,,Defensive rebound by A. Ajinca
2:23.0,,,15-22,2,A. Ajinca makes 2-pt shot at rim (assist by A. Davis)
2:23.0,,,15-22,,Shooting foul by P. Tucker (drawn by A. Ajinca)
2:23.0,,,15-23,1,A. Ajinca makes free throw 1 of 1
1:59.0,N. Powell makes 3-pt shot from 26 ft,3,18-23,,
1:43.0,Def 3 sec tech foul by J. Poeltl,,18-23,,
1:43.0,,,18-24,1,A. Davis makes technical free throw
1:39.0,,,18-24,,Turnover by A. Davis (bad pass; steal by D. Wright)
1:29.0,N. Powell makes 2-pt shot at rim,2,20-24,,
1:13.0,,,20-26,2,A. Ajinca makes 2-pt shot from 2 ft (assist by E. Moore)
0:53.0,,,20-26,,D. Cousins enters the game for A. Davis
0:53.0,,,20-26,,J. Crawford enters the game for A. Ajinca
0:47.0,D. Wright misses 3-pt shot from 24 ft,,20-26,,
0:46.0,,,20-26,,Defensive rebound by T. Frazier
0:30.0,,,20-26,,D. Cunningham misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by D. Wright,,20-26,,
0:03.0,D. Wright misses 2-pt shot from 14 ft,,20-26,,
0:03.0,Offensive rebound by J. Poeltl,,20-26,,
0:02.0,J. Poeltl makes 2-pt shot from 2 ft,2,22-26,,
0:00.0,Personal foul by D. Wright (drawn by T. Frazier),,22-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Wright makes 3-pt shot from 23 ft (assist by N. Powell),3,25-26,,
11:16.0,,,25-29,3,J. Crawford makes 3-pt shot from 27 ft (assist by E. Moore)
10:56.0,Shooting foul by D. Cunningham (drawn by J. Valanciunas),,25-29,,
10:56.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by N. Powell),2,27-29,,
10:56.0,J. Valanciunas makes free throw 1 of 1,1,28-29,,
10:40.0,,,28-31,2,D. Cousins makes 2-pt shot from 19 ft
10:15.0,P. Tucker misses 3-pt shot from 26 ft,,28-31,,
10:14.0,Offensive rebound by D. Wright,,28-31,,
10:02.0,P. Tucker makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,30-31,,
9:37.0,,,30-31,,Turnover by E. Moore (bad pass)
9:32.0,Offensive foul by P. Tucker,,30-31,,
9:32.0,Turnover by P. Tucker (offensive foul),,30-31,,
9:32.0,D. DeRozan enters the game for P. Tucker,,30-31,,
9:21.0,,,30-33,2,D. Cousins makes 2-pt shot from 3 ft
9:07.0,J. Valanciunas makes 2-pt shot at rim (assist by D. Wright),2,32-33,,
8:51.0,,,32-33,,J. Crawford misses 2-pt shot from 19 ft
8:50.0,Defensive rebound by J. Valanciunas,,32-33,,
8:32.0,N. Powell misses 2-pt shot from 18 ft,,32-33,,
8:30.0,,,32-33,,Defensive rebound by Team
8:30.0,Official timeout,,32-33,,
8:30.0,S. Ibaka enters the game for P. Patterson,,32-33,,
8:21.0,Personal foul by J. Valanciunas (drawn by D. Cousins),,32-33,,
8:12.0,,,32-33,,E. Moore misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by D. Wright,,32-33,,
7:47.0,Turnover by Team (shot clock),,32-33,,
7:39.0,,,32-36,3,D. Cousins makes 3-pt shot from 27 ft (assist by T. Frazier)
7:12.0,S. Ibaka makes 2-pt shot from 9 ft (assist by N. Powell),2,34-36,,
6:47.0,,,34-38,2,E. Moore makes 2-pt shot from 19 ft (assist by D. Cousins)
6:23.0,Turnover by S. Ibaka (bad pass; steal by D. Cunningham),,34-38,,
6:07.0,,,34-38,,T. Frazier misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by S. Ibaka,,34-38,,
6:00.0,Offensive charge foul by D. Wright,,34-38,,
6:00.0,Turnover by D. Wright (offensive foul),,34-38,,
6:00.0,C. Joseph enters the game for D. Wright,,34-38,,
6:00.0,,,34-38,,A. Davis enters the game for D. Cunningham
6:00.0,,,34-38,,J. Holiday enters the game for T. Frazier
5:49.0,,,34-38,,D. Cousins misses 3-pt shot from 27 ft
5:47.0,Defensive rebound by N. Powell,,34-38,,
5:37.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by C. Joseph),2,36-38,,
5:18.0,,,36-38,,Turnover by D. Cousins (traveling)
5:18.0,,,36-38,,New Orleans full timeout
5:18.0,,,36-38,,S. Hill enters the game for E. Moore
5:18.0,J. Poeltl enters the game for J. Valanciunas,,36-38,,
5:02.0,S. Ibaka makes 3-pt shot from 26 ft (assist by N. Powell),3,39-38,,
4:47.0,,,39-40,2,A. Davis makes 2-pt shot at rim (assist by J. Crawford)
4:28.0,,,39-40,,Violation by S. Hill (kicked ball)
4:28.0,P. Tucker enters the game for N. Powell,,39-40,,
4:28.0,,,39-40,,A. Ajinca enters the game for D. Cousins
4:17.0,D. DeRozan misses 2-pt shot from 18 ft,,39-40,,
4:16.0,,,39-40,,Defensive rebound by A. Davis
4:00.0,Personal foul by C. Joseph (drawn by A. Davis),,39-40,,
3:49.0,,,39-42,2,J. Crawford makes 2-pt shot from 15 ft
3:31.0,D. DeRozan misses 2-pt shot from 18 ft,,39-42,,
3:30.0,,,39-42,,Defensive rebound by J. Crawford
3:21.0,,,39-42,,J. Crawford misses 2-pt shot from 16 ft
3:20.0,Defensive rebound by J. Poeltl,,39-42,,
3:14.0,Shooting foul by A. Ajinca (drawn by D. DeRozan),,39-42,,
3:14.0,D. DeRozan misses free throw 1 of 2,,39-42,,
3:14.0,Offensive rebound by Team,,39-42,,
3:14.0,D. DeRozan misses free throw 2 of 2,,39-42,,
3:14.0,,,39-42,,D. Cousins enters the game for A. Ajinca
3:12.0,,,39-42,,Defensive rebound by D. Cousins
2:52.0,,,39-42,,D. Cousins misses 3-pt shot from 29 ft
2:51.0,,,39-42,,Offensive rebound by S. Hill
2:44.0,,,39-42,,J. Crawford misses 3-pt shot from 28 ft
2:44.0,Defensive rebound by C. Joseph,,39-42,,
2:42.0,,,39-42,,Personal foul by J. Crawford (drawn by C. Joseph)
2:42.0,Toronto full timeout,,39-42,,
2:42.0,,,39-42,,E. Moore enters the game for J. Crawford
2:19.0,C. Joseph misses 2-pt shot from 17 ft,,39-42,,
2:17.0,Offensive rebound by Team,,39-42,,
2:17.0,,,39-42,,Loose ball foul by E. Moore (drawn by P. Tucker)
2:17.0,J. Valanciunas enters the game for J. Poeltl,,39-42,,
2:09.0,Shooting foul by E. Moore (drawn by J. Valanciunas),,39-42,,
2:09.0,J. Valanciunas misses free throw 1 of 2,,39-42,,
2:09.0,Offensive rebound by Team,,39-42,,
2:09.0,J. Valanciunas makes free throw 2 of 2,1,40-42,,
2:09.0,,,39-42,,J. Crawford enters the game for E. Moore
1:50.0,,,40-42,,D. Cousins misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by S. Ibaka,,40-42,,
1:37.0,,,40-42,,Personal foul by D. Cousins (drawn by J. Valanciunas)
1:37.0,J. Valanciunas misses free throw 1 of 2,,40-42,,
1:37.0,Offensive rebound by Team,,40-42,,
1:37.0,J. Valanciunas makes free throw 2 of 2,1,41-42,,
1:25.0,,,41-42,,Turnover by J. Holiday (bad pass; steal by D. DeRozan)
1:18.0,P. Tucker makes 2-pt shot from 21 ft (assist by D. DeRozan),2,43-42,,
1:04.0,,,43-44,2,D. Cousins makes 2-pt shot from 2 ft (assist by S. Hill)
0:47.0,Turnover by C. Joseph (bad pass),,43-44,,
0:37.0,,,43-44,,S. Hill misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by P. Tucker,,43-44,,
0:29.0,Shooting foul by S. Hill (drawn by C. Joseph),,43-44,,
0:29.0,C. Joseph makes free throw 1 of 2,1,44-44,,
0:29.0,C. Joseph makes free throw 2 of 2,1,45-44,,
0:29.0,,,44-44,,H. Thompson enters the game for S. Hill
0:29.0,N. Powell enters the game for P. Tucker,,44-44,,
0:29.0,P. Patterson enters the game for S. Ibaka,,44-44,,
0:21.0,,,45-44,,New Orleans full timeout
0:21.0,Technical foul by J. Valanciunas,,45-44,,
0:21.0,,,45-44,,A. Davis misses technical free throw
0:21.0,,,45-44,,Offensive rebound by Team
0:07.0,,,45-44,,Shooting foul by N. Powell (drawn by A. Davis)
0:07.0,,,45-45,1,A. Davis makes free throw 1 of 2
0:07.0,,,45-46,1,A. Davis makes free throw 2 of 2
0:07.0,,,45-45,,D. Cunningham enters the game for H. Thompson
0:00.0,D. DeRozan misses 3-pt shot from 27 ft,,45-46,,
0:00.0,Offensive rebound by Team,,45-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,C. Joseph makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,47-46,,
11:33.0,,,47-46,,D. Cousins misses 2-pt shot from 19 ft
11:32.0,Defensive rebound by C. Joseph,,47-46,,
11:17.0,,,47-46,,Personal foul by D. Cunningham (drawn by S. Ibaka)
11:05.0,D. DeRozan misses 2-pt shot from 19 ft,,47-46,,
11:04.0,,,47-46,,Defensive rebound by D. Cunningham
10:49.0,,,47-48,2,J. Holiday makes 2-pt shot from 2 ft
10:30.0,D. DeRozan misses 2-pt shot from 2 ft (block by D. Cousins),,47-48,,
10:25.0,,,47-48,,Defensive rebound by D. Cousins
10:18.0,,,47-48,,H. Thompson misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by D. DeRozan,,47-48,,
10:06.0,J. Valanciunas misses 2-pt shot from 21 ft,,47-48,,
