time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. C. Zeller (K. Walker gains possession),,,,Jump ball: J. Noah vs. C. Zeller (K. Walker gains possession)
11:50.0,,,0-0,,Shooting foul by C. Lee (drawn by C. Zeller)
11:50.0,,,0-1,1,C. Zeller makes free throw 1 of 2
11:50.0,,,0-2,1,C. Zeller makes free throw 2 of 2
11:26.0,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Lee),2,2-2,,
11:13.0,,,2-2,,C. Zeller misses 2-pt shot from 2 ft (block by D. Rose)
11:11.0,Defensive rebound by K. Porzingis,,2-2,,
11:05.0,K. Porzingis misses 3-pt shot from 27 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by C. Zeller
10:45.0,,,2-5,3,J. Lamb makes 3-pt shot from 24 ft (assist by C. Zeller)
10:32.0,C. Anthony misses 3-pt shot from 25 ft,,2-5,,
10:31.0,,,2-5,,Defensive rebound by J. Lamb
10:24.0,,,2-5,,C. Zeller misses 2-pt shot from 6 ft
10:23.0,,,2-5,,Offensive rebound by C. Zeller
10:16.0,,,2-7,2,C. Zeller makes 2-pt shot from 12 ft (assist by K. Walker)
10:02.0,D. Rose misses 2-pt shot from 4 ft (block by C. Zeller),,2-7,,
10:00.0,Offensive rebound by D. Rose,,2-7,,
10:00.0,D. Rose misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,2-7,,
9:58.0,,,2-7,,Defensive rebound by J. Lamb
9:50.0,,,2-10,3,K. Walker makes 3-pt shot from 28 ft (assist by F. Kaminsky)
9:35.0,C. Anthony misses 2-pt shot from 11 ft,,2-10,,
9:34.0,,,2-10,,Defensive rebound by F. Kaminsky
9:29.0,,,2-12,2,J. Lamb makes 2-pt shot at rim (assist by K. Walker)
9:29.0,New York full timeout,,2-12,,
9:08.0,C. Lee misses 3-pt shot from 25 ft,,2-12,,
9:06.0,,,2-12,,Defensive rebound by J. Lamb
8:55.0,,,2-14,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft
8:33.0,C. Anthony misses 2-pt shot from 21 ft,,2-14,,
8:32.0,,,2-14,,Defensive rebound by J. Lamb
8:28.0,,,2-14,,Shooting foul by D. Rose (drawn by M. Kidd-Gilchrist)
8:28.0,,,2-15,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:28.0,,,2-15,,M. Kidd-Gilchrist misses free throw 2 of 2
8:28.0,W. Hernangomez enters the game for K. Porzingis,,2-15,,
8:26.0,Defensive rebound by W. Hernangomez,,2-15,,
8:09.0,D. Rose misses 3-pt shot from 25 ft,,2-15,,
8:08.0,,,2-15,,Defensive rebound by M. Kidd-Gilchrist
7:56.0,,,2-15,,K. Walker misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by J. Noah,,2-15,,
7:43.0,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose),3,5-15,,
7:29.0,Personal foul by C. Lee (drawn by J. Lamb),,5-15,,
7:18.0,,,5-17,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
7:06.0,C. Anthony misses 2-pt shot from 2 ft,,5-17,,
7:05.0,Offensive rebound by C. Anthony,,5-17,,
7:05.0,C. Anthony makes 2-pt shot from 1 ft,2,7-17,,
6:51.0,,,7-17,,J. Lamb misses 2-pt shot from 18 ft
6:49.0,,,7-17,,Offensive rebound by J. Lamb
6:49.0,,,7-19,2,J. Lamb makes 2-pt shot at rim
6:31.0,D. Rose misses 2-pt shot from 6 ft,,7-19,,
6:29.0,,,7-19,,Defensive rebound by C. Zeller
6:25.0,,,7-19,,Shooting foul by C. Anthony (drawn by K. Walker)
6:25.0,,,7-21,2,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller)
6:25.0,,,7-22,1,K. Walker makes free throw 1 of 1
6:25.0,J. Holiday enters the game for C. Lee,,7-21,,
6:25.0,M. Kuzminskas enters the game for J. Noah,,7-21,,
6:02.0,Turnover by W. Hernangomez (offensive goaltending),,7-22,,
5:48.0,,,7-22,,J. Lamb misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by D. Rose,,7-22,,
5:41.0,J. Holiday misses 3-pt shot from 24 ft,,7-22,,
5:40.0,,,7-22,,Defensive rebound by J. Lamb
5:32.0,,,7-22,,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Holiday)
5:24.0,Turnover by C. Anthony (bad pass),,7-22,,
5:24.0,,,7-22,,M. Belinelli enters the game for J. Lamb
5:12.0,,,7-22,,Shooting foul by C. Anthony (drawn by C. Zeller)
5:12.0,,,7-23,1,F. Kaminsky makes free throw 1 of 2
5:12.0,,,7-24,1,F. Kaminsky makes free throw 2 of 2
5:12.0,K. Porzingis enters the game for C. Anthony,,7-23,,
4:56.0,D. Rose misses 2-pt shot from 19 ft,,7-24,,
4:56.0,Offensive rebound by Team,,7-24,,
4:56.0,,,7-24,,Loose ball foul by C. Zeller (drawn by W. Hernangomez)
4:44.0,D. Rose makes 2-pt shot at rim (assist by J. Holiday),2,9-24,,
4:20.0,,,9-24,,F. Kaminsky misses 2-pt shot from 15 ft
4:18.0,Defensive rebound by D. Rose,,9-24,,
4:04.0,M. Kuzminskas misses 2-pt shot from 1 ft,,9-24,,
4:03.0,Offensive rebound by W. Hernangomez,,9-24,,
4:01.0,Turnover by W. Hernangomez (lost ball; steal by C. Zeller),,9-24,,
3:55.0,,,9-24,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by J. Holiday,,9-24,,
3:49.0,J. Holiday misses 2-pt shot at rim (block by K. Walker),,9-24,,
3:49.0,,,9-24,,Defensive rebound by Team
3:49.0,,,9-24,,R. Hibbert enters the game for M. Kidd-Gilchrist
3:49.0,,,9-24,,J. Lamb enters the game for C. Zeller
3:37.0,,,9-24,,M. Belinelli misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by W. Hernangomez,,9-24,,
