time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Noah (T. Snell gains possession),,,,Jump ball: J. Henson vs. J. Noah (T. Snell gains possession)
11:40.0,,,0-0,,Turnover by T. Snell (bad pass)
11:20.0,Shooting foul by G. Antetokounmpo (drawn by K. Porzingis),,0-0,,
11:20.0,K. Porzingis makes free throw 1 of 2,1,1-0,,
11:20.0,K. Porzingis misses free throw 2 of 2,,1-0,,
11:19.0,,,1-0,,Defensive rebound by J. Henson
10:57.0,,,1-0,,M. Brogdon misses 2-pt shot from 12 ft
10:56.0,Defensive rebound by K. Porzingis,,1-0,,
10:45.0,C. Lee makes 3-pt shot from 24 ft (assist by J. Noah),3,4-0,,
10:25.0,,,4-0,,J. Henson misses 2-pt shot from 7 ft
10:24.0,Defensive rebound by J. Noah,,4-0,,
10:16.0,D. Rose makes 2-pt shot from 19 ft,2,6-0,,
10:01.0,,,6-0,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:59.0,,,6-0,,Offensive rebound by J. Henson
9:57.0,,,6-0,,J. Henson misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by K. Porzingis,,6-0,,
9:44.0,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose),3,9-0,,
9:37.0,,,9-3,3,J. Parker makes 3-pt shot from 23 ft (assist by M. Brogdon)
9:21.0,J. Noah misses 2-pt shot at rim,,9-3,,
9:19.0,,,9-3,,Defensive rebound by J. Henson
9:11.0,,,9-6,3,T. Snell makes 3-pt shot from 29 ft (assist by J. Parker)
9:01.0,Turnover by K. Porzingis (traveling),,9-6,,
8:46.0,,,9-6,,G. Antetokounmpo misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by C. Anthony,,9-6,,
8:33.0,K. Porzingis makes 2-pt shot from 9 ft (assist by C. Anthony),2,11-6,,
8:16.0,,,11-8,2,J. Parker makes 2-pt shot from 9 ft
8:06.0,Turnover by J. Noah (bad pass; steal by G. Antetokounmpo),,11-8,,
8:02.0,Shooting block foul by J. Noah (drawn by G. Antetokounmpo),,11-8,,
8:02.0,,,11-9,1,G. Antetokounmpo makes free throw 1 of 2
8:02.0,,,11-10,1,G. Antetokounmpo makes free throw 2 of 2
7:44.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony),2,13-10,,
7:26.0,,,13-13,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by J. Parker)
7:11.0,K. Porzingis misses 2-pt shot from 13 ft (block by G. Antetokounmpo),,13-13,,
7:09.0,,,13-13,,Defensive rebound by J. Henson
7:06.0,,,13-13,,Shooting foul by K. Porzingis (drawn by G. Antetokounmpo)
7:06.0,,,13-14,1,G. Antetokounmpo makes free throw 1 of 2
7:06.0,,,13-15,1,G. Antetokounmpo makes free throw 2 of 2
6:50.0,K. Porzingis misses 2-pt shot from 1 ft,,13-15,,
6:47.0,,,13-15,,Defensive rebound by T. Snell
6:41.0,,,13-17,2,G. Antetokounmpo makes 2-pt shot from 18 ft
6:28.0,C. Anthony misses 2-pt shot from 14 ft (block by J. Henson),,13-17,,
6:24.0,,,13-17,,Defensive rebound by G. Antetokounmpo
6:21.0,,,13-17,,Turnover by M. Brogdon (step out of bounds)
6:21.0,L. Thomas enters the game for K. Porzingis,,13-17,,
6:21.0,,,13-17,,G. Monroe enters the game for J. Henson
6:02.0,C. Lee misses 2-pt shot from 16 ft,,13-17,,
6:01.0,,,13-17,,Defensive rebound by M. Brogdon
5:50.0,,,13-19,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
5:49.0,New York full timeout,,13-19,,
5:49.0,K. O'Quinn enters the game for J. Noah,,13-19,,
