time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Valanciunas (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. J. Valanciunas (D. Augustin gains possession)
11:50.0,,,0-0,,Turnover by B. Biyombo (bad pass; steal by K. Lowry)
11:48.0,Shooting foul by D. Augustin (drawn by K. Lowry),,0-0,,
11:48.0,K. Lowry makes free throw 1 of 2,1,1-0,,
11:48.0,K. Lowry makes free throw 2 of 2,1,2-0,,
11:36.0,,,2-2,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
11:16.0,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry),2,4-2,,
10:57.0,,,4-2,,Shooting foul by J. Valanciunas (drawn by B. Biyombo)
10:57.0,,,4-3,1,B. Biyombo makes free throw 1 of 2
10:57.0,,,4-4,1,B. Biyombo makes free throw 2 of 2
10:44.0,D. DeRozan misses 2-pt shot from 12 ft,,4-4,,
10:43.0,,,4-4,,Defensive rebound by B. Biyombo
10:32.0,Personal foul by P. Siakam (drawn by S. Ibaka),,4-4,,
10:26.0,,,4-4,,Turnover by E. Fournier (bad pass)
10:12.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,6-4,,
9:55.0,,,6-6,2,A. Gordon makes 2-pt shot at rim (assist by B. Biyombo)
9:38.0,Turnover by D. DeRozan (bad pass; steal by D. Augustin),,6-6,,
9:34.0,,,6-6,,D. Augustin misses 2-pt shot from 2 ft (block by P. Siakam)
9:32.0,,,6-6,,Offensive rebound by E. Fournier
9:27.0,,,6-6,,A. Gordon misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by J. Valanciunas,,6-6,,
9:18.0,Turnover by D. DeRozan (lost ball; steal by D. Augustin),,6-6,,
9:05.0,,,6-6,,A. Gordon misses 3-pt shot from 23 ft
9:03.0,Defensive rebound by D. DeRozan,,6-6,,
8:57.0,Shooting foul by A. Gordon (drawn by D. DeRozan),,6-6,,
8:57.0,D. DeRozan makes free throw 1 of 2,1,7-6,,
8:57.0,D. DeRozan makes free throw 2 of 2,1,8-6,,
