time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,N. Vucevic misses 2-pt shot from 7 ft
12:00.0,Jump ball: M. Turner vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: M. Turner vs. N. Vucevic (A. Gordon gains possession)
11:38.0,Defensive rebound by M. Turner,,0-0,,
11:33.0,Turnover by M. Ellis (bad pass; steal by T. Ross),,0-0,,
11:24.0,,,0-3,3,T. Ross makes 3-pt shot from 26 ft (assist by A. Gordon)
11:06.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Teague),2,2-3,,
10:52.0,,,2-3,,E. Fournier misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by M. Turner,,2-3,,
10:42.0,J. Teague misses 2-pt shot from 9 ft,,2-3,,
10:40.0,,,2-3,,Defensive rebound by T. Ross
10:30.0,,,2-6,3,T. Ross makes 3-pt shot from 26 ft (assist by N. Vucevic)
10:05.0,P. George misses 3-pt shot from 22 ft,,2-6,,
10:03.0,,,2-6,,Defensive rebound by E. Payton
9:55.0,,,2-9,3,T. Ross makes 3-pt shot from 26 ft (assist by E. Payton)
9:42.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague),2,4-9,,
9:42.0,Shooting foul by N. Vucevic (drawn by M. Turner),,4-9,,
9:42.0,M. Turner makes free throw 1 of 1,1,5-9,,
9:30.0,,,5-9,,Turnover by T. Ross (lost ball; steal by J. Teague)
9:11.0,T. Young makes 2-pt shot from 3 ft (assist by M. Turner),2,7-9,,
8:59.0,,,7-9,,Turnover by T. Ross (lost ball; steal by J. Teague)
8:46.0,J. Teague makes 3-pt shot from 27 ft (assist by M. Ellis),3,10-9,,
8:34.0,,,10-11,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
8:15.0,P. George makes 2-pt shot from 11 ft,2,12-11,,
8:01.0,,,12-11,,E. Payton misses 2-pt shot from 2 ft (block by T. Young)
8:01.0,,,12-11,,Offensive rebound by Team
7:58.0,,,12-13,2,N. Vucevic makes 2-pt shot from 18 ft (assist by A. Gordon)
7:43.0,Shooting foul by T. Ross (drawn by P. George),,12-13,,
7:43.0,P. George makes free throw 1 of 3,1,13-13,,
7:43.0,P. George makes free throw 2 of 3,1,14-13,,
7:43.0,P. George makes free throw 3 of 3,1,15-13,,
7:29.0,,,15-13,,Shooting foul by M. Ellis (drawn by E. Fournier)
7:29.0,,,15-14,1,E. Fournier makes free throw 1 of 2
7:29.0,,,15-15,1,E. Fournier makes free throw 2 of 2
7:12.0,M. Turner makes 2-pt shot from 17 ft (assist by M. Ellis),2,17-15,,
