time,Phoenix,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. R. Lopez (B. Portis gains possession),,,,Jump ball: A. Len vs. R. Lopez (B. Portis gains possession)
11:50.0,,,0-0,,M. Carter-Williams misses 3-pt shot from 22 ft
11:49.0,Defensive rebound by E. Bledsoe,,0-0,,
11:45.0,E. Bledsoe makes 2-pt shot from 12 ft,2,2-0,,
11:25.0,,,2-0,,M. Carter-Williams misses 2-pt shot from 2 ft (block by M. Chriss)
11:22.0,Defensive rebound by A. Len,,2-0,,
11:19.0,Turnover by A. Len (bad pass; steal by D. Wade),,2-0,,
11:15.0,,,2-0,,D. Wade misses 2-pt shot from 1 ft
11:12.0,,,2-0,,Offensive rebound by J. Butler
11:09.0,,,2-0,,M. Carter-Williams misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by M. Chriss,,2-0,,
11:01.0,D. Booker misses 3-pt shot from 25 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by B. Portis
10:39.0,,,2-0,,D. Wade misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by T. Warren,,2-0,,
10:24.0,A. Len makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,4-0,,
10:10.0,,,4-0,,J. Butler misses 2-pt shot from 2 ft
10:10.0,Defensive rebound by T. Warren,,4-0,,
9:59.0,E. Bledsoe misses 2-pt shot from 2 ft,,4-0,,
9:58.0,,,4-0,,Defensive rebound by R. Lopez
9:39.0,,,4-0,,J. Butler misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by E. Bledsoe,,4-0,,
9:29.0,,,4-0,,Personal foul by D. Wade (drawn by M. Chriss)
9:29.0,Turnover by E. Bledsoe (bad pass; steal by J. Butler),,4-0,,
9:25.0,,,4-2,2,J. Butler makes 2-pt shot from 1 ft (assist by B. Portis)
9:13.0,D. Booker makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,6-2,,
8:58.0,,,6-4,2,M. Carter-Williams makes 2-pt shot from 7 ft (assist by D. Wade)
8:39.0,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe),2,8-4,,
