time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. L. Nance (K. Leonard gains possession),,,,Jump ball: D. Dedmon vs. L. Nance (K. Leonard gains possession)
11:37.0,,,0-0,,L. Aldridge misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by L. Nance,,0-0,,
11:18.0,J. Clarkson misses 2-pt shot from 18 ft,,0-0,,
11:16.0,Offensive rebound by L. Nance,,0-0,,
11:14.0,L. Nance makes 2-pt shot from 3 ft,2,2-0,,
10:53.0,,,2-0,,K. Leonard misses 3-pt shot from 25 ft
10:51.0,,,2-0,,Offensive rebound by D. Dedmon
10:45.0,,,2-2,2,K. Leonard makes 2-pt shot from 10 ft
10:18.0,L. Nance makes 2-pt shot from 7 ft (assist by B. Ingram),2,4-2,,
9:49.0,,,4-4,2,T. Parker makes 2-pt shot from 1 ft (assist by L. Aldridge)
9:31.0,T. Ennis makes 2-pt shot from 16 ft,2,6-4,,
9:15.0,,,6-4,,D. Dedmon misses 2-pt shot from 2 ft
9:12.0,,,6-4,,Offensive rebound by L. Aldridge
9:12.0,,,6-6,2,L. Aldridge makes 2-pt shot from 1 ft
9:00.0,B. Ingram misses 2-pt shot from 20 ft,,6-6,,
8:59.0,,,6-6,,Defensive rebound by D. Dedmon
8:49.0,,,6-6,,T. Parker misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by J. Randle,,6-6,,
8:42.0,J. Clarkson misses 3-pt shot from 24 ft,,6-6,,
8:40.0,Offensive rebound by B. Ingram,,6-6,,
8:34.0,L. Nance makes 2-pt shot from 8 ft (assist by B. Ingram),2,8-6,,
8:20.0,,,8-6,,K. Leonard misses 2-pt shot from 17 ft (block by B. Ingram)
8:18.0,Defensive rebound by J. Clarkson,,8-6,,
8:09.0,J. Randle misses 2-pt shot from 1 ft,,8-6,,
8:09.0,,,8-6,,Defensive rebound by Team
7:47.0,,,8-6,,T. Parker misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by L. Nance,,8-6,,
7:33.0,J. Clarkson misses 2-pt shot from 10 ft,,8-6,,
7:32.0,,,8-6,,Defensive rebound by L. Aldridge
7:25.0,Personal foul by J. Clarkson (drawn by K. Leonard),,8-6,,
7:19.0,,,8-8,2,K. Leonard makes 2-pt shot from 14 ft (assist by J. Simmons)
7:16.0,B. Ingram makes 2-pt shot from 2 ft (assist by T. Ennis),2,10-8,,
7:16.0,Shooting foul by K. Leonard (drawn by B. Ingram),,10-8,,
7:16.0,B. Ingram makes free throw 1 of 1,1,11-8,,
6:52.0,,,11-10,2,L. Aldridge makes 2-pt shot from 16 ft (assist by K. Leonard)
6:37.0,T. Ennis makes 3-pt shot from 24 ft (assist by J. Randle),3,14-10,,
6:37.0,,,14-10,,San Antonio full timeout
6:37.0,,,14-10,,P. Mills enters the game for T. Parker
6:37.0,,,14-10,,K. Anderson enters the game for K. Leonard
6:37.0,,,14-10,,P. Gasol enters the game for D. Dedmon
6:19.0,,,14-10,,L. Aldridge misses 2-pt shot from 15 ft
6:17.0,Defensive rebound by L. Nance,,14-10,,
