time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (I. Canaan gains possession),,,,Jump ball: A. Horford vs. R. Lopez (I. Canaan gains possession)
11:43.0,,,0-0,,J. Butler misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by A. Horford,,0-0,,
11:22.0,J. Crowder makes 3-pt shot from 23 ft (assist by A. Horford),3,3-0,,
11:11.0,,,3-0,,D. Wade misses 2-pt shot from 20 ft
11:10.0,Defensive rebound by G. Green,,3-0,,
11:00.0,A. Bradley makes 3-pt shot from 26 ft,3,6-0,,
10:43.0,,,6-2,2,I. Canaan makes 2-pt shot from 9 ft (assist by D. Wade)
10:28.0,G. Green makes 3-pt shot from 25 ft (assist by I. Thomas),3,9-2,,
10:07.0,,,9-4,2,R. Lopez makes 2-pt shot from 9 ft
9:48.0,Turnover by G. Green (bad pass; steal by D. Wade),,9-4,,
9:37.0,,,9-4,,Turnover by R. Lopez (bad pass; steal by J. Crowder)
9:26.0,Shooting foul by N. Mirotic (drawn by A. Bradley),,9-4,,
9:26.0,A. Bradley makes free throw 1 of 2,1,10-4,,
9:26.0,A. Bradley misses free throw 2 of 2,,10-4,,
9:25.0,,,10-4,,Defensive rebound by J. Butler
9:02.0,,,10-4,,J. Butler misses 3-pt shot from 24 ft
9:02.0,,,10-4,,Offensive rebound by N. Mirotic
9:02.0,,,10-4,,Turnover by Team (shot clock)
8:48.0,J. Crowder misses 2-pt shot from 21 ft,,10-4,,
8:48.0,,,10-4,,Defensive rebound by R. Lopez
8:38.0,,,10-6,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Wade)
8:25.0,G. Green makes 2-pt shot from 2 ft (assist by A. Horford),2,12-6,,
8:25.0,Shooting foul by D. Wade (drawn by G. Green),,12-6,,
8:25.0,G. Green makes free throw 1 of 1,1,13-6,,
8:12.0,,,13-9,3,I. Canaan makes 3-pt shot from 25 ft (assist by D. Wade)
8:12.0,Boston full timeout,,13-9,,
7:56.0,I. Thomas makes 2-pt shot from 14 ft,2,15-9,,
7:38.0,,,15-9,,Turnover by R. Lopez (bad pass; steal by I. Thomas)
7:32.0,I. Thomas misses 3-pt shot from 25 ft,,15-9,,
7:31.0,Offensive rebound by A. Bradley,,15-9,,
7:19.0,J. Crowder misses 3-pt shot from 25 ft,,15-9,,
7:19.0,,,15-9,,Defensive rebound by Team
7:01.0,,,15-9,,R. Lopez misses 2-pt shot from 21 ft
7:00.0,Defensive rebound by I. Thomas,,15-9,,
6:49.0,I. Thomas makes 2-pt shot from 2 ft,2,17-9,,
6:32.0,,,17-11,2,J. Butler makes 2-pt shot from 2 ft
6:17.0,G. Green makes 2-pt shot at rim (assist by A. Horford),2,19-11,,
5:49.0,,,19-11,,D. Wade misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by A. Bradley,,19-11,,
5:37.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,21-11,,
5:37.0,,,21-11,,Chicago full timeout
5:26.0,Def 3 sec tech foul by A. Horford,,21-11,,
5:26.0,,,21-12,1,J. Butler makes technical free throw
5:09.0,,,21-14,2,J. Butler makes 2-pt shot from 10 ft
4:58.0,Shooting foul by R. Lopez (drawn by I. Thomas),,21-14,,
4:58.0,I. Thomas misses free throw 1 of 2,,21-14,,
4:58.0,Offensive rebound by Team,,21-14,,
4:58.0,I. Thomas makes free throw 2 of 2,1,22-14,,
4:46.0,,,22-14,,N. Mirotic misses 3-pt shot from 26 ft
4:45.0,,,22-14,,Offensive rebound by R. Lopez
