time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (G. Hill gains possession)
11:40.0,G. Hayward misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by C. Paul
11:25.0,,,0-0,,Turnover by J. Redick (lost ball; steal by J. Ingles)
11:15.0,G. Hill makes 2-pt shot from 14 ft,2,2-0,,
10:56.0,,,2-2,2,C. Paul makes 2-pt shot from 16 ft
10:30.0,Turnover by Team (shot clock),,2-2,,
10:11.0,,,2-2,,L. Mbah a Moute misses 2-pt shot from 21 ft
10:11.0,,,2-2,,Offensive rebound by D. Jordan
10:11.0,,,2-2,,Shooting foul by R. Gobert (drawn by D. Jordan)
10:11.0,,,2-2,,D. Jordan misses free throw 1 of 2
10:11.0,,,2-2,,Offensive rebound by Team
10:11.0,,,2-3,1,D. Jordan makes free throw 2 of 2
9:53.0,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hill),2,4-3,,
9:41.0,,,4-3,,A. Rivers misses 2-pt shot from 2 ft (block by B. Diaw)
9:39.0,Defensive rebound by R. Gobert,,4-3,,
9:34.0,G. Hill misses 3-pt shot from 24 ft,,4-3,,
9:31.0,Offensive rebound by G. Hayward,,4-3,,
9:18.0,Turnover by B. Diaw (step out of bounds),,4-3,,
9:05.0,,,4-3,,LA Clippers full timeout
8:57.0,,,4-3,,Shooting foul by R. Gobert (drawn by L. Mbah a Moute)
8:57.0,,,4-4,1,L. Mbah a Moute makes free throw 1 of 2
8:57.0,,,4-5,1,L. Mbah a Moute makes free throw 2 of 2
8:57.0,D. Favors enters the game for R. Gobert,,4-3,,
8:49.0,,,4-5,,Personal foul by L. Mbah a Moute (drawn by G. Hayward)
8:42.0,G. Hayward makes 2-pt shot from 2 ft (assist by B. Diaw),2,6-5,,
8:32.0,,,6-5,,C. Paul misses 2-pt shot from 5 ft
8:31.0,Defensive rebound by Team,,6-5,,
8:31.0,,,6-5,,Loose ball foul by C. Paul (drawn by D. Favors)
8:14.0,G. Hayward misses 2-pt shot from 6 ft,,6-5,,
8:13.0,Offensive rebound by D. Favors,,6-5,,
8:09.0,G. Hill makes 3-pt shot from 27 ft (assist by D. Favors),3,9-5,,
8:08.0,,,9-5,,LA Clippers full timeout
7:48.0,,,9-8,3,A. Rivers makes 3-pt shot from 26 ft (assist by C. Paul)
7:34.0,D. Favors makes 2-pt shot from 13 ft (assist by G. Hayward),2,11-8,,
7:21.0,,,11-8,,A. Rivers misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by G. Hill,,11-8,,
7:05.0,,,11-8,,P. Pierce enters the game for L. Mbah a Moute
6:58.0,G. Hill misses 2-pt shot from 14 ft,,11-8,,
6:56.0,,,11-8,,Defensive rebound by J. Redick
6:50.0,,,11-8,,Turnover by C. Paul (bad pass; steal by J. Ingles)
6:45.0,J. Ingles makes 2-pt shot from 1 ft (assist by G. Hill),2,13-8,,
6:24.0,,,13-10,2,A. Rivers makes 2-pt shot at rim (assist by P. Pierce)
6:08.0,G. Hayward makes 3-pt shot from 25 ft (assist by B. Diaw),3,16-10,,
5:59.0,,,16-10,,C. Paul misses 2-pt shot from 4 ft
5:58.0,,,16-10,,Offensive rebound by D. Jordan
5:58.0,,,16-12,2,D. Jordan makes 2-pt shot at rim
5:42.0,B. Diaw misses 2-pt shot from 19 ft,,16-12,,
5:41.0,,,16-12,,Defensive rebound by D. Jordan
5:31.0,,,16-12,,P. Pierce misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by J. Ingles,,16-12,,
5:15.0,G. Hayward misses 2-pt shot from 20 ft,,16-12,,
5:14.0,,,16-12,,Defensive rebound by P. Pierce
5:08.0,,,16-12,,D. Jordan misses 2-pt shot from 2 ft
5:06.0,Defensive rebound by B. Diaw,,16-12,,
5:03.0,Shooting foul by P. Pierce (drawn by G. Hayward),,16-12,,
5:03.0,G. Hayward makes free throw 1 of 2,1,17-12,,
5:03.0,G. Hayward makes free throw 2 of 2,1,18-12,,
5:03.0,R. Hood enters the game for J. Ingles,,17-12,,
5:03.0,J. Johnson enters the game for B. Diaw,,17-12,,
5:03.0,,,17-12,,J. Crawford enters the game for J. Redick
4:50.0,,,18-12,,A. Rivers misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by D. Favors,,18-12,,
4:43.0,Turnover by R. Hood (traveling),,18-12,,
4:31.0,,,18-12,,Shooting foul by R. Hood (drawn by D. Jordan)
4:31.0,,,18-13,1,D. Jordan makes free throw 1 of 2
4:31.0,,,18-13,,D. Jordan misses free throw 2 of 2
4:29.0,Defensive rebound by D. Favors,,18-13,,
4:07.0,G. Hayward misses 2-pt shot from 16 ft,,18-13,,
4:04.0,,,18-13,,Defensive rebound by D. Jordan
3:57.0,,,18-15,2,C. Paul makes 2-pt shot from 6 ft
3:56.0,Utah full timeout,,18-15,,
3:56.0,,,18-15,,R. Felton enters the game for A. Rivers
3:32.0,G. Hill misses 2-pt shot from 12 ft,,18-15,,
3:31.0,Offensive rebound by D. Favors,,18-15,,
3:31.0,D. Favors makes 2-pt shot from 2 ft,2,20-15,,
3:19.0,,,20-18,3,C. Paul makes 3-pt shot from 27 ft
3:03.0,R. Hood makes 2-pt shot from 17 ft (assist by D. Favors),2,22-18,,
2:47.0,,,22-20,2,C. Paul makes 2-pt shot from 16 ft
2:32.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hill),2,24-20,,
2:12.0,,,24-20,,J. Crawford misses 3-pt shot from 27 ft
2:11.0,,,24-20,,Offensive rebound by D. Jordan
1:55.0,Violation by G. Hayward (kicked ball),,24-20,,
1:55.0,R. Neto enters the game for G. Hill,,24-20,,
1:44.0,,,24-20,,C. Paul misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by D. Favors,,24-20,,
1:24.0,J. Johnson misses 3-pt shot from 26 ft,,24-20,,
1:22.0,,,24-20,,Defensive rebound by D. Jordan
1:09.0,,,24-22,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:45.0,R. Neto misses 3-pt shot from 27 ft,,24-22,,
0:45.0,,,24-22,,Defensive rebound by Team
0:45.0,,,24-22,,A. Rivers enters the game for C. Paul
0:45.0,,,24-22,,M. Speights enters the game for D. Jordan
0:45.0,B. Diaw enters the game for D. Favors,,24-22,,
0:45.0,J. Ingles enters the game for G. Hayward,,24-22,,
0:34.0,,,24-24,2,R. Felton makes 2-pt shot from 2 ft
0:19.0,Turnover by B. Diaw (bad pass),,24-24,,
0:19.0,,,24-24,,C. Paul enters the game for P. Pierce
0:19.0,D. Favors enters the game for B. Diaw,,24-24,,
0:02.0,,,24-24,,R. Felton misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by J. Ingles,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-24,,A. Rivers misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by R. Gobert,,24-24,,
11:29.0,R. Hood makes 2-pt shot from 2 ft,2,26-24,,
11:29.0,Shooting foul by M. Speights (drawn by R. Hood),,26-24,,
11:29.0,R. Hood misses free throw 1 of 1,,26-24,,
11:28.0,,,26-24,,Defensive rebound by M. Speights
11:07.0,,,26-24,,M. Speights misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by J. Johnson,,26-24,,
10:52.0,R. Hood makes 3-pt shot from 26 ft (assist by J. Johnson),3,29-24,,
10:29.0,,,29-26,2,J. Crawford makes 2-pt shot from 8 ft
10:02.0,J. Johnson misses 2-pt shot from 19 ft,,29-26,,
10:02.0,,,29-26,,Defensive rebound by Team
10:02.0,Loose ball foul by R. Gobert (drawn by M. Speights),,29-26,,
10:02.0,D. Favors enters the game for R. Gobert,,29-26,,
10:02.0,,,29-26,,L. Mbah a Moute enters the game for P. Pierce
9:46.0,,,29-26,,Turnover by M. Speights (bad pass; steal by R. Hood)
9:38.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Johnson),2,31-26,,
9:21.0,,,31-26,,J. Crawford misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by D. Favors,,31-26,,
9:12.0,D. Favors misses 2-pt shot from 12 ft,,31-26,,
9:09.0,,,31-26,,Defensive rebound by M. Speights
8:54.0,,,31-28,2,A. Rivers makes 2-pt shot from 1 ft
8:47.0,Utah full timeout,,31-28,,
8:47.0,G. Hill enters the game for J. Ingles,,31-28,,
8:47.0,D. Exum enters the game for R. Hood,,31-28,,
8:47.0,G. Hayward enters the game for S. Mack,,31-28,,
8:47.0,,,31-28,,J. Redick enters the game for R. Felton
8:47.0,,,31-28,,D. Jordan enters the game for M. Speights
8:38.0,Shooting foul by L. Mbah a Moute (drawn by J. Johnson),,31-28,,
8:38.0,J. Johnson misses free throw 1 of 2,,31-28,,
8:38.0,Offensive rebound by Team,,31-28,,
8:38.0,J. Johnson misses free throw 2 of 2,,31-28,,
8:37.0,,,31-28,,Defensive rebound by D. Jordan
8:20.0,,,31-28,,J. Crawford misses 2-pt shot from 16 ft
8:17.0,Defensive rebound by D. Favors,,31-28,,
7:56.0,J. Johnson makes 2-pt shot from 7 ft,2,33-28,,
7:39.0,,,33-28,,Turnover by J. Crawford (lost ball; steal by D. Exum)
7:36.0,G. Hill makes 2-pt shot from 1 ft (assist by D. Exum),2,35-28,,
7:21.0,,,35-28,,Turnover by A. Rivers (bad pass)
7:21.0,,,35-28,,C. Paul enters the game for J. Crawford
7:07.0,J. Johnson makes 2-pt shot from 3 ft,2,37-28,,
6:50.0,,,37-28,,L. Mbah a Moute misses 3-pt shot from 26 ft
6:48.0,,,37-28,,Offensive rebound by D. Jordan
6:46.0,,,37-28,,Turnover by D. Jordan (lost ball; steal by D. Favors)
6:42.0,D. Exum misses 2-pt shot from 2 ft,,37-28,,
6:40.0,Offensive rebound by D. Exum,,37-28,,
6:40.0,D. Exum misses 2-pt shot from 2 ft,,37-28,,
6:36.0,,,37-28,,Defensive rebound by C. Paul
6:19.0,,,37-30,2,A. Rivers makes 2-pt shot from 4 ft
6:01.0,Turnover by G. Hill (bad pass; steal by A. Rivers),,37-30,,
5:51.0,,,37-30,,J. Redick misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by J. Johnson,,37-30,,
5:44.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,39-30,,
5:29.0,,,39-30,,D. Jordan misses 2-pt shot at rim
5:25.0,Defensive rebound by D. Favors,,39-30,,
5:15.0,G. Hill makes 2-pt shot from 20 ft (assist by D. Favors),2,41-30,,
5:14.0,,,41-30,,LA Clippers full timeout
5:14.0,J. Withey enters the game for D. Favors,,41-30,,
5:14.0,R. Hood enters the game for D. Exum,,41-30,,
4:57.0,,,41-30,,Turnover by D. Jordan (3 sec)
4:43.0,J. Johnson misses 2-pt shot from 6 ft,,41-30,,
4:39.0,,,41-30,,Defensive rebound by D. Jordan
4:19.0,,,41-30,,C. Paul misses 3-pt shot from 27 ft
4:19.0,,,41-30,,Offensive rebound by Team
4:19.0,Loose ball foul by J. Withey (drawn by D. Jordan),,41-30,,
4:19.0,B. Diaw enters the game for J. Johnson,,41-30,,
4:05.0,,,41-30,,A. Rivers misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by R. Hood,,41-30,,
3:49.0,B. Diaw misses 2-pt shot from 4 ft,,41-30,,
3:47.0,,,41-30,,Defensive rebound by D. Jordan
3:28.0,,,41-32,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:13.0,G. Hayward misses 2-pt shot from 5 ft,,41-32,,
3:12.0,,,41-32,,Defensive rebound by A. Rivers
2:54.0,,,41-32,,A. Rivers misses 3-pt shot from 25 ft
2:53.0,,,41-32,,Offensive rebound by L. Mbah a Moute
2:51.0,,,41-32,,Turnover by A. Rivers (lost ball; steal by B. Diaw)
2:31.0,G. Hill misses 2-pt shot from 18 ft,,41-32,,
2:29.0,,,41-32,,Defensive rebound by D. Jordan
2:18.0,,,41-32,,Shooting foul by G. Hill (drawn by D. Jordan)
2:18.0,Official timeout,,41-32,,
2:18.0,,,41-32,,D. Jordan misses free throw 1 of 2
2:18.0,,,41-32,,Offensive rebound by Team
2:18.0,,,41-33,1,D. Jordan makes free throw 2 of 2
2:18.0,,,41-32,,R. Felton enters the game for A. Rivers
2:18.0,,,41-32,,J. Crawford enters the game for L. Mbah a Moute
2:18.0,,,41-32,,P. Pierce enters the game for J. Redick
2:18.0,J. Ingles enters the game for B. Diaw,,41-32,,
